"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","02-Jan-2023","1,039.30","1,039.10","1,042.50","1,031.50","1,040.00","1,039.45","1,037.65","7,01,880","72,83,02,578.75","44,293","3,43,818","48.99"
"HCLTECH","EQ","03-Jan-2023","1,039.45","1,039.00","1,045.80","1,033.50","1,041.50","1,041.35","1,041.49","24,84,372","2,58,74,57,931.55","63,081","19,44,736","78.28"
"HCLTECH","EQ","04-Jan-2023","1,041.35","1,036.20","1,042.00","1,031.50","1,036.50","1,036.60","1,036.34","12,19,170","1,26,34,69,737.80","66,112","7,80,222","64.00"
"HCLTECH","EQ","05-Jan-2023","1,036.60","1,041.80","1,049.80","1,033.10","1,043.60","1,044.10","1,042.99","22,94,943","2,39,35,96,289.40","77,635","16,41,855","71.54"
"HCLTECH","EQ","06-Jan-2023","1,044.10","1,044.00","1,047.90","1,025.25","1,033.00","1,032.80","1,036.15","18,87,689","1,95,59,30,218.40","48,750","13,97,403","74.03"
"HCLTECH","EQ","09-Jan-2023","1,032.80","1,044.95","1,071.00","1,040.05","1,064.00","1,067.45","1,060.28","45,62,242","4,83,72,55,672.15","1,62,320","28,71,591","62.94"
"HCLTECH","EQ","10-Jan-2023","1,067.45","1,061.00","1,072.60","1,056.30","1,069.00","1,063.85","1,062.54","22,97,082","2,44,07,40,834.50","61,481","16,17,663","70.42"
"HCLTECH","EQ","11-Jan-2023","1,063.85","1,069.00","1,079.60","1,050.55","1,058.00","1,054.80","1,063.91","35,94,167","3,82,38,63,428.70","97,897","24,39,255","67.87"
"HCLTECH","EQ","12-Jan-2023","1,054.80","1,061.00","1,074.50","1,061.00","1,072.50","1,071.65","1,069.50","47,48,542","5,07,85,43,907.95","1,20,034","31,60,712","66.56"
"HCLTECH","EQ","13-Jan-2023","1,071.65","1,043.90","1,084.00","1,041.00","1,077.00","1,077.80","1,063.52","82,53,765","8,77,80,70,462.75","1,64,436","37,42,386","45.34"
"HCLTECH","EQ","16-Jan-2023","1,077.80","1,087.00","1,100.45","1,078.55","1,093.80","1,093.70","1,093.92","45,08,538","4,93,20,02,137.25","1,24,755","26,11,142","57.92"
"HCLTECH","EQ","17-Jan-2023","1,093.70","1,097.90","1,113.95","1,095.00","1,111.00","1,111.05","1,109.84","43,90,338","4,87,25,59,053.40","1,44,343","28,47,277","64.85"
"HCLTECH","EQ","18-Jan-2023","1,111.05","1,118.95","1,125.85","1,114.10","1,115.00","1,115.15","1,119.70","69,05,092","7,73,16,04,768.35","1,39,197","55,31,056","80.10"
"HCLTECH","EQ","19-Jan-2023","1,115.15","1,102.35","1,113.35","1,098.75","1,108.05","1,111.40","1,110.11","22,98,287","2,55,13,54,056.30","82,245","15,83,315","68.89"
"HCLTECH","EQ","20-Jan-2023","1,111.40","1,111.05","1,121.40","1,107.05","1,108.00","1,107.80","1,116.28","47,47,128","5,29,91,35,383.40","92,006","36,99,743","77.94"
"HCLTECH","EQ","23-Jan-2023","1,107.80","1,111.00","1,122.90","1,108.15","1,122.00","1,121.20","1,114.32","16,96,834","1,89,08,13,072.50","64,903","11,36,786","66.99"
"HCLTECH","EQ","24-Jan-2023","1,121.20","1,125.90","1,143.70","1,121.20","1,136.30","1,137.85","1,135.41","48,61,107","5,51,93,73,238.20","1,05,080","35,75,965","73.56"
"HCLTECH","EQ","25-Jan-2023","1,137.85","1,134.85","1,134.85","1,116.75","1,121.45","1,122.75","1,123.98","26,92,236","3,02,60,13,455.55","1,11,721","20,36,462","75.64"
"HCLTECH","EQ","27-Jan-2023","1,122.75","1,122.75","1,134.30","1,105.00","1,112.90","1,115.60","1,124.35","38,64,525","4,34,50,65,120.35","1,22,687","28,93,480","74.87"
"HCLTECH","EQ","30-Jan-2023","1,115.60","1,115.60","1,139.95","1,105.80","1,135.00","1,134.75","1,126.00","35,08,427","3,95,04,91,624.50","1,23,886","26,30,253","74.97"
"HCLTECH","EQ","31-Jan-2023","1,134.75","1,136.00","1,137.70","1,113.00","1,123.55","1,122.20","1,121.62","45,82,858","5,14,02,06,302.50","1,15,608","32,99,434","72.00"
"HCLTECH","EQ","01-Feb-2023","1,122.20","1,137.00","1,137.00","1,114.45","1,127.40","1,132.10","1,128.63","23,93,911","2,70,18,44,990.25","86,744","16,51,054","68.97"
"HCLTECH","EQ","02-Feb-2023","1,132.10","1,137.80","1,155.50","1,135.00","1,149.00","1,149.60","1,147.38","30,48,359","3,49,76,26,434.70","1,33,617","20,31,044","66.63"
"HCLTECH","EQ","03-Feb-2023","1,149.60","1,154.00","1,156.65","1,138.60","1,145.00","1,146.15","1,146.37","18,14,055","2,07,95,70,969.00","77,381","11,71,406","64.57"
"HCLTECH","EQ","06-Feb-2023","1,146.15","1,135.20","1,149.85","1,128.00","1,145.00","1,145.70","1,141.29","20,70,175","2,36,26,61,258.30","1,01,211","14,01,278","67.69"
"HCLTECH","EQ","07-Feb-2023","1,145.70","1,147.85","1,153.00","1,125.90","1,128.90","1,128.25","1,135.18","19,31,191","2,19,22,41,382.60","45,888","13,05,066","67.58"
"HCLTECH","EQ","08-Feb-2023","1,128.25","1,133.90","1,149.00","1,132.70","1,144.00","1,145.00","1,144.35","28,48,255","3,25,94,05,356.95","66,187","21,49,431","75.46"
"HCLTECH","EQ","09-Feb-2023","1,145.00","1,144.00","1,152.00","1,138.00","1,143.90","1,146.35","1,147.12","15,01,083","1,72,19,19,846.80","64,833","10,07,561","67.12"
"HCLTECH","EQ","10-Feb-2023","1,146.35","1,125.80","1,130.00","1,100.00","1,116.00","1,115.65","1,116.44","31,85,163","3,55,60,58,646.15","95,753","20,33,916","63.86"
"HCLTECH","EQ","13-Feb-2023","1,115.65","1,121.25","1,121.25","1,105.00","1,113.00","1,113.00","1,111.98","20,09,185","2,23,41,67,850.90","55,252","13,61,912","67.78"
"HCLTECH","EQ","14-Feb-2023","1,113.00","1,121.00","1,142.40","1,118.00","1,123.50","1,125.45","1,133.48","39,38,046","4,46,36,90,981.25","93,554","27,74,936","70.46"
"HCLTECH","EQ","15-Feb-2023","1,125.45","1,125.00","1,134.60","1,119.60","1,132.10","1,132.90","1,127.70","16,48,954","1,85,95,33,039.65","50,296","9,76,150","59.20"
"HCLTECH","EQ","16-Feb-2023","1,132.90","1,138.60","1,152.15","1,124.00","1,127.50","1,128.15","1,139.88","23,69,355","2,70,07,81,965.60","1,11,635","15,13,748","63.89"
"HCLTECH","EQ","17-Feb-2023","1,128.15","1,121.70","1,121.70","1,107.55","1,109.95","1,109.55","1,112.87","19,58,807","2,17,99,00,485.45","72,982","12,00,579","61.29"
"HCLTECH","EQ","20-Feb-2023","1,109.55","1,109.55","1,134.70","1,107.60","1,115.75","1,115.70","1,121.92","17,06,036","1,91,40,32,513.05","68,229","6,51,124","38.17"
"HCLTECH","EQ","21-Feb-2023","1,115.70","1,121.00","1,122.05","1,103.10","1,105.00","1,105.20","1,111.77","13,13,278","1,46,00,68,420.70","61,305","8,26,705","62.95"
"HCLTECH","EQ","22-Feb-2023","1,105.20","1,095.00","1,105.55","1,090.05","1,094.00","1,092.60","1,096.99","22,12,194","2,42,67,49,219.65","1,18,301","15,59,008","70.47"
"HCLTECH","EQ","23-Feb-2023","1,092.60","1,104.80","1,111.95","1,092.50","1,094.65","1,094.35","1,100.16","21,39,983","2,35,43,32,881.65","77,977","11,75,078","54.91"
"HCLTECH","EQ","24-Feb-2023","1,094.35","1,097.00","1,104.50","1,082.00","1,095.80","1,094.85","1,093.51","16,84,570","1,84,20,98,940.00","50,674","9,90,043","58.77"
"HCLTECH","EQ","27-Feb-2023","1,094.85","1,090.00","1,090.00","1,076.00","1,082.70","1,083.95","1,082.03","18,34,553","1,98,50,46,185.20","74,276","11,03,551","60.15"
