"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HDFCBANK","EQ","01-Jan-2016","1,082.15","1,082.40","1,090.25","1,076.15","1,088.70","1,088.75","1,086.44","7,98,769","86,78,17,021.40","11,330","4,48,219","56.11"
"HDFCBANK","EQ","04-Jan-2016","1,088.75","1,084.00","1,084.00","1,068.10","1,068.50","1,070.50","1,073.26","12,96,884","1,39,18,87,351.00","29,955","8,28,535","63.89"
"HDFCBANK","EQ","05-Jan-2016","1,070.50","1,070.20","1,074.80","1,061.35","1,062.00","1,062.40","1,066.11","7,90,218","84,24,60,349.80","14,980","3,62,605","45.89"
"HDFCBANK","EQ","06-Jan-2016","1,062.40","1,056.65","1,076.75","1,056.65","1,067.55","1,067.10","1,068.90","10,41,384","1,11,31,35,705.65","18,189","6,18,430","59.39"
"HDFCBANK","EQ","07-Jan-2016","1,067.10","1,060.10","1,064.90","1,049.70","1,052.55","1,056.20","1,058.00","15,13,857","1,60,16,65,276.75","27,942","9,06,608","59.89"
"HDFCBANK","EQ","08-Jan-2016","1,056.20","1,061.95","1,064.50","1,057.25","1,062.00","1,062.35","1,060.70","8,72,089","92,50,28,875.40","14,069","6,19,723","71.06"
"HDFCBANK","EQ","11-Jan-2016","1,062.35","1,052.05","1,061.00","1,045.30","1,058.50","1,058.60","1,054.79","8,22,228","86,72,77,033.60","15,787","4,38,928","53.38"
"HDFCBANK","EQ","12-Jan-2016","1,058.60","1,063.90","1,063.90","1,043.50","1,046.00","1,046.95","1,048.66","10,64,684","1,11,64,90,610.05","15,184","6,97,605","65.52"
"HDFCBANK","EQ","13-Jan-2016","1,046.95","1,052.00","1,062.75","1,037.00","1,056.30","1,060.15","1,048.78","11,28,787","1,18,38,47,594.75","16,816","5,80,819","51.46"
"HDFCBANK","EQ","14-Jan-2016","1,060.15","1,050.15","1,057.40","1,039.50","1,052.00","1,049.75","1,049.41","15,69,796","1,64,73,60,498.45","24,592","10,56,786","67.32"
