"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDALCO","EQ","01-Jan-2014","122.60","122.60","123.80","121.35","121.85","121.80","122.26","41,20,036","50,37,03,391.65","15,939","15,40,865","37.40"
"HINDALCO","EQ","02-Jan-2014","121.80","121.80","125.65","120.00","120.25","120.65","123.23","72,75,995","89,66,28,841.50","35,126","27,09,569","37.24"
"HINDALCO","EQ","03-Jan-2014","120.65","120.00","120.70","117.10","118.45","118.75","118.55","42,79,292","50,73,01,813.05","27,727","9,59,126","22.41"
"HINDALCO","EQ","06-Jan-2014","118.75","118.50","119.60","117.20","117.95","118.25","118.28","33,07,710","39,12,46,310.10","18,091","9,08,114","27.45"
"HINDALCO","EQ","07-Jan-2014","118.25","118.15","118.95","115.00","116.20","116.05","116.28","49,22,926","57,24,43,247.75","27,326","16,98,215","34.50"
"HINDALCO","EQ","08-Jan-2014","116.05","118.25","118.30","114.50","114.85","115.25","116.56","50,02,283","58,30,82,991.45","29,251","19,92,024","39.82"
"HINDALCO","EQ","09-Jan-2014","115.25","115.00","115.25","112.00","112.70","112.65","113.17","53,98,443","61,09,39,503.00","32,539","22,28,453","41.28"
"HINDALCO","EQ","10-Jan-2014","112.65","112.80","113.00","110.15","110.30","110.55","111.34","90,12,277","1,00,34,19,466.10","49,387","46,70,318","51.82"
"HINDALCO","EQ","13-Jan-2014","110.55","110.20","112.25","108.50","110.80","110.00","110.23","42,14,147","46,45,32,089.50","26,203","12,72,240","30.19"
"HINDALCO","EQ","14-Jan-2014","110.00","110.00","111.25","108.75","109.75","109.40","109.83","29,23,798","32,11,10,282.90","20,006","10,88,103","37.22"
"HINDALCO","EQ","15-Jan-2014","109.40","110.30","112.90","110.20","110.75","110.85","111.57","48,17,973","53,75,45,058.90","36,376","15,70,340","32.59"
"HINDALCO","EQ","16-Jan-2014","110.85","111.45","113.35","111.15","113.10","112.95","112.57","47,45,742","53,42,18,815.30","25,083","15,61,870","32.91"
"HINDALCO","EQ","17-Jan-2014","112.95","113.50","114.00","110.50","111.60","111.30","112.06","53,25,344","59,67,52,637.40","28,289","22,06,010","41.42"
"HINDALCO","EQ","20-Jan-2014","111.30","110.10","113.50","110.10","112.40","112.10","112.43","31,13,909","35,00,86,987.65","17,212","9,20,537","29.56"
"HINDALCO","EQ","21-Jan-2014","112.10","112.45","113.40","110.65","113.10","113.00","112.32","38,25,639","42,96,98,079.70","24,783","10,80,679","28.25"
