"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HEROMOTOCO","EQ","01-Jan-2020","2,443.05","2,454.90","2,462.55","2,427.35","2,432.00","2,432.55","2,443.14","3,14,519","76,84,15,228.65","13,924","49,844","15.85"
"HEROMOTOCO","EQ","02-Jan-2020","2,432.55","2,447.80","2,452.00","2,417.05","2,428.20","2,429.45","2,435.16","5,46,945","1,33,19,01,154.50","25,944","2,37,041","43.34"
"HEROMOTOCO","EQ","03-Jan-2020","2,429.45","2,420.00","2,449.00","2,415.00","2,435.75","2,432.35","2,433.37","5,44,720","1,32,55,05,212.85","32,567","1,08,997","20.01"
"HEROMOTOCO","EQ","06-Jan-2020","2,432.35","2,428.95","2,428.95","2,360.05","2,366.00","2,368.15","2,378.32","6,24,665","1,48,56,51,197.50","34,021","2,23,056","35.71"
"HEROMOTOCO","EQ","07-Jan-2020","2,368.15","2,378.00","2,399.90","2,337.00","2,353.70","2,348.05","2,356.79","6,20,687","1,46,28,26,581.80","34,218","2,06,103","33.21"
"HEROMOTOCO","EQ","08-Jan-2020","2,348.05","2,322.00","2,345.05","2,310.55","2,318.90","2,317.55","2,322.24","5,95,883","1,38,37,82,132.80","32,256","1,96,057","32.90"
"HEROMOTOCO","EQ","09-Jan-2020","2,317.55","2,341.00","2,365.00","2,326.10","2,358.00","2,354.55","2,347.95","7,32,115","1,71,89,67,029.65","41,779","2,65,800","36.31"
"HEROMOTOCO","EQ","10-Jan-2020","2,354.55","2,357.00","2,387.70","2,351.00","2,365.00","2,363.45","2,372.67","5,78,287","1,37,20,82,692.15","25,786","1,33,835","23.14"
"HEROMOTOCO","EQ","13-Jan-2020","2,363.45","2,382.90","2,382.90","2,352.35","2,366.00","2,366.75","2,367.95","4,34,063","1,02,78,40,195.45","21,550","1,91,951","44.22"
"HEROMOTOCO","EQ","14-Jan-2020","2,366.75","2,367.00","2,418.80","2,361.05","2,415.50","2,411.40","2,395.48","7,87,340","1,88,60,53,810.95","36,293","3,25,718","41.37"
"HEROMOTOCO","EQ","15-Jan-2020","2,411.40","2,419.95","2,480.55","2,414.00","2,472.10","2,476.30","2,450.52","10,51,367","2,57,63,95,980.25","40,898","4,79,306","45.59"
"HEROMOTOCO","EQ","16-Jan-2020","2,476.30","2,474.95","2,474.95","2,427.00","2,437.00","2,434.50","2,445.48","5,90,255","1,44,34,55,278.30","31,702","1,94,049","32.88"
"HEROMOTOCO","EQ","17-Jan-2020","2,434.50","2,445.00","2,474.90","2,421.60","2,445.00","2,454.00","2,459.23","4,57,663","1,12,54,99,545.40","26,124","84,036","18.36"
"HEROMOTOCO","EQ","20-Jan-2020","2,454.00","2,454.00","2,459.65","2,410.10","2,417.00","2,415.60","2,425.34","3,20,280","77,67,89,027.80","18,965","79,247","24.74"
"HEROMOTOCO","EQ","21-Jan-2020","2,415.60","2,410.00","2,412.65","2,375.00","2,398.00","2,398.70","2,389.59","5,68,473","1,35,84,14,666.85","29,233","2,90,948","51.18"
"HEROMOTOCO","EQ","22-Jan-2020","2,398.70","2,408.70","2,410.00","2,379.00","2,397.10","2,399.05","2,393.56","3,46,888","83,02,95,817.95","21,915","1,55,779","44.91"
"HEROMOTOCO","EQ","23-Jan-2020","2,399.05","2,397.00","2,434.85","2,380.00","2,431.00","2,429.75","2,411.56","3,15,469","76,07,73,700.20","23,581","84,760","26.87"
"HEROMOTOCO","EQ","24-Jan-2020","2,429.75","2,440.00","2,474.80","2,427.10","2,465.00","2,468.65","2,460.02","5,19,690","1,27,84,45,796.55","29,953","2,20,879","42.50"
"HEROMOTOCO","EQ","27-Jan-2020","2,468.65","2,456.00","2,498.50","2,425.05","2,455.00","2,455.75","2,464.13","8,97,656","2,21,19,43,440.25","35,113","1,89,248","21.08"
"HEROMOTOCO","EQ","28-Jan-2020","2,455.75","2,456.75","2,508.95","2,440.00","2,462.50","2,468.85","2,484.38","9,04,634","2,24,74,52,805.65","51,363","3,12,177","34.51"
"HEROMOTOCO","EQ","29-Jan-2020","2,468.85","2,484.00","2,510.00","2,470.00","2,485.25","2,486.35","2,494.60","7,87,135","1,96,35,89,245.80","49,150","3,65,792","46.47"
"HEROMOTOCO","EQ","30-Jan-2020","2,486.35","2,486.95","2,522.00","2,464.00","2,484.00","2,482.30","2,493.80","7,97,868","1,98,97,21,809.20","43,213","1,92,792","24.16"
"HEROMOTOCO","EQ","31-Jan-2020","2,482.30","2,508.00","2,521.90","2,492.05","2,499.00","2,501.85","2,509.76","5,74,957","1,44,30,03,333.25","32,535","2,14,338","37.28"
"HEROMOTOCO","EQ","01-Feb-2020","2,501.85","2,489.85","2,531.00","2,380.15","2,420.00","2,446.90","2,478.19","7,91,944","1,96,25,90,273.45","39,091","2,18,829","27.63"
"HEROMOTOCO","EQ","03-Feb-2020","2,446.90","2,391.00","2,469.00","2,358.00","2,392.00","2,376.15","2,401.98","15,07,692","3,62,14,48,340.45","62,279","5,28,774","35.07"
"HEROMOTOCO","EQ","04-Feb-2020","2,376.15","2,412.00","2,484.60","2,400.80","2,465.00","2,462.05","2,455.26","11,87,298","2,91,51,23,418.30","50,993","3,98,785","33.59"
"HEROMOTOCO","EQ","05-Feb-2020","2,462.05","2,472.00","2,478.90","2,345.55","2,374.00","2,373.25","2,377.41","21,76,980","5,17,55,64,023.80","67,347","11,84,447","54.41"
"HEROMOTOCO","EQ","06-Feb-2020","2,373.25","2,395.00","2,427.00","2,355.00","2,419.00","2,411.30","2,402.94","16,32,634","3,92,31,20,892.65","65,825","6,12,411","37.51"
"HEROMOTOCO","EQ","07-Feb-2020","2,411.30","2,480.00","2,496.00","2,421.35","2,440.05","2,443.45","2,455.42","27,09,754","6,65,35,94,330.05","1,40,151","6,35,211","23.44"
"HEROMOTOCO","EQ","10-Feb-2020","2,443.45","2,449.50","2,457.45","2,375.15","2,395.65","2,385.70","2,406.78","9,49,025","2,28,40,90,557.15","45,162","4,01,324","42.29"
"HEROMOTOCO","EQ","11-Feb-2020","2,385.70","2,415.00","2,443.35","2,390.00","2,399.00","2,396.45","2,417.29","6,80,119","1,64,40,42,269.00","40,646","2,16,651","31.85"
"HEROMOTOCO","EQ","12-Feb-2020","2,396.45","2,410.00","2,430.00","2,400.00","2,425.00","2,423.05","2,417.63","4,67,714","1,13,07,60,263.05","33,002","1,86,409","39.86"
"HEROMOTOCO","EQ","13-Feb-2020","2,423.05","2,419.00","2,441.30","2,401.00","2,411.25","2,408.95","2,421.05","5,14,501","1,24,56,31,124.05","26,432","2,41,266","46.89"
"HEROMOTOCO","EQ","14-Feb-2020","2,408.95","2,424.00","2,437.80","2,351.10","2,361.90","2,356.50","2,389.65","7,98,770","1,90,87,80,047.80","61,296","3,59,831","45.05"
"HEROMOTOCO","EQ","17-Feb-2020","2,356.50","2,335.00","2,335.00","2,269.55","2,283.50","2,283.35","2,292.44","8,18,134","1,87,55,21,449.60","59,116","2,39,245","29.24"
