"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","01-Jan-2021","535.05","535.55","537.00","526.10","527.80","527.50","529.68","1,35,92,625","7,19,97,09,123.40","1,56,898","45,02,751","33.13"
"ICICIBANK","EQ","04-Jan-2021","527.50","532.30","535.00","524.30","531.70","531.70","530.07","1,65,49,750","8,77,25,13,233.75","1,79,521","60,14,993","36.34"
"ICICIBANK","EQ","05-Jan-2021","531.70","526.65","539.95","523.00","536.65","537.25","530.42","2,33,11,516","12,36,49,79,110.35","1,98,989","86,41,365","37.07"
"ICICIBANK","EQ","06-Jan-2021","537.25","538.75","550.60","535.85","544.90","546.70","544.25","2,81,78,838","15,33,63,13,218.10","2,56,515","80,46,348","28.55"
"ICICIBANK","EQ","07-Jan-2021","546.70","552.15","554.40","539.75","542.25","541.10","546.20","2,11,38,034","11,54,55,79,387.45","2,04,824","98,58,553","46.64"
"ICICIBANK","EQ","08-Jan-2021","541.10","547.00","547.10","536.35","542.00","542.05","541.01","2,19,37,965","11,86,87,28,979.40","1,69,218","1,06,66,796","48.62"
"ICICIBANK","EQ","11-Jan-2021","542.05","545.15","546.00","535.00","545.20","544.70","540.62","1,93,94,393","10,48,50,70,657.75","2,01,986","82,03,892","42.30"
"ICICIBANK","EQ","12-Jan-2021","544.70","541.00","550.65","537.10","547.95","548.00","544.09","1,63,88,310","8,91,66,50,749.60","2,25,207","62,37,728","38.06"
"ICICIBANK","EQ","13-Jan-2021","548.00","551.50","561.00","548.25","556.00","556.50","554.80","2,19,20,297","12,16,13,43,003.50","2,28,055","81,22,765","37.06"
"ICICIBANK","EQ","14-Jan-2021","556.50","554.05","558.45","550.60","553.60","553.30","553.49","1,33,30,898","7,37,85,01,384.15","2,04,427","61,18,968","45.90"
