"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INDUSINDBK","EQ","01-Jan-2015","802.45","803.40","814.70","798.40","813.00","812.00","807.73","8,19,116","66,16,26,588.80","14,192","2,68,068","32.73"
"INDUSINDBK","EQ","02-Jan-2015","812.00","816.00","823.35","812.00","815.05","815.90","816.65","6,40,249","52,28,61,794.60","10,890","3,05,085","47.65"
"INDUSINDBK","EQ","05-Jan-2015","815.90","818.00","821.80","812.05","816.50","819.10","817.07","3,36,910","27,52,77,835.00","12,396","1,30,465","38.72"
"INDUSINDBK","EQ","06-Jan-2015","819.10","816.00","816.00","792.35","797.40","798.40","804.50","4,85,801","39,08,25,812.25","10,566","1,46,098","30.07"
"INDUSINDBK","EQ","07-Jan-2015","798.40","800.10","805.50","786.55","793.10","791.95","794.28","7,37,973","58,61,58,362.20","17,737","1,15,794","15.69"
"INDUSINDBK","EQ","08-Jan-2015","791.95","800.00","804.50","788.45","796.50","798.70","795.70","6,23,621","49,62,16,823.75","14,756","2,59,622","41.63"
"INDUSINDBK","EQ","09-Jan-2015","798.70","804.00","810.80","791.55","795.00","802.00","801.96","5,44,145","43,63,83,467.50","13,441","1,96,510","36.11"
"INDUSINDBK","EQ","12-Jan-2015","802.00","804.95","839.20","797.00","836.00","829.45","819.90","8,96,776","73,52,63,353.75","19,954","2,86,882","31.99"
"INDUSINDBK","EQ","13-Jan-2015","829.45","845.00","849.15","820.05","821.15","825.50","837.72","32,64,664","2,73,48,64,626.15","67,468","5,82,239","17.83"
"INDUSINDBK","EQ","14-Jan-2015","825.50","831.70","832.90","811.10","820.45","816.65","820.28","12,38,612","1,01,60,06,304.50","37,490","4,88,799","39.46"
"INDUSINDBK","EQ","15-Jan-2015","816.65","840.50","849.00","825.00","828.25","830.35","833.64","14,93,767","1,24,52,62,666.70","40,331","6,07,171","40.65"
