"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","02-Jan-2017","241.65","242.00","242.25","238.60","239.95","240.95","240.49","48,87,504","1,17,54,15,482.65","43,776","31,44,444","64.34"
"ITC","EQ","03-Jan-2017","240.95","240.90","245.70","239.25","242.85","243.35","243.84","75,08,925","1,83,09,54,935.00","74,562","50,21,123","66.87"
"ITC","EQ","04-Jan-2017","243.35","242.85","247.00","240.10","246.50","245.45","243.53","93,10,104","2,26,73,11,648.60","1,25,175","73,49,301","78.94"
"ITC","EQ","05-Jan-2017","245.45","244.50","247.85","244.10","246.50","246.75","246.13","91,78,665","2,25,91,71,130.85","92,634","62,07,277","67.63"
"ITC","EQ","06-Jan-2017","246.75","247.00","249.00","242.20","242.50","242.70","244.39","80,93,288","1,97,78,87,557.70","87,354","58,66,716","72.49"
"ITC","EQ","09-Jan-2017","242.70","242.85","246.60","242.10","245.30","245.85","245.09","48,54,672","1,18,98,49,569.75","59,911","35,57,960","73.29"
"ITC","EQ","10-Jan-2017","245.85","246.00","249.85","245.70","248.05","248.95","248.05","1,19,77,335","2,97,10,06,003.75","88,441","98,09,170","81.90"
"ITC","EQ","11-Jan-2017","248.95","249.80","250.50","246.60","247.00","247.55","248.98","76,37,281","1,90,15,20,378.50","66,209","59,31,998","77.67"
"ITC","EQ","12-Jan-2017","247.55","247.70","247.70","244.15","244.75","244.65","245.20","56,01,066","1,37,33,68,637.65","45,791","42,94,002","76.66"
"ITC","EQ","13-Jan-2017","244.65","246.00","251.00","242.50","250.10","249.65","247.61","43,84,819","1,08,57,41,425.40","50,376","26,90,082","61.35"
"ITC","EQ","16-Jan-2017","249.65","249.25","250.85","247.10","249.50","248.80","248.34","46,35,410","1,15,11,48,009.80","57,246","30,95,748","66.78"
"ITC","EQ","17-Jan-2017","248.80","248.80","252.30","248.80","251.35","251.95","251.03","48,11,618","1,20,78,47,044.85","37,044","31,95,832","66.42"
"ITC","EQ","18-Jan-2017","251.95","251.60","254.30","249.80","251.20","250.85","252.02","72,54,738","1,82,83,41,418.10","64,995","55,61,067","76.65"
"ITC","EQ","19-Jan-2017","250.85","249.75","254.75","249.55","254.40","254.15","253.33","91,84,429","2,32,67,29,397.60","62,342","70,48,260","76.74"
"ITC","EQ","20-Jan-2017","254.15","254.25","256.30","253.70","255.20","255.40","255.23","1,08,43,902","2,76,77,29,040.95","64,470","82,80,798","76.36"
"ITC","EQ","23-Jan-2017","255.40","255.10","260.15","255.05","259.65","259.65","258.79","1,06,90,194","2,76,65,09,304.85","80,734","83,69,512","78.29"
"ITC","EQ","24-Jan-2017","259.65","259.60","260.75","257.35","260.20","259.85","259.40","80,31,785","2,08,34,80,500.75","69,173","63,86,751","79.52"
"ITC","EQ","25-Jan-2017","259.85","259.95","266.40","259.60","265.55","265.50","263.60","1,74,51,497","4,60,02,78,186.40","88,253","1,47,38,499","84.45"
"ITC","EQ","27-Jan-2017","265.50","263.50","266.95","256.10","257.50","257.40","261.89","2,44,97,031","6,41,54,22,937.80","1,57,490","1,34,31,789","54.83"
"ITC","EQ","30-Jan-2017","257.40","258.40","261.00","255.50","256.10","256.10","257.56","89,10,592","2,29,49,98,074.45","72,524","64,99,175","72.94"
"ITC","EQ","31-Jan-2017","256.10","256.20","259.95","254.60","258.20","258.10","258.04","99,95,686","2,57,92,78,580.40","66,752","72,77,657","72.81"
"ITC","EQ","01-Feb-2017","258.10","260.00","270.10","258.50","269.50","269.70","265.43","3,38,40,797","8,98,23,54,541.90","1,61,356","2,06,77,149","61.10"
"ITC","EQ","02-Feb-2017","269.70","271.00","279.90","269.50","273.60","274.30","274.97","2,97,22,686","8,17,28,41,930.60","1,56,253","1,92,29,020","64.69"
"ITC","EQ","03-Feb-2017","274.30","274.00","275.50","270.50","273.60","273.05","272.84","90,09,906","2,45,82,47,193.20","62,367","64,25,154","71.31"
