"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"JSWSTEEL","EQ","01-Jan-2021","387.20","387.25","391.50","384.60","388.50","389.70","388.46","44,61,761","1,73,32,04,773.85","37,517","3,61,794","8.11"
"JSWSTEEL","EQ","04-Jan-2021","389.70","392.00","405.10","391.10","403.65","403.10","398.30","88,72,723","3,53,39,84,542.65","71,672","10,14,504","11.43"
"JSWSTEEL","EQ","05-Jan-2021","403.10","400.00","401.00","391.60","395.55","395.25","395.93","61,90,435","2,45,09,96,305.10","61,887","8,09,722","13.08"
"JSWSTEEL","EQ","06-Jan-2021","395.25","397.20","407.35","395.75","400.50","401.70","400.59","79,10,567","3,16,88,86,195.65","75,979","8,12,527","10.27"
"JSWSTEEL","EQ","07-Jan-2021","401.70","404.00","413.10","403.15","404.45","405.40","408.45","1,02,31,006","4,17,88,97,036.40","1,21,482","20,81,830","20.35"
"JSWSTEEL","EQ","08-Jan-2021","405.40","410.30","410.45","398.50","402.10","402.85","404.96","75,59,664","3,06,13,69,726.90","96,666","19,78,015","26.17"
"JSWSTEEL","EQ","11-Jan-2021","402.85","402.85","404.95","392.65","399.70","399.05","397.91","48,22,618","1,91,89,82,186.55","48,223","8,68,394","18.01"
"JSWSTEEL","EQ","12-Jan-2021","399.05","398.95","412.95","397.05","398.60","399.55","405.37","67,08,618","2,71,94,96,397.15","58,096","8,83,596","13.17"
"JSWSTEEL","EQ","13-Jan-2021","399.55","401.55","407.40","394.15","401.80","402.95","402.64","68,85,599","2,77,23,92,927.00","56,926","10,44,783","15.17"
"JSWSTEEL","EQ","14-Jan-2021","402.95","404.35","405.65","394.00","396.25","396.40","396.82","48,86,430","1,93,90,48,392.50","60,697","9,48,104","19.40"
"JSWSTEEL","EQ","15-Jan-2021","396.40","398.00","402.55","391.20","394.30","394.20","396.53","73,29,969","2,90,65,78,445.60","67,977","9,30,399","12.69"
"JSWSTEEL","EQ","18-Jan-2021","394.20","393.50","394.00","375.50","377.45","383.10","382.88","1,06,05,461","4,06,06,16,120.40","80,269","41,35,365","38.99"
"JSWSTEEL","EQ","19-Jan-2021","383.10","386.20","397.75","381.60","395.65","395.40","390.20","58,42,513","2,27,97,74,750.20","55,051","8,27,852","14.17"
"JSWSTEEL","EQ","20-Jan-2021","395.40","395.00","402.90","393.45","398.40","400.90","399.16","56,04,951","2,23,72,74,967.00","49,112","14,55,566","25.97"
"JSWSTEEL","EQ","21-Jan-2021","400.90","402.50","405.00","388.95","396.00","393.30","397.14","70,85,945","2,81,41,06,355.95","67,730","9,17,861","12.95"
"JSWSTEEL","EQ","22-Jan-2021","393.30","396.00","397.45","372.20","377.70","375.40","383.80","87,79,405","3,36,95,28,678.40","74,367","10,56,405","12.03"
"JSWSTEEL","EQ","25-Jan-2021","375.40","388.00","394.95","371.45","382.55","382.45","382.91","1,78,74,949","6,84,44,79,668.05","1,64,936","15,88,855","8.89"
"JSWSTEEL","EQ","27-Jan-2021","382.45","380.60","382.00","371.55","374.00","376.25","377.59","85,76,326","3,23,82,97,905.15","93,894","17,91,799","20.89"
"JSWSTEEL","EQ","28-Jan-2021","376.25","371.00","380.85","369.60","375.35","376.30","374.30","69,69,457","2,60,86,54,308.00","68,667","14,49,765","20.80"
"JSWSTEEL","EQ","29-Jan-2021","376.30","382.05","382.55","363.20","365.30","366.85","372.53","79,81,367","2,97,33,27,710.30","66,969","21,07,988","26.41"
"JSWSTEEL","EQ","01-Feb-2021","366.85","366.50","384.40","363.65","381.00","380.85","372.21","61,41,212","2,28,58,28,450.30","62,448","8,84,581","14.40"
"JSWSTEEL","EQ","02-Feb-2021","380.85","384.65","391.70","376.70","389.00","389.00","384.76","74,50,391","2,86,66,34,152.10","62,118","13,98,475","18.77"
"JSWSTEEL","EQ","03-Feb-2021","389.00","386.20","398.45","384.70","393.00","392.90","392.88","60,63,017","2,38,20,51,214.40","57,075","8,61,362","14.21"
"JSWSTEEL","EQ","04-Feb-2021","392.90","392.90","402.00","390.45","400.90","400.30","398.47","62,83,280","2,50,36,81,334.70","59,704","17,73,999","28.23"
"JSWSTEEL","EQ","05-Feb-2021","400.30","403.00","406.60","389.15","402.85","402.20","400.05","90,08,833","3,60,40,14,513.15","76,433","9,49,189","10.54"
"JSWSTEEL","EQ","08-Feb-2021","402.20","404.55","419.25","401.20","416.25","417.65","411.42","90,08,722","3,70,63,52,176.95","83,516","16,28,712","18.08"
