"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","01-Jan-2015","1,263.90","1,263.80","1,265.00","1,251.10","1,261.75","1,258.60","1,259.52","2,50,998","31,61,37,720.85","9,230","1,18,205","47.09"
"KOTAKBANK","EQ","02-Jan-2015","1,258.60","1,261.00","1,279.00","1,258.30","1,278.00","1,271.55","1,271.97","6,31,815","80,36,52,186.45","25,080","3,87,243","61.29"
"KOTAKBANK","EQ","05-Jan-2015","1,271.55","1,272.10","1,278.85","1,262.00","1,267.60","1,266.45","1,266.77","3,05,115","38,65,10,013.10","15,419","1,03,423","33.90"
"KOTAKBANK","EQ","06-Jan-2015","1,266.45","1,255.00","1,262.25","1,233.55","1,253.00","1,251.35","1,251.25","11,34,543","1,41,96,02,569.35","45,554","6,81,945","60.11"
"KOTAKBANK","EQ","07-Jan-2015","1,251.35","1,247.50","1,303.95","1,247.50","1,272.90","1,271.50","1,280.55","17,85,887","2,28,69,21,521.05","29,405","11,92,265","66.76"
"KOTAKBANK","EQ","08-Jan-2015","1,271.50","1,300.00","1,353.00","1,286.40","1,343.00","1,340.65","1,319.67","34,54,883","4,55,93,17,758.60","76,329","24,00,955","69.49"
"KOTAKBANK","EQ","09-Jan-2015","1,340.65","1,354.40","1,370.50","1,340.55","1,359.90","1,360.95","1,359.17","32,18,705","4,37,47,69,882.35","53,915","23,06,638","71.66"
"KOTAKBANK","EQ","12-Jan-2015","1,360.95","1,360.95","1,387.00","1,348.30","1,372.00","1,371.00","1,371.59","8,43,421","1,15,68,29,965.15","54,143","4,37,802","51.91"
"KOTAKBANK","EQ","13-Jan-2015","1,371.00","1,372.00","1,409.85","1,367.70","1,397.50","1,392.95","1,391.35","9,60,821","1,33,68,42,377.05","50,646","4,60,252","47.90"
"KOTAKBANK","EQ","14-Jan-2015","1,392.95","1,394.10","1,397.50","1,377.20","1,393.00","1,391.20","1,386.50","7,59,290","1,05,27,53,328.95","27,053","4,56,298","60.10"
