"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KOTAKBANK","EQ","02-Jan-2017","719.70","720.00","721.00","708.25","716.00","714.80","713.56","12,06,555","86,09,54,988.60","22,541","7,50,330","62.19"
"KOTAKBANK","EQ","03-Jan-2017","714.80","714.95","717.45","707.15","712.00","711.75","713.29","13,81,976","98,57,52,925.30","20,803","9,63,037","69.69"
"KOTAKBANK","EQ","04-Jan-2017","711.75","713.00","713.00","692.50","698.00","695.60","699.99","42,58,608","2,98,09,99,294.80","70,201","25,04,370","58.81"
"KOTAKBANK","EQ","05-Jan-2017","695.60","702.85","702.85","696.20","698.00","698.95","699.56","21,80,203","1,52,51,85,955.30","48,345","13,30,312","61.02"
"KOTAKBANK","EQ","06-Jan-2017","698.95","698.00","718.50","693.35","714.90","716.85","706.36","36,64,687","2,58,85,91,567.05","45,308","21,09,747","57.57"
"KOTAKBANK","EQ","09-Jan-2017","716.85","718.00","724.25","707.10","710.00","709.25","715.49","15,40,326","1,10,20,83,108.55","32,211","9,52,430","61.83"
"KOTAKBANK","EQ","10-Jan-2017","709.25","711.10","715.70","710.00","712.45","712.65","712.68","8,67,005","61,79,01,322.75","26,496","6,10,288","70.39"
"KOTAKBANK","EQ","11-Jan-2017","712.65","715.00","733.80","708.00","727.65","728.40","720.57","35,77,518","2,57,78,48,086.25","84,154","21,23,808","59.37"
"KOTAKBANK","EQ","12-Jan-2017","728.40","732.45","732.45","723.05","727.25","727.95","728.51","11,06,785","80,63,01,013.35","19,428","6,27,971","56.74"
"KOTAKBANK","EQ","13-Jan-2017","727.95","731.50","735.60","724.40","725.75","727.75","729.70","10,06,051","73,41,14,521.75","19,967","6,14,569","61.09"
"KOTAKBANK","EQ","16-Jan-2017","727.75","726.10","736.20","723.00","731.50","731.20","729.88","7,41,938","54,15,27,195.30","16,553","3,80,896","51.34"
"KOTAKBANK","EQ","17-Jan-2017","731.20","732.80","735.00","724.30","724.70","726.00","728.25","6,81,333","49,61,83,318.90","22,827","3,76,385","55.24"
"KOTAKBANK","EQ","18-Jan-2017","726.00","725.10","741.75","725.10","731.80","731.10","734.34","11,25,851","82,67,55,823.80","30,831","5,45,533","48.46"
"KOTAKBANK","EQ","19-Jan-2017","731.10","731.00","737.00","727.00","729.95","728.20","731.27","9,15,362","66,93,76,057.65","28,166","5,86,703","64.10"
