"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LT","EQ","01-Jan-2019","1,437.55","1,445.00","1,445.00","1,425.20","1,443.80","1,441.90","1,436.91","7,86,846","1,13,06,30,486.20","28,852","2,90,280","36.89"
"LT","EQ","02-Jan-2019","1,441.90","1,441.00","1,444.90","1,417.10","1,424.50","1,425.50","1,429.11","20,58,504","2,94,18,37,757.00","53,923","10,28,960","49.99"
"LT","EQ","03-Jan-2019","1,425.50","1,426.00","1,429.00","1,391.00","1,400.00","1,395.00","1,407.86","22,90,756","3,22,50,72,420.30","87,657","10,99,964","48.02"
"LT","EQ","04-Jan-2019","1,395.00","1,401.90","1,407.60","1,373.55","1,386.90","1,388.05","1,386.94","27,11,485","3,76,06,68,553.80","1,64,316","15,11,957","55.76"
"LT","EQ","07-Jan-2019","1,388.05","1,397.00","1,408.60","1,379.05","1,386.10","1,383.80","1,392.16","18,51,513","2,57,75,93,643.40","76,744","8,64,883","46.71"
"LT","EQ","08-Jan-2019","1,383.80","1,387.50","1,393.85","1,375.00","1,381.00","1,382.20","1,382.43","14,37,271","1,98,69,25,788.10","47,602","5,75,506","40.04"
"LT","EQ","09-Jan-2019","1,382.20","1,389.50","1,393.55","1,372.00","1,383.00","1,386.05","1,383.11","14,13,005","1,95,43,39,164.65","49,965","7,18,543","50.85"
"LT","EQ","10-Jan-2019","1,386.05","1,388.00","1,398.90","1,383.25","1,391.00","1,392.60","1,392.97","10,63,647","1,48,16,25,716.00","49,574","4,63,137","43.54"
"LT","EQ","11-Jan-2019","1,392.60","1,393.00","1,393.90","1,361.05","1,370.00","1,369.60","1,369.80","24,89,197","3,40,97,13,072.65","89,291","13,41,246","53.88"
"LT","EQ","14-Jan-2019","1,369.60","1,367.20","1,367.20","1,331.00","1,334.50","1,333.90","1,338.25","30,80,984","4,12,31,26,184.60","1,13,543","18,63,515","60.48"
"LT","EQ","15-Jan-2019","1,333.90","1,340.00","1,348.00","1,330.00","1,342.90","1,340.90","1,338.17","30,79,248","4,12,05,54,732.85","89,864","19,22,628","62.44"
"LT","EQ","16-Jan-2019","1,340.90","1,342.90","1,361.50","1,336.00","1,344.15","1,342.15","1,348.90","24,54,470","3,31,08,44,333.75","1,04,816","11,49,774","46.84"
"LT","EQ","17-Jan-2019","1,342.15","1,345.10","1,351.80","1,336.95","1,342.55","1,346.05","1,344.05","16,10,419","2,16,44,88,390.10","75,280","8,28,390","51.44"
"LT","EQ","18-Jan-2019","1,346.05","1,350.85","1,352.00","1,313.00","1,319.50","1,317.90","1,327.19","21,35,781","2,83,45,84,395.40","1,14,704","12,15,122","56.89"
"LT","EQ","21-Jan-2019","1,317.90","1,279.00","1,337.25","1,273.45","1,314.60","1,314.55","1,309.31","88,13,681","11,53,98,57,017.20","2,38,465","39,98,378","45.37"
"LT","EQ","22-Jan-2019","1,314.55","1,316.90","1,321.50","1,298.10","1,300.00","1,301.15","1,306.25","25,44,978","3,32,43,83,389.30","1,33,960","14,65,983","57.60"
"LT","EQ","23-Jan-2019","1,301.15","1,301.00","1,306.90","1,293.55","1,301.50","1,301.45","1,301.58","18,21,323","2,37,05,90,424.75","1,13,299","10,01,121","54.97"
"LT","EQ","24-Jan-2019","1,301.45","1,305.00","1,305.55","1,287.00","1,294.00","1,295.35","1,295.37","16,54,706","2,14,34,57,261.35","58,707","7,93,380","47.95"
"LT","EQ","25-Jan-2019","1,295.35","1,300.00","1,314.10","1,281.50","1,288.15","1,285.45","1,300.82","31,36,788","4,08,04,04,630.00","92,172","11,66,566","37.19"
"LT","EQ","28-Jan-2019","1,285.45","1,295.45","1,337.90","1,291.65","1,302.00","1,300.45","1,313.16","80,04,136","10,51,06,82,482.30","2,64,752","-","-"
"LT","EQ","29-Jan-2019","1,300.45","1,304.00","1,308.80","1,268.20","1,281.10","1,278.05","1,283.41","36,85,535","4,73,00,42,249.45","1,28,782","21,39,347","58.05"
"LT","EQ","30-Jan-2019","1,278.05","1,284.30","1,309.00","1,281.00","1,291.10","1,294.45","1,295.73","23,85,425","3,09,08,65,526.70","1,00,249","10,81,811","45.35"
"LT","EQ","31-Jan-2019","1,294.45","1,304.00","1,321.70","1,296.55","1,308.30","1,314.30","1,310.87","58,52,257","7,67,15,45,020.60","1,33,129","46,25,852","79.04"
"LT","EQ","01-Feb-2019","1,314.30","1,315.50","1,334.55","1,313.00","1,324.70","1,324.60","1,326.11","25,15,736","3,33,61,50,792.10","80,140","13,22,394","52.56"
"LT","EQ","04-Feb-2019","1,324.60","1,326.85","1,326.85","1,302.60","1,306.45","1,307.40","1,314.88","23,08,931","3,03,59,78,553.65","88,628","12,88,538","55.81"
"LT","EQ","05-Feb-2019","1,307.40","1,310.70","1,323.00","1,300.00","1,304.00","1,304.60","1,311.63","14,47,400","1,89,84,53,957.45","57,219","4,80,406","33.19"
"LT","EQ","06-Feb-2019","1,304.60","1,308.00","1,322.00","1,293.05","1,308.00","1,314.40","1,310.33","20,34,886","2,66,63,72,333.45","1,03,402","10,25,884","50.41"
"LT","EQ","07-Feb-2019","1,314.40","1,314.00","1,320.85","1,289.20","1,295.15","1,296.05","1,306.32","15,56,295","2,03,30,26,837.65","56,193","7,77,042","49.93"
"LT","EQ","08-Feb-2019","1,296.05","1,295.00","1,298.90","1,255.55","1,259.60","1,261.75","1,272.06","29,93,525","3,80,79,54,572.85","1,11,606","15,87,714","53.04"
