"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MARUTI","EQ","02-Jan-2023","8,394.60","8,365.00","8,454.00","8,337.60","8,408.00","8,403.30","8,405.90","3,98,159","3,34,68,84,016.15","48,615","2,07,098","52.01"
"MARUTI","EQ","03-Jan-2023","8,403.30","8,380.00","8,402.00","8,304.15","8,390.00","8,382.75","8,363.88","4,93,207","4,12,51,21,885.85","79,882","3,01,315","61.09"
"MARUTI","EQ","04-Jan-2023","8,382.75","8,376.00","8,537.05","8,311.05","8,419.00","8,422.80","8,421.22","5,66,744","4,77,26,78,127.50","67,370","2,62,363","46.29"
"MARUTI","EQ","05-Jan-2023","8,422.80","8,444.95","8,475.00","8,390.05","8,470.00","8,461.10","8,428.69","4,17,716","3,52,08,00,140.80","70,713","2,33,382","55.87"
"MARUTI","EQ","06-Jan-2023","8,461.10","8,460.00","8,483.95","8,350.00","8,370.00","8,383.05","8,397.40","3,68,978","3,09,84,57,159.20","53,443","2,06,253","55.90"
"MARUTI","EQ","09-Jan-2023","8,383.05","8,424.85","8,446.95","8,325.10","8,380.00","8,377.00","8,385.69","6,13,406","5,14,38,33,217.05","92,471","3,90,583","63.67"
"MARUTI","EQ","10-Jan-2023","8,377.00","8,380.00","8,410.00","8,262.90","8,304.00","8,293.15","8,316.61","4,93,677","4,10,57,20,227.40","74,247","3,06,311","62.05"
"MARUTI","EQ","11-Jan-2023","8,293.15","8,334.65","8,334.65","8,249.15","8,298.45","8,284.45","8,289.45","3,27,536","2,71,50,92,146.35","56,685","1,72,791","52.75"
"MARUTI","EQ","12-Jan-2023","8,284.45","8,315.00","8,377.00","8,260.00","8,365.00","8,369.20","8,332.84","2,83,772","2,36,46,26,252.95","57,766","1,28,131","45.15"
"MARUTI","EQ","13-Jan-2023","8,369.20","8,397.00","8,500.05","8,351.00","8,454.20","8,453.40","8,450.10","7,05,220","5,95,91,82,204.15","77,785","4,38,916","62.24"
"MARUTI","EQ","16-Jan-2023","8,453.40","8,480.00","8,514.30","8,343.60","8,360.05","8,380.10","8,399.80","5,00,575","4,20,47,30,719.10","63,773","2,70,808","54.10"
"MARUTI","EQ","17-Jan-2023","8,380.10","8,409.85","8,493.30","8,342.15","8,478.05","8,479.35","8,428.57","4,09,248","3,44,93,76,289.90","51,540","2,37,566","58.05"
"MARUTI","EQ","18-Jan-2023","8,479.35","8,473.00","8,537.40","8,464.30","8,495.00","8,494.05","8,500.81","4,02,883","3,42,48,33,436.20","52,978","2,24,069","55.62"
"MARUTI","EQ","19-Jan-2023","8,494.05","8,479.00","8,519.00","8,456.50","8,490.00","8,501.65","8,493.36","1,84,776","1,56,93,69,353.50","33,758","78,526","42.50"
"MARUTI","EQ","20-Jan-2023","8,501.65","8,462.05","8,500.00","8,412.00","8,420.00","8,439.80","8,458.94","3,46,337","2,92,96,43,905.85","71,153","1,87,939","54.26"
