"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NESTLEIND","EQ","01-Jan-2021","18,390.25","18,389.70","18,520.00","18,306.05","18,425.00","18,450.70","18,434.26","50,286","92,69,85,279.15","12,539","9,592","19.07"
"NESTLEIND","EQ","04-Jan-2021","18,450.70","18,495.00","18,630.00","18,329.75","18,396.55","18,377.95","18,449.23","62,035","1,14,44,97,688.20","15,602","17,411","28.07"
"NESTLEIND","EQ","05-Jan-2021","18,377.95","18,343.50","18,620.00","18,278.05","18,598.10","18,558.25","18,475.31","83,673","1,54,58,84,545.50","19,901","27,260","32.58"
"NESTLEIND","EQ","06-Jan-2021","18,558.25","18,510.05","18,600.00","18,430.00","18,490.05","18,515.25","18,506.03","57,706","1,06,79,08,952.95","16,111","21,979","38.09"
"NESTLEIND","EQ","07-Jan-2021","18,515.25","18,599.00","18,615.00","18,050.10","18,137.00","18,127.30","18,244.28","1,20,605","2,20,03,50,821.30","28,858","52,368","43.42"
"NESTLEIND","EQ","08-Jan-2021","18,127.30","18,227.30","18,350.00","18,000.00","18,302.10","18,306.25","18,153.68","1,51,635","2,75,27,33,293.30","36,021","65,679","43.31"
"NESTLEIND","EQ","11-Jan-2021","18,306.25","18,350.00","18,545.85","18,188.10","18,410.00","18,391.45","18,358.02","1,14,555","2,10,30,02,869.20","31,931","42,643","37.22"
"NESTLEIND","EQ","12-Jan-2021","18,391.45","18,410.00","18,439.95","17,950.00","18,000.00","17,999.10","18,097.99","1,41,566","2,56,20,60,731.35","34,213","81,815","57.79"
"NESTLEIND","EQ","13-Jan-2021","17,999.10","18,039.95","18,275.00","17,965.00","18,015.00","18,019.30","18,094.19","1,09,387","1,97,92,68,816.75","24,012","25,898","23.68"
"NESTLEIND","EQ","14-Jan-2021","18,019.30","18,049.00","18,229.40","18,049.00","18,109.60","18,132.60","18,129.19","58,488","1,06,03,40,270.85","15,815","25,889","44.26"
"NESTLEIND","EQ","15-Jan-2021","18,132.60","18,110.05","18,249.00","17,800.00","17,855.00","17,834.00","17,986.44","96,401","1,73,39,11,181.20","23,718","36,623","37.99"
"NESTLEIND","EQ","18-Jan-2021","17,834.00","17,849.95","18,074.00","17,556.75","17,599.95","17,630.70","17,820.53","1,20,674","2,15,04,75,038.65","25,960","43,336","35.91"
"NESTLEIND","EQ","19-Jan-2021","17,630.70","17,730.00","17,820.50","17,670.00","17,770.50","17,754.70","17,743.87","62,849","1,11,51,84,514.05","12,794","27,178","43.24"
"NESTLEIND","EQ","20-Jan-2021","17,754.70","17,767.00","17,940.00","17,623.05","17,682.00","17,681.30","17,752.99","73,831","1,31,07,21,300.00","18,688","25,443","34.46"
"NESTLEIND","EQ","21-Jan-2021","17,681.30","17,770.00","17,900.00","17,655.35","17,752.90","17,716.30","17,771.31","70,977","1,26,13,54,098.25","20,312","25,060","35.31"
"NESTLEIND","EQ","22-Jan-2021","17,716.30","17,784.00","17,882.30","17,550.00","17,639.00","17,589.60","17,691.35","98,250","1,73,81,74,989.85","26,508","37,495","38.16"
"NESTLEIND","EQ","25-Jan-2021","17,589.60","17,652.00","17,700.00","17,229.85","17,400.00","17,415.25","17,359.48","1,16,436","2,02,12,68,562.15","27,225","54,140","46.50"
"NESTLEIND","EQ","27-Jan-2021","17,415.25","17,472.95","17,597.70","17,340.25","17,525.00","17,538.10","17,482.26","66,402","1,16,08,57,052.90","17,875","34,045","51.27"
"NESTLEIND","EQ","28-Jan-2021","17,538.10","17,470.00","17,520.00","17,203.00","17,306.00","17,387.65","17,395.49","89,055","1,54,91,55,556.60","24,579","41,369","46.45"
"NESTLEIND","EQ","29-Jan-2021","17,387.65","17,385.05","17,467.85","16,961.30","17,150.00","17,060.00","17,224.84","1,12,888","1,94,44,77,791.55","21,728","61,667","54.63"
"NESTLEIND","EQ","01-Feb-2021","17,060.00","17,200.00","17,275.70","17,000.00","17,139.00","17,087.70","17,109.82","84,406","1,44,41,71,140.90","23,144","38,293","45.37"
"NESTLEIND","EQ","02-Feb-2021","17,087.70","17,150.05","17,350.00","17,054.50","17,185.00","17,190.30","17,213.21","1,30,298","2,24,28,46,639.90","22,001","75,065","57.61"
"NESTLEIND","EQ","03-Feb-2021","17,190.30","17,200.05","17,289.00","17,051.00","17,121.00","17,166.40","17,176.91","1,12,325","1,92,93,96,794.35","20,785","54,510","48.53"
"NESTLEIND","EQ","04-Feb-2021","17,166.40","17,199.90","17,226.95","17,052.45","17,078.00","17,074.00","17,108.27","92,100","1,57,56,71,976.60","25,269","46,645","50.65"
"NESTLEIND","EQ","05-Feb-2021","17,074.00","17,131.05","17,167.20","17,003.00","17,110.00","17,115.75","17,073.40","98,097","1,67,48,49,753.45","20,251","53,189","54.22"
"NESTLEIND","EQ","08-Feb-2021","17,115.75","17,180.00","17,284.90","17,101.15","17,192.00","17,218.20","17,208.48","1,21,607","2,09,26,71,979.80","27,272","64,563","53.09"
"NESTLEIND","EQ","09-Feb-2021","17,218.20","17,211.00","17,510.00","17,150.00","17,336.20","17,318.95","17,381.32","1,21,012","2,10,33,48,150.35","26,632","49,255","40.70"
"NESTLEIND","EQ","10-Feb-2021","17,318.95","17,340.20","17,436.80","17,086.50","17,215.00","17,177.35","17,222.24","1,16,576","2,00,76,99,735.60","31,207","57,516","49.34"
"NESTLEIND","EQ","11-Feb-2021","17,177.35","17,189.90","17,447.45","17,150.00","17,396.10","17,412.25","17,344.00","65,366","1,13,37,08,016.40","14,706","26,401","40.39"
"NESTLEIND","EQ","12-Feb-2021","17,412.25","17,410.10","17,519.00","17,240.00","17,240.00","17,294.30","17,364.00","54,528","94,68,23,997.65","11,361","19,973","36.63"
"NESTLEIND","EQ","15-Feb-2021","17,294.30","17,349.00","17,506.75","17,258.05","17,500.00","17,479.85","17,447.12","1,10,119","1,92,12,58,936.55","22,833","69,077","62.73"
"NESTLEIND","EQ","16-Feb-2021","17,479.85","17,555.00","17,646.00","17,139.10","17,200.00","17,217.25","17,304.64","2,29,774","3,97,61,55,431.30","41,851","99,079","43.12"
"NESTLEIND","EQ","17-Feb-2021","17,217.25","16,900.00","16,900.00","16,350.00","16,700.00","16,741.20","16,637.70","5,99,343","9,97,16,88,252.10","97,399","2,35,546","39.30"
"NESTLEIND","EQ","18-Feb-2021","16,741.20","16,756.00","16,900.00","16,300.00","16,430.00","16,364.70","16,477.73","2,51,066","4,13,69,96,906.15","46,881","1,31,421","52.35"
