"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NTPC","EQ","02-Jan-2017","164.75","165.05","167.15","164.40","164.40","164.80","165.18","26,26,822","43,39,08,870.80","26,095","18,46,505","70.29"
"NTPC","EQ","03-Jan-2017","164.80","164.90","166.25","164.25","165.45","165.45","165.48","20,40,418","33,76,54,642.65","23,831","13,03,237","63.87"
"NTPC","EQ","04-Jan-2017","165.45","165.05","167.50","164.35","165.00","164.85","165.76","31,07,781","51,51,35,641.65","54,036","21,24,471","68.36"
"NTPC","EQ","05-Jan-2017","164.85","164.05","166.30","164.05","165.00","165.00","165.36","55,44,134","91,67,62,809.05","41,835","41,31,025","74.51"
"NTPC","EQ","06-Jan-2017","165.00","165.05","166.30","163.60","163.70","164.00","164.92","41,22,870","67,99,37,937.75","29,871","31,72,746","76.95"
"NTPC","EQ","09-Jan-2017","164.00","164.00","164.30","161.10","163.35","163.05","162.25","38,08,047","61,78,41,032.70","23,895","26,75,306","70.25"
"NTPC","EQ","10-Jan-2017","163.05","163.35","163.80","161.70","162.50","162.30","162.85","20,19,850","32,89,40,191.20","11,487","15,47,891","76.63"
"NTPC","EQ","11-Jan-2017","162.30","163.00","164.80","161.85","164.10","164.50","163.20","23,03,003","37,58,41,829.70","23,831","11,65,658","50.61"
"NTPC","EQ","12-Jan-2017","164.50","165.00","174.35","164.50","173.90","173.70","171.48","1,01,15,458","1,73,46,01,141.25","54,606","39,18,651","38.74"
"NTPC","EQ","13-Jan-2017","173.70","174.90","175.00","170.65","170.95","171.00","171.80","53,60,790","92,10,02,345.00","27,159","33,30,690","62.13"
"NTPC","EQ","16-Jan-2017","171.00","169.35","173.15","169.00","170.30","170.65","171.45","46,33,778","79,44,83,168.80","30,515","27,63,808","59.64"
"NTPC","EQ","17-Jan-2017","170.65","171.30","176.20","170.25","175.90","175.70","173.65","65,60,938","1,13,92,85,889.35","37,388","38,76,176","59.08"
"NTPC","EQ","18-Jan-2017","175.70","176.00","176.25","172.00","172.70","172.75","173.77","51,76,276","89,95,06,318.30","53,547","31,24,281","60.36"
"NTPC","EQ","19-Jan-2017","172.75","173.00","175.00","171.75","173.80","174.15","173.13","65,64,354","1,13,64,61,001.30","33,605","46,87,979","71.42"
"NTPC","EQ","20-Jan-2017","174.15","173.70","174.10","169.80","170.15","170.45","171.52","36,43,869","62,50,08,048.95","19,586","23,78,866","65.28"
"NTPC","EQ","23-Jan-2017","170.45","170.00","172.45","169.20","169.65","169.60","170.05","37,68,913","64,09,14,715.95","17,949","26,89,013","71.35"
"NTPC","EQ","24-Jan-2017","169.60","169.70","174.20","169.70","172.00","172.35","172.67","60,08,034","1,03,74,08,454.80","27,868","42,34,709","70.48"
"NTPC","EQ","25-Jan-2017","172.35","172.55","173.50","170.45","170.80","171.35","171.64","1,09,29,321","1,87,58,54,313.00","35,020","77,22,878","70.66"
"NTPC","EQ","27-Jan-2017","171.35","171.50","178.25","171.40","177.10","177.50","175.49","50,76,143","89,08,17,727.30","66,492","28,90,990","56.95"
"NTPC","EQ","30-Jan-2017","177.50","176.85","177.90","174.50","176.00","175.70","176.15","45,97,103","80,97,59,293.00","31,354","27,85,933","60.60"
"NTPC","EQ","31-Jan-2017","175.70","176.00","177.70","171.75","172.50","172.35","174.41","62,00,997","1,08,15,46,075.75","79,688","37,68,182","60.77"
"NTPC","EQ","01-Feb-2017","172.35","172.65","173.30","169.30","171.25","170.90","170.86","86,64,278","1,48,03,84,691.90","48,786","62,96,166","72.67"
"NTPC","EQ","02-Feb-2017","170.90","172.70","176.00","171.75","171.80","172.55","173.77","59,52,054","1,03,42,74,249.10","29,827","33,11,770","55.64"
"NTPC","EQ","03-Feb-2017","172.55","172.50","173.65","171.45","172.00","171.95","172.09","34,41,195","59,21,86,570.95","24,978","26,41,966","76.77"
