"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ONGC","EQ","01-Jan-2014","288.90","290.00","290.90","287.35","288.10","288.10","288.89","6,56,262","18,95,89,861.25","9,407","2,69,804","41.11"
"ONGC","EQ","02-Jan-2014","288.10","289.95","292.85","280.15","281.60","281.70","286.24","19,85,332","56,82,87,494.90","48,251","11,57,750","58.32"
"ONGC","EQ","03-Jan-2014","281.70","283.00","285.75","275.10","276.50","275.80","280.07","38,26,218","1,07,16,06,576.45","77,622","22,47,259","58.73"
"ONGC","EQ","06-Jan-2014","275.80","278.00","284.80","277.15","281.05","280.95","281.94","23,16,164","65,30,20,921.10","46,435","12,14,841","52.45"
"ONGC","EQ","07-Jan-2014","280.95","281.00","282.90","275.05","275.70","276.25","277.47","23,00,324","63,82,64,030.70","37,504","13,28,312","57.74"
"ONGC","EQ","08-Jan-2014","276.25","277.15","278.70","272.10","273.00","273.20","275.52","22,17,349","61,09,26,828.10","51,314","11,95,915","53.93"
"ONGC","EQ","09-Jan-2014","273.20","274.00","281.45","271.00","281.00","280.30","277.92","25,72,754","71,50,10,671.45","42,965","14,47,137","56.25"
"ONGC","EQ","10-Jan-2014","280.30","280.95","287.70","276.00","283.50","284.05","284.07","43,62,261","1,23,91,87,881.80","58,091","26,30,474","60.30"
"ONGC","EQ","13-Jan-2014","284.05","290.00","293.90","288.50","292.10","292.90","291.27","35,95,971","1,04,73,82,203.55","46,246","21,04,216","58.52"
"ONGC","EQ","14-Jan-2014","292.90","292.90","292.90","286.50","291.00","290.25","289.69","26,86,109","77,81,41,946.30","48,929","16,93,879","63.06"
"ONGC","EQ","15-Jan-2014","290.25","292.00","294.80","288.00","291.30","291.80","291.16","21,83,231","63,56,79,363.85","47,801","13,65,667","62.55"
"ONGC","EQ","16-Jan-2014","291.80","294.00","294.00","283.65","287.45","286.95","287.23","28,58,379","82,10,14,060.55","49,921","18,66,997","65.32"
"ONGC","EQ","17-Jan-2014","286.95","284.05","291.50","283.55","287.25","287.50","288.10","40,27,546","1,16,03,47,052.35","73,533","26,92,694","66.86"
"ONGC","EQ","20-Jan-2014","287.50","287.00","291.50","284.55","286.70","287.15","287.14","39,71,327","1,14,03,18,699.25","60,283","25,31,856","63.75"
"ONGC","EQ","21-Jan-2014","287.15","287.55","289.00","284.45","287.25","287.00","286.54","32,88,577","94,23,20,104.35","46,254","25,42,605","77.32"
"ONGC","EQ","22-Jan-2014","287.00","287.00","290.95","285.00","290.50","289.80","287.50","23,97,661","68,93,31,540.15","53,542","17,07,012","71.19"
"ONGC","EQ","23-Jan-2014","289.80","289.05","289.50","283.75","284.90","285.10","285.13","32,64,028","93,06,78,876.25","70,932","22,38,721","68.59"
"ONGC","EQ","24-Jan-2014","285.10","284.25","285.55","281.45","284.10","283.20","283.27","22,75,351","64,45,37,453.30","46,389","16,37,884","71.98"
"ONGC","EQ","27-Jan-2014","283.20","276.10","281.40","275.75","276.55","277.00","278.18","26,76,954","74,46,69,473.95","53,572","17,70,631","66.14"
"ONGC","EQ","28-Jan-2014","277.00","275.05","280.50","274.55","275.05","275.25","276.67","20,59,985","56,99,44,301.00","43,935","13,03,863","63.29"
"ONGC","EQ","29-Jan-2014","275.25","275.75","278.80","274.00","276.60","277.00","276.03","22,94,659","63,33,97,616.50","43,667","14,12,744","61.57"
"ONGC","EQ","30-Jan-2014","277.00","274.00","279.10","271.15","272.05","272.20","274.20","60,64,188","1,66,28,15,782.45","49,608","44,76,453","73.82"
"ONGC","EQ","31-Jan-2014","272.20","273.25","276.35","270.10","275.85","275.55","274.01","30,87,288","84,59,59,734.55","36,124","21,71,557","70.34"
"ONGC","EQ","03-Feb-2014","275.55","273.00","275.30","266.05","266.55","267.80","270.20","38,61,042","1,04,32,43,288.75","58,553","29,79,518","77.17"
"ONGC","EQ","04-Feb-2014","267.80","265.55","269.20","264.15","267.90","268.00","267.28","31,04,062","82,96,41,581.05","55,702","20,12,718","64.84"
"ONGC","EQ","05-Feb-2014","268.00","267.90","271.50","265.40","270.35","270.25","268.41","28,03,119","75,23,89,658.90","60,871","17,74,863","63.32"
"ONGC","EQ","06-Feb-2014","270.25","270.90","273.00","266.00","267.80","267.90","268.69","20,60,174","55,35,40,204.45","48,799","12,52,687","60.80"
"ONGC","EQ","07-Feb-2014","267.90","270.40","271.85","267.70","269.25","269.30","270.04","17,41,598","47,02,93,954.55","25,682","12,96,718","74.46"
"ONGC","EQ","10-Feb-2014","269.30","269.00","274.20","269.00","272.10","272.25","271.76","23,25,246","63,19,10,129.05","32,509","16,70,189","71.83"
"ONGC","EQ","11-Feb-2014","272.25","273.50","276.30","270.85","276.00","275.95","274.36","50,11,587","1,37,49,96,288.10","64,995","42,93,469","85.67"
"ONGC","EQ","12-Feb-2014","275.95","277.10","283.80","276.00","282.60","283.10","281.05","33,22,056","93,36,56,166.80","71,202","22,84,927","68.78"
"ONGC","EQ","13-Feb-2014","283.10","283.00","284.00","272.55","274.00","273.50","275.68","21,25,612","58,59,83,451.00","36,319","9,47,048","44.55"
"ONGC","EQ","14-Feb-2014","273.50","275.00","277.35","271.10","275.05","276.40","273.85","25,08,935","68,70,74,162.90","45,606","15,65,800","62.41"
"ONGC","EQ","17-Feb-2014","276.40","277.00","280.00","272.70","277.10","277.75","276.78","14,74,196","40,80,33,510.70","44,777","7,61,754","51.67"
"ONGC","EQ","18-Feb-2014","277.75","277.10","278.95","271.00","276.60","276.80","275.73","25,90,285","71,42,30,084.90","63,468","9,78,466","37.77"
"ONGC","EQ","19-Feb-2014","276.80","277.00","279.95","275.65","279.50","279.40","278.39","16,55,701","46,09,31,698.40","29,854","10,05,655","60.74"
"ONGC","EQ","20-Feb-2014","279.40","277.10","279.00","275.55","276.80","276.20","276.76","12,54,646","34,72,33,492.80","15,821","8,45,911","67.42"
"ONGC","EQ","21-Feb-2014","276.20","276.95","278.85","275.70","277.00","276.95","277.05","11,86,738","32,87,83,985.85","39,047","7,53,091","63.46"
"ONGC","EQ","24-Feb-2014","276.95","276.10","284.00","276.10","283.05","282.20","280.30","15,11,420","42,36,55,213.40","34,574","9,82,841","65.03"
"ONGC","EQ","25-Feb-2014","282.20","283.95","284.40","279.30","281.50","281.75","281.25","16,80,566","47,26,54,624.00","74,244","9,66,695","57.52"
"ONGC","EQ","26-Feb-2014","281.75","281.00","285.70","277.85","283.00","283.45","282.24","63,90,295","1,80,36,17,981.45","75,884","50,76,636","79.44"
"ONGC","EQ","28-Feb-2014","283.45","282.30","292.75","282.30","288.95","291.35","289.64","41,81,097","1,21,09,93,677.30","81,828","29,46,486","70.47"
"ONGC","EQ","03-Mar-2014","291.35","289.55","294.00","287.00","291.20","290.60","290.37","21,84,186","63,42,27,535.10","1,09,099","13,16,691","60.28"
"ONGC","EQ","04-Mar-2014","290.60","290.60","297.70","289.30","296.40","295.85","294.22","20,96,982","61,69,73,474.50","73,907","12,85,474","61.30"
"ONGC","EQ","05-Mar-2014","295.85","297.00","303.05","297.00","300.80","300.50","300.37","35,27,160","1,05,94,59,951.05","66,546","22,89,808","64.92"
"ONGC","EQ","06-Mar-2014","300.50","300.90","310.00","300.50","309.10","308.85","306.11","24,50,798","75,02,01,941.80","66,854","16,32,654","66.62"
"ONGC","EQ","07-Mar-2014","308.85","308.90","318.20","305.50","317.20","316.10","312.67","34,88,871","1,09,08,71,852.65","74,281","21,26,560","60.95"
"ONGC","EQ","10-Mar-2014","316.10","313.55","326.75","310.50","317.50","319.90","319.12","52,52,702","1,67,62,28,813.05","67,828","34,68,225","66.03"
"ONGC","EQ","11-Mar-2014","319.90","317.50","324.95","316.55","322.70","323.10","320.55","56,13,633","1,79,94,55,780.15","99,336","43,09,163","76.76"
"ONGC","EQ","12-Mar-2014","323.10","320.75","321.80","315.20","317.50","316.95","318.21","39,49,998","1,25,69,20,598.30","70,126","28,97,342","73.35"
"ONGC","EQ","13-Mar-2014","316.95","317.00","327.00","316.40","324.40","324.15","323.95","49,92,895","1,61,74,58,858.55","59,209","29,76,138","59.61"
"ONGC","EQ","14-Mar-2014","324.15","322.10","328.50","321.35","322.00","322.75","324.37","31,47,651","1,02,09,99,737.80","39,449","20,85,504","66.26"
