"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"POWERGRID","EQ","01-Jan-2014","99.90","99.85","99.90","99.15","99.50","99.50","99.48","17,92,257","17,82,90,584.30","9,211","9,71,452","54.20"
"POWERGRID","EQ","02-Jan-2014","99.50","100.10","102.40","100.00","101.70","101.90","101.43","1,67,23,346","1,69,62,67,688.80","48,312","1,05,60,506","63.15"
"POWERGRID","EQ","03-Jan-2014","101.90","101.90","102.75","100.15","100.65","100.70","101.14","60,30,050","60,99,00,026.80","34,012","33,94,782","56.30"
"POWERGRID","EQ","06-Jan-2014","100.70","101.00","101.00","99.10","99.60","99.90","99.84","37,14,326","37,08,52,242.85","15,142","24,21,378","65.19"
"POWERGRID","EQ","07-Jan-2014","99.90","99.90","100.00","98.55","98.80","98.80","99.38","71,73,768","71,29,30,303.20","47,515","47,59,371","66.34"
"POWERGRID","EQ","08-Jan-2014","98.80","98.55","99.50","98.50","98.70","98.75","98.91","59,92,789","59,27,39,955.40","30,589","34,44,685","57.48"
"POWERGRID","EQ","09-Jan-2014","98.75","98.75","99.50","98.50","98.80","98.85","98.91","72,95,617","72,15,96,512.85","30,338","57,24,107","78.46"
"POWERGRID","EQ","10-Jan-2014","98.85","99.50","99.50","96.55","97.25","97.45","97.34","1,21,88,622","1,18,64,72,191.70","53,981","87,53,708","71.82"
"POWERGRID","EQ","13-Jan-2014","97.45","96.80","98.40","96.80","97.90","98.00","98.00","66,23,537","64,90,94,561.25","33,309","46,58,122","70.33"
"POWERGRID","EQ","14-Jan-2014","98.00","97.90","98.50","97.15","97.55","97.45","97.60","35,22,541","34,37,87,264.05","27,854","23,75,109","67.43"
"POWERGRID","EQ","15-Jan-2014","97.45","97.55","99.50","97.10","97.50","97.50","97.86","46,28,819","45,29,84,413.30","30,272","30,67,278","66.26"
"POWERGRID","EQ","16-Jan-2014","97.50","97.90","98.65","97.65","97.90","98.25","98.15","85,33,114","83,75,16,941.35","70,490","56,12,574","65.77"
"POWERGRID","EQ","17-Jan-2014","98.25","98.00","98.25","96.70","97.55","97.25","97.39","63,16,862","61,52,08,783.35","31,805","39,25,515","62.14"
"POWERGRID","EQ","20-Jan-2014","97.25","97.00","98.90","97.00","98.35","98.50","98.21","73,41,050","72,09,81,993.20","34,573","52,26,624","71.20"
"POWERGRID","EQ","21-Jan-2014","98.50","98.15","98.75","97.70","97.90","97.85","97.96","65,41,602","64,08,44,012.00","49,045","38,42,166","58.73"
"POWERGRID","EQ","22-Jan-2014","97.85","97.90","98.90","97.85","97.90","98.10","98.11","69,27,453","67,96,70,577.75","51,585","42,87,139","61.89"
"POWERGRID","EQ","23-Jan-2014","98.10","98.00","98.45","97.60","98.05","98.05","98.04","31,59,612","30,97,62,804.85","31,340","17,68,955","55.99"
"POWERGRID","EQ","24-Jan-2014","98.05","97.80","98.70","97.75","98.20","98.10","98.21","67,34,980","66,14,54,143.70","43,942","41,92,335","62.25"
"POWERGRID","EQ","27-Jan-2014","98.10","97.40","98.90","95.85","96.10","96.55","97.29","71,08,564","69,15,60,533.20","35,568","52,36,283","73.66"
"POWERGRID","EQ","28-Jan-2014","96.55","96.55","97.00","96.30","96.60","96.60","96.60","42,28,311","40,84,49,668.05","20,104","31,52,987","74.57"
"POWERGRID","EQ","29-Jan-2014","96.60","96.70","96.95","95.40","95.80","95.70","96.28","29,12,136","28,03,71,380.10","14,525","19,53,877","67.09"
"POWERGRID","EQ","30-Jan-2014","95.70","95.70","96.30","95.00","95.15","95.60","95.66","1,59,23,325","1,52,32,44,594.00","25,957","1,11,93,588","70.30"
"POWERGRID","EQ","31-Jan-2014","95.60","96.00","96.00","95.20","95.50","95.50","95.54","84,87,386","81,09,02,416.00","21,090","74,25,360","87.49"
"POWERGRID","EQ","03-Feb-2014","95.50","95.15","96.65","94.95","95.20","95.20","95.78","25,21,535","24,15,13,455.75","20,891","15,99,075","63.42"
"POWERGRID","EQ","04-Feb-2014","95.20","95.05","96.20","94.80","95.50","95.35","95.42","46,33,370","44,21,14,740.00","26,890","34,14,408","73.69"
"POWERGRID","EQ","05-Feb-2014","95.35","94.70","96.85","94.70","96.65","96.75","95.91","45,68,278","43,81,50,284.10","21,582","31,20,178","68.30"
"POWERGRID","EQ","06-Feb-2014","96.75","96.00","96.50","95.25","96.35","96.20","95.79","47,22,864","45,24,02,312.65","36,738","28,08,124","59.46"
"POWERGRID","EQ","07-Feb-2014","96.20","96.20","97.85","95.80","97.50","97.50","97.01","36,55,075","35,45,64,437.30","24,284","24,73,930","67.68"
"POWERGRID","EQ","10-Feb-2014","97.50","97.35","98.00","96.70","97.10","97.00","97.34","21,33,505","20,76,72,109.80","21,820","13,99,576","65.60"
"POWERGRID","EQ","11-Feb-2014","97.00","97.10","97.40","95.50","95.55","95.60","96.06","28,20,365","27,09,24,410.20","17,542","19,58,213","69.43"
"POWERGRID","EQ","12-Feb-2014","95.60","95.90","96.35","95.35","95.75","95.70","95.68","31,15,231","29,80,75,155.15","15,365","22,41,159","71.94"
"POWERGRID","EQ","13-Feb-2014","95.70","95.55","95.90","94.90","95.00","95.00","95.45","36,83,843","35,16,36,555.25","29,830","22,48,730","61.04"
"POWERGRID","EQ","14-Feb-2014","95.00","95.20","95.35","94.95","95.25","95.25","95.12","82,99,362","78,94,40,500.10","20,714","68,58,225","82.64"
"POWERGRID","EQ","17-Feb-2014","95.25","95.10","95.85","95.10","95.85","95.55","95.53","26,73,374","25,53,76,050.30","16,261","18,00,894","67.36"
"POWERGRID","EQ","18-Feb-2014","95.55","95.65","96.10","95.50","95.55","95.75","95.74","27,37,172","26,20,49,495.35","27,404","17,64,351","64.46"
"POWERGRID","EQ","19-Feb-2014","95.75","95.55","95.85","94.55","94.90","94.90","95.09","15,77,688","15,00,28,618.65","19,455","9,23,014","58.50"
"POWERGRID","EQ","20-Feb-2014","94.90","94.60","95.65","94.25","95.10","95.10","95.00","28,91,908","27,47,24,439.80","18,078","22,49,637","77.79"
"POWERGRID","EQ","21-Feb-2014","95.10","95.25","95.70","95.10","95.40","95.30","95.39","25,06,718","23,91,10,798.65","30,135","16,44,336","65.60"
"POWERGRID","EQ","24-Feb-2014","95.30","95.25","95.25","94.05","95.10","95.05","94.79","28,79,127","27,29,02,885.75","30,918","21,07,634","73.20"
"POWERGRID","EQ","25-Feb-2014","95.05","95.10","95.60","94.90","95.60","95.30","95.24","22,79,327","21,70,86,441.30","23,851","13,26,347","58.19"
"POWERGRID","EQ","26-Feb-2014","95.30","95.50","96.20","94.85","94.95","95.20","95.29","1,18,41,288","1,12,83,55,793.80","30,917","95,51,500","80.66"
