"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","01-Jan-2020","1,514.05","1,518.00","1,527.10","1,505.50","1,511.80","1,509.60","1,515.23","64,02,372","9,70,10,63,103.40","1,22,265","15,23,290","23.79"
"RELIANCE","EQ","02-Jan-2020","1,509.60","1,512.00","1,540.95","1,512.00","1,534.10","1,535.30","1,530.86","80,96,561","12,39,47,09,675.75","1,51,727","33,86,321","41.82"
"RELIANCE","EQ","03-Jan-2020","1,535.30","1,533.00","1,541.65","1,523.00","1,536.00","1,537.15","1,532.73","95,93,498","14,70,42,83,071.80","1,49,003","52,88,843","55.13"
"RELIANCE","EQ","06-Jan-2020","1,537.15","1,520.00","1,527.90","1,498.00","1,499.90","1,501.50","1,512.57","1,12,09,343","16,95,49,36,799.60","2,25,138","63,98,638","57.08"
"RELIANCE","EQ","07-Jan-2020","1,501.50","1,519.00","1,534.50","1,513.50","1,526.95","1,524.60","1,523.12","76,27,191","11,61,70,96,335.05","1,80,713","30,49,916","39.99"
"RELIANCE","EQ","08-Jan-2020","1,524.60","1,515.00","1,534.45","1,510.00","1,514.00","1,513.15","1,518.24","73,36,561","11,13,86,43,617.80","1,69,662","28,63,686","39.03"
"RELIANCE","EQ","09-Jan-2020","1,513.15","1,538.60","1,550.00","1,531.25","1,549.50","1,548.00","1,541.76","68,49,606","10,56,04,31,962.80","1,54,953","26,57,056","38.79"
"RELIANCE","EQ","10-Jan-2020","1,548.00","1,551.90","1,557.95","1,539.65","1,546.85","1,547.65","1,549.42","57,04,686","8,83,89,54,165.35","1,36,340","25,46,462","44.64"
"RELIANCE","EQ","13-Jan-2020","1,547.65","1,545.05","1,558.70","1,538.40","1,539.85","1,543.70","1,548.94","83,58,090","12,94,61,46,806.55","1,43,022","50,30,540","60.19"
"RELIANCE","EQ","14-Jan-2020","1,543.70","1,540.00","1,550.00","1,521.85","1,529.10","1,529.40","1,533.76","72,30,788","11,09,02,62,628.40","1,73,502","37,96,096","52.50"
