"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","01-Jan-2018","309.90","310.60","312.75","306.30","306.75","307.10","309.08","1,21,82,400","3,76,53,14,888.60","75,769","56,97,288","46.77"
"SBIN","EQ","02-Jan-2018","307.10","309.00","309.00","301.35","303.00","303.25","304.00","1,47,97,364","4,49,83,28,483.15","1,00,195","56,98,196","38.51"
"SBIN","EQ","03-Jan-2018","303.25","305.30","306.45","302.15","302.80","302.85","304.32","1,38,57,373","4,21,70,70,488.80","1,17,207","69,41,140","50.09"
"SBIN","EQ","04-Jan-2018","302.85","304.50","310.20","303.15","309.25","308.50","307.63","2,45,17,099","7,54,22,11,202.60","1,40,513","1,05,08,054","42.86"
"SBIN","EQ","05-Jan-2018","308.50","311.40","311.40","305.60","307.25","306.35","308.05","1,45,80,575","4,49,15,43,989.40","91,829","48,96,408","33.58"
"SBIN","EQ","08-Jan-2018","306.35","307.20","309.50","305.00","306.05","305.80","306.58","1,35,57,197","4,15,63,38,432.45","1,08,289","70,93,201","52.32"
"SBIN","EQ","09-Jan-2018","305.80","307.50","309.50","303.30","303.90","304.30","305.88","1,55,74,755","4,76,39,34,527.15","1,10,914","63,39,261","40.70"
"SBIN","EQ","10-Jan-2018","304.30","304.65","305.85","300.00","301.05","301.10","302.25","1,30,64,599","3,94,88,25,009.45","1,22,547","53,78,392","41.17"
"SBIN","EQ","11-Jan-2018","301.10","300.90","303.00","300.00","302.15","302.20","301.97","1,22,99,087","3,71,39,82,807.40","93,067","56,85,528","46.23"
"SBIN","EQ","12-Jan-2018","302.20","304.65","304.65","300.55","302.50","302.25","302.54","1,75,94,228","5,32,29,41,475.65","1,01,812","1,06,46,451","60.51"
"SBIN","EQ","15-Jan-2018","302.25","303.95","305.25","301.55","302.40","302.60","303.54","1,81,89,668","5,52,12,32,962.65","1,66,873","94,66,500","52.04"
"SBIN","EQ","16-Jan-2018","302.60","302.40","303.35","295.30","297.20","296.15","299.15","1,80,40,940","5,39,69,48,551.05","1,52,490","89,35,321","49.53"
"SBIN","EQ","17-Jan-2018","296.15","296.00","308.40","292.60","308.10","307.10","302.54","2,62,77,307","7,95,00,09,846.80","2,06,178","91,38,976","34.78"
"SBIN","EQ","18-Jan-2018","307.10","315.00","317.80","300.50","304.80","303.25","309.57","4,00,00,111","12,38,27,43,470.40","2,24,468","1,65,00,702","41.25"
"SBIN","EQ","19-Jan-2018","303.25","303.95","310.00","302.50","308.80","309.25","307.18","1,84,61,642","5,67,10,84,211.40","1,13,020","68,40,931","37.05"
"SBIN","EQ","22-Jan-2018","309.25","308.35","308.75","304.05","306.30","306.50","306.55","1,26,22,645","3,86,94,42,515.30","95,105","57,77,289","45.77"
"SBIN","EQ","23-Jan-2018","306.50","306.40","320.55","306.35","318.55","318.10","313.81","3,52,52,217","11,06,23,84,635.45","2,51,611","1,63,63,848","46.42"
"SBIN","EQ","24-Jan-2018","318.10","317.70","331.60","316.20","330.45","329.90","323.97","3,80,70,520","12,33,37,61,888.10","2,56,952","96,89,477","25.45"
"SBIN","EQ","25-Jan-2018","329.90","332.75","332.75","311.85","311.90","313.15","317.75","4,24,66,150","13,49,35,53,239.45","2,47,996","1,09,68,155","25.83"
"SBIN","EQ","29-Jan-2018","313.15","313.15","316.90","311.00","313.00","312.10","313.59","2,36,00,898","7,40,10,09,350.25","1,37,291","99,96,472","42.36"
"SBIN","EQ","30-Jan-2018","312.10","312.05","318.85","311.00","313.50","313.55","314.86","2,58,10,404","8,12,66,95,765.70","1,52,647","93,16,567","36.10"
"SBIN","EQ","31-Jan-2018","313.55","313.00","316.60","307.85","314.50","313.25","312.32","1,64,09,938","5,12,52,07,140.70","1,22,582","45,49,979","27.73"
"SBIN","EQ","01-Feb-2018","313.25","316.90","317.40","305.00","305.40","306.05","310.67","1,95,15,991","6,06,30,26,765.65","1,63,804","66,84,417","34.25"
"SBIN","EQ","02-Feb-2018","306.05","302.90","305.75","295.50","295.80","297.35","300.07","2,32,74,673","6,98,40,12,072.30","1,56,709","72,81,514","31.29"
"SBIN","EQ","05-Feb-2018","297.35","292.65","300.40","290.00","299.00","298.05","295.64","1,89,40,578","5,59,96,67,758.65","1,34,857","50,90,174","26.87"
"SBIN","EQ","06-Feb-2018","298.05","285.00","297.30","282.90","294.60","291.75","289.73","3,05,77,218","8,85,92,22,865.85","2,41,764","1,41,19,757","46.18"
"SBIN","EQ","07-Feb-2018","291.75","296.60","297.90","290.00","292.10","292.80","293.38","2,14,63,818","6,29,70,80,225.25","1,61,931","72,55,476","33.80"
"SBIN","EQ","08-Feb-2018","292.80","292.90","303.30","292.55","302.25","301.40","298.60","1,89,32,796","5,65,33,82,508.90","1,25,388","54,57,942","28.83"
"SBIN","EQ","09-Feb-2018","301.40","297.00","300.60","295.00","295.40","296.40","297.71","1,57,50,824","4,68,91,07,088.20","1,16,844","40,00,394","25.40"
"SBIN","EQ","12-Feb-2018","296.40","288.25","292.40","285.15","290.10","288.75","289.30","5,08,39,665","14,70,78,62,290.45","3,17,117","2,08,49,303","41.01"
"SBIN","EQ","14-Feb-2018","288.75","288.70","288.70","275.00","275.50","276.20","280.99","4,56,41,149","12,82,46,20,930.90","3,27,073","2,30,02,842","50.40"
"SBIN","EQ","15-Feb-2018","276.20","274.80","282.30","274.25","279.10","278.70","279.14","2,60,58,237","7,27,37,87,833.80","1,74,992","59,95,020","23.01"
"SBIN","EQ","16-Feb-2018","278.70","280.50","281.20","270.05","271.40","271.65","273.95","3,03,38,112","8,31,09,86,402.20","2,46,246","1,38,92,054","45.79"
"SBIN","EQ","19-Feb-2018","271.65","271.50","272.00","256.65","269.60","268.50","263.87","4,38,47,791","11,57,01,87,946.80","2,98,814","1,49,03,513","33.99"
"SBIN","EQ","20-Feb-2018","268.50","269.00","274.20","264.80","269.50","269.65","269.54","3,34,58,021","9,01,83,42,750.35","1,83,760","80,11,451","23.94"
"SBIN","EQ","21-Feb-2018","269.65","272.20","274.10","267.40","273.15","273.30","271.18","2,37,14,454","6,43,08,19,672.40","1,46,297","79,07,009","33.34"
"SBIN","EQ","22-Feb-2018","273.30","270.40","273.60","269.45","272.50","272.60","272.38","2,55,84,062","6,96,86,89,323.55","1,27,523","1,25,88,526","49.20"
"SBIN","EQ","23-Feb-2018","272.60","273.45","277.20","272.50","276.40","276.05","275.60","1,54,82,147","4,26,68,15,890.25","1,25,599","59,01,999","38.12"
"SBIN","EQ","26-Feb-2018","276.05","280.00","280.00","273.85","274.30","274.45","275.75","1,53,06,032","4,22,05,75,082.30","1,12,427","46,48,573","30.37"
"SBIN","EQ","27-Feb-2018","274.45","273.00","275.90","265.95","267.70","267.60","269.55","2,08,24,909","5,61,33,62,241.75","1,53,426","58,55,629","28.12"
"SBIN","EQ","28-Feb-2018","267.60","264.25","269.70","260.80","267.95","268.00","266.14","2,68,10,799","7,13,53,36,059.85","1,85,589","1,01,31,488","37.79"
"SBIN","EQ","01-Mar-2018","268.00","266.30","270.00","261.25","262.20","262.15","264.62","2,28,59,175","6,04,90,16,897.40","1,73,004","71,21,896","31.16"
"SBIN","EQ","05-Mar-2018","262.15","260.45","265.00","258.75","263.15","263.50","262.51","1,84,84,565","4,85,22,94,099.45","1,46,913","49,41,066","26.73"
"SBIN","EQ","06-Mar-2018","263.50","265.85","266.00","255.00","255.35","256.55","261.43","2,07,78,164","5,43,19,95,774.80","1,47,230","61,44,299","29.57"
"SBIN","EQ","07-Mar-2018","256.55","255.05","255.35","246.05","246.70","246.65","248.97","3,12,62,500","7,78,32,71,191.95","1,80,424","1,15,40,402","36.91"
"SBIN","EQ","08-Mar-2018","246.65","247.00","257.95","244.30","256.65","256.80","251.48","3,31,33,336","8,33,24,37,261.75","1,71,219","73,79,164","22.27"
"SBIN","EQ","09-Mar-2018","256.80","257.00","257.40","251.65","253.65","253.25","253.89","2,15,36,191","5,46,78,77,285.85","1,31,269","49,42,046","22.95"
"SBIN","EQ","12-Mar-2018","253.25","254.10","255.25","247.25","253.55","252.85","250.26","2,53,32,474","6,33,98,09,854.50","1,31,673","92,82,597","36.64"
"SBIN","EQ","13-Mar-2018","252.85","251.30","262.40","249.60","254.10","254.70","257.10","3,76,47,221","9,67,92,84,350.25","1,81,837","90,51,093","24.04"
"SBIN","EQ","14-Mar-2018","254.70","252.50","257.85","250.00","257.80","257.05","253.76","2,54,71,485","6,46,37,46,575.00","1,31,180","51,80,196","20.34"
"SBIN","EQ","15-Mar-2018","257.05","257.00","258.80","252.55","253.25","253.70","255.63","1,83,39,890","4,68,82,76,846.90","90,568","47,90,127","26.12"
"SBIN","EQ","16-Mar-2018","253.70","250.65","255.70","250.10","252.70","252.30","253.17","2,57,28,297","6,51,35,83,560.35","1,50,302","89,28,872","34.70"
"SBIN","EQ","19-Mar-2018","252.30","252.90","253.60","246.10","247.90","247.95","248.80","1,81,67,594","4,52,00,35,974.55","1,12,744","54,11,024","29.78"
"SBIN","EQ","20-Mar-2018","247.95","246.85","252.25","245.35","250.00","249.10","249.43","2,05,56,571","5,12,73,56,465.00","1,27,033","52,43,145","25.51"
"SBIN","EQ","21-Mar-2018","249.10","251.75","254.30","247.10","247.45","248.00","251.20","1,95,33,972","4,90,69,86,303.65","1,03,548","51,09,329","26.16"
"SBIN","EQ","22-Mar-2018","248.00","247.00","247.35","240.65","241.50","241.55","243.47","2,68,28,240","6,53,18,30,043.10","1,69,794","94,64,888","35.28"
"SBIN","EQ","23-Mar-2018","241.55","237.80","239.65","232.35","234.70","234.80","234.77","2,71,50,262","6,37,41,13,933.75","2,05,532","1,05,51,407","38.86"
"SBIN","EQ","26-Mar-2018","234.80","234.75","247.85","234.25","247.20","246.50","241.69","3,03,73,940","7,34,10,09,624.05","1,91,534","85,18,273","28.04"
"SBIN","EQ","27-Mar-2018","246.50","250.00","255.50","248.00","253.40","254.35","252.05","3,12,05,051","7,86,51,11,417.45","1,86,644","82,00,394","26.28"
"SBIN","EQ","28-Mar-2018","254.35","252.00","256.20","248.70","249.25","249.90","251.61","3,66,73,566","9,22,75,49,855.35","1,67,989","1,46,27,534","39.89"
"SBIN","EQ","02-Apr-2018","249.90","251.80","252.00","244.90","246.00","246.15","247.21","1,49,93,188","3,70,65,22,223.15","1,07,701","27,46,163","18.32"
"SBIN","EQ","03-Apr-2018","246.15","249.55","252.80","248.25","250.95","250.50","250.35","1,98,83,309","4,97,77,77,337.45","1,13,047","31,26,786","15.73"
