"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SRTRANSFIN","EQ","01-Jan-2021","1,046.50","1,047.90","1,076.90","1,046.50","1,074.95","1,070.85","1,061.35","25,96,287","2,75,55,62,885.15","46,384","4,18,848","16.13"
"SRTRANSFIN","EQ","04-Jan-2021","1,070.85","1,084.00","1,088.00","1,063.60","1,076.70","1,076.75","1,075.87","22,01,670","2,36,87,05,680.00","35,866","4,49,013","20.39"
"SRTRANSFIN","EQ","05-Jan-2021","1,076.75","1,069.95","1,119.40","1,058.85","1,116.20","1,114.15","1,095.03","31,86,132","3,48,89,00,988.10","59,980","6,89,401","21.64"
"SRTRANSFIN","EQ","06-Jan-2021","1,114.15","1,117.95","1,208.50","1,116.50","1,190.80","1,197.20","1,172.95","89,07,705","10,44,82,86,323.90","1,66,555","20,83,331","23.39"
"SRTRANSFIN","EQ","07-Jan-2021","1,197.20","1,200.00","1,316.90","1,198.00","1,295.00","1,306.80","1,265.05","91,62,646","11,59,12,29,634.60","1,57,694","20,76,073","22.66"
"SRTRANSFIN","EQ","08-Jan-2021","1,306.80","1,306.20","1,313.35","1,265.00","1,300.95","1,295.70","1,286.22","62,64,854","8,05,80,10,550.70","1,59,864","13,40,223","21.39"
"SRTRANSFIN","EQ","11-Jan-2021","1,295.70","1,304.50","1,314.60","1,241.00","1,246.35","1,251.65","1,261.58","30,09,112","3,79,62,37,082.25","66,479","5,88,973","19.57"
"SRTRANSFIN","EQ","12-Jan-2021","1,251.65","1,245.00","1,309.90","1,230.20","1,260.25","1,262.60","1,279.52","48,79,040","6,24,28,37,897.95","1,01,184","6,07,503","12.45"
"SRTRANSFIN","EQ","13-Jan-2021","1,262.60","1,274.00","1,280.80","1,177.55","1,215.85","1,216.85","1,219.61","53,07,342","6,47,28,64,302.15","1,31,208","10,05,408","18.94"
"SRTRANSFIN","EQ","14-Jan-2021","1,216.85","1,219.90","1,244.00","1,184.20","1,219.00","1,218.45","1,219.11","42,39,655","5,16,85,87,355.15","1,16,909","5,51,717","13.01"
"SRTRANSFIN","EQ","15-Jan-2021","1,218.45","1,219.00","1,252.55","1,191.20","1,204.00","1,204.55","1,217.72","34,77,096","4,23,41,38,494.60","80,842","3,76,640","10.83"
"SRTRANSFIN","EQ","18-Jan-2021","1,204.55","1,210.00","1,212.75","1,164.15","1,170.65","1,173.80","1,188.08","28,84,739","3,42,73,12,707.75","68,417","3,02,711","10.49"
"SRTRANSFIN","EQ","19-Jan-2021","1,173.80","1,183.00","1,243.50","1,175.00","1,229.00","1,228.35","1,217.92","43,73,503","5,32,65,78,694.65","98,917","4,62,695","10.58"
"SRTRANSFIN","EQ","20-Jan-2021","1,228.35","1,229.70","1,262.00","1,220.55","1,250.00","1,247.70","1,244.29","34,08,446","4,24,10,83,195.15","81,993","4,40,155","12.91"
"SRTRANSFIN","EQ","21-Jan-2021","1,247.70","1,255.70","1,276.35","1,194.20","1,216.95","1,206.45","1,243.09","32,92,375","4,09,27,14,073.40","72,937","4,99,359","15.17"
"SRTRANSFIN","EQ","22-Jan-2021","1,206.45","1,212.00","1,224.25","1,142.00","1,149.00","1,150.65","1,175.88","37,92,976","4,46,00,80,009.40","86,371","5,28,335","13.93"
"SRTRANSFIN","EQ","25-Jan-2021","1,150.65","1,188.00","1,264.80","1,188.00","1,200.55","1,201.05","1,227.80","72,36,073","8,88,44,36,716.25","1,58,213","6,91,652","9.56"
"SRTRANSFIN","EQ","27-Jan-2021","1,201.05","1,179.80","1,180.00","1,132.00","1,147.25","1,151.05","1,156.00","39,19,772","4,53,12,41,077.80","1,10,590","4,70,791","12.01"
"SRTRANSFIN","EQ","28-Jan-2021","1,151.05","1,104.00","1,152.85","1,097.45","1,120.45","1,111.10","1,125.65","49,40,451","5,56,12,18,870.00","1,23,567","12,26,303","24.82"
"SRTRANSFIN","EQ","29-Jan-2021","1,111.10","1,189.00","1,319.00","1,168.10","1,292.00","1,291.35","1,267.39","1,81,36,253","22,98,56,70,035.50","4,24,280","16,74,710","9.23"
"SRTRANSFIN","EQ","01-Feb-2021","1,291.35","1,282.60","1,344.80","1,266.25","1,339.25","1,332.00","1,299.35","60,79,052","7,89,88,45,330.65","1,57,174","4,18,807","6.89"
"SRTRANSFIN","EQ","02-Feb-2021","1,332.00","1,360.00","1,430.00","1,346.70","1,371.00","1,366.65","1,381.61","61,46,122","8,49,15,18,201.80","1,53,477","8,39,371","13.66"
"SRTRANSFIN","EQ","03-Feb-2021","1,366.65","1,371.00","1,476.15","1,357.00","1,472.00","1,465.30","1,436.87","57,03,639","8,19,53,93,991.00","1,53,565","5,04,448","8.84"
"SRTRANSFIN","EQ","04-Feb-2021","1,465.30","1,450.20","1,454.70","1,395.00","1,421.30","1,420.65","1,413.86","42,01,023","5,93,96,66,463.85","1,07,032","10,47,158","24.93"
"SRTRANSFIN","EQ","05-Feb-2021","1,420.65","1,428.95","1,471.00","1,372.05","1,393.00","1,384.45","1,417.38","33,09,891","4,69,13,83,810.80","78,410","5,27,590","15.94"
"SRTRANSFIN","EQ","08-Feb-2021","1,384.45","1,415.00","1,479.00","1,407.85","1,420.00","1,419.50","1,434.06","36,63,462","5,25,36,19,069.50","1,03,784","5,14,288","14.04"
"SRTRANSFIN","EQ","09-Feb-2021","1,419.50","1,430.00","1,443.75","1,390.00","1,412.95","1,413.10","1,421.11","22,18,783","3,15,31,39,639.35","54,453","2,00,750","9.05"
"SRTRANSFIN","EQ","10-Feb-2021","1,413.10","1,401.10","1,456.00","1,390.80","1,426.00","1,428.10","1,423.41","38,16,335","5,43,21,97,137.95","93,819","4,20,457","11.02"
"SRTRANSFIN","EQ","11-Feb-2021","1,428.10","1,420.00","1,448.00","1,408.30","1,434.65","1,441.25","1,433.20","17,75,772","2,54,50,34,940.35","62,270","3,19,645","18.00"
"SRTRANSFIN","EQ","12-Feb-2021","1,441.25","1,425.10","1,461.25","1,420.00","1,434.00","1,438.25","1,441.96","22,26,804","3,21,09,53,754.65","57,468","2,03,990","9.16"
"SRTRANSFIN","EQ","15-Feb-2021","1,438.25","1,450.00","1,534.95","1,445.00","1,513.05","1,513.35","1,510.14","49,11,380","7,41,68,63,727.45","1,42,073","5,45,010","11.10"
"SRTRANSFIN","EQ","16-Feb-2021","1,513.35","1,508.00","1,519.00","1,461.40","1,480.00","1,477.80","1,486.45","23,25,039","3,45,60,43,871.45","60,346","2,21,781","9.54"
"SRTRANSFIN","EQ","17-Feb-2021","1,477.80","1,483.95","1,508.70","1,448.15","1,453.90","1,459.70","1,476.75","26,30,541","3,88,46,54,622.10","68,084","3,26,824","12.42"
"SRTRANSFIN","EQ","18-Feb-2021","1,459.70","1,460.00","1,478.00","1,428.35","1,435.00","1,438.70","1,452.93","19,03,207","2,76,52,28,789.75","53,766","2,68,513","14.11"
"SRTRANSFIN","EQ","19-Feb-2021","1,438.70","1,432.85","1,446.00","1,381.05","1,416.00","1,404.60","1,417.37","20,20,652","2,86,40,13,159.90","61,731","2,91,772","14.44"
"SRTRANSFIN","EQ","22-Feb-2021","1,404.60","1,414.00","1,424.90","1,348.00","1,348.00","1,360.15","1,388.49","24,56,316","3,41,05,58,889.05","76,434","4,65,837","18.96"
"SRTRANSFIN","EQ","23-Feb-2021","1,360.15","1,370.00","1,395.00","1,336.20","1,374.65","1,377.45","1,369.97","20,54,617","2,81,47,53,486.50","55,396","3,20,183","15.58"
"SRTRANSFIN","EQ","24-Feb-2021","1,377.45","1,378.00","1,406.00","1,370.05","1,378.80","1,377.95","1,388.93","10,66,375","1,48,11,22,864.25","29,059","2,80,244","26.28"
"SRTRANSFIN","EQ","25-Feb-2021","1,377.95","1,392.00","1,404.75","1,371.55","1,378.05","1,380.30","1,387.55","21,06,496","2,92,28,72,599.60","61,699","6,18,526","29.36"
"SRTRANSFIN","EQ","26-Feb-2021","1,380.30","1,349.00","1,349.00","1,270.00","1,284.95","1,282.95","1,303.78","43,68,614","5,69,57,30,881.10","1,20,494","13,84,609","31.69"
"SRTRANSFIN","EQ","01-Mar-2021","1,282.95","1,305.00","1,345.80","1,303.15","1,334.95","1,333.60","1,331.28","18,32,566","2,43,96,61,753.25","52,900","2,74,100","14.96"
"SRTRANSFIN","EQ","02-Mar-2021","1,333.60","1,346.50","1,376.00","1,330.95","1,349.95","1,350.55","1,353.37","17,14,090","2,31,97,91,164.60","44,865","5,21,204","30.41"
"SRTRANSFIN","EQ","03-Mar-2021","1,350.55","1,365.00","1,378.90","1,331.30","1,358.10","1,362.15","1,351.32","18,76,685","2,53,59,99,662.45","42,671","5,56,472","29.65"
"SRTRANSFIN","EQ","04-Mar-2021","1,362.15","1,346.95","1,371.85","1,331.00","1,338.90","1,339.35","1,348.43","17,15,294","2,31,29,55,804.30","59,075","5,70,114","33.24"
"SRTRANSFIN","EQ","05-Mar-2021","1,339.35","1,329.00","1,335.70","1,272.00","1,296.40","1,289.20","1,302.33","23,85,360","3,10,65,29,766.20","73,436","6,37,516","26.73"
"SRTRANSFIN","EQ","08-Mar-2021","1,289.20","1,306.80","1,337.00","1,255.10","1,267.45","1,265.85","1,278.10","38,18,979","4,88,10,53,101.95","93,196","6,96,668","18.24"
"SRTRANSFIN","EQ","09-Mar-2021","1,265.85","1,280.00","1,301.70","1,255.00","1,267.85","1,270.25","1,278.36","20,69,774","2,64,59,24,606.60","67,095","3,83,955","18.55"
"SRTRANSFIN","EQ","10-Mar-2021","1,270.25","1,291.15","1,329.80","1,289.95","1,320.60","1,315.40","1,314.72","30,41,247","3,99,84,00,668.40","77,494","3,51,206","11.55"
"SRTRANSFIN","EQ","12-Mar-2021","1,315.40","1,341.00","1,342.00","1,310.55","1,325.90","1,325.45","1,326.86","25,08,940","3,32,90,22,246.05","63,736","7,02,630","28.01"
"SRTRANSFIN","EQ","15-Mar-2021","1,325.45","1,337.95","1,341.85","1,238.15","1,278.50","1,276.60","1,281.46","37,01,236","4,74,29,96,105.50","1,19,811","9,94,241","26.86"
"SRTRANSFIN","EQ","16-Mar-2021","1,276.60","1,289.00","1,331.80","1,280.55","1,323.00","1,322.95","1,311.30","25,44,685","3,33,68,39,590.20","69,949","4,16,577","16.37"
"SRTRANSFIN","EQ","17-Mar-2021","1,322.95","1,327.95","1,328.95","1,290.00","1,323.00","1,321.60","1,314.79","22,53,306","2,96,26,18,681.50","58,674","5,32,572","23.64"
"SRTRANSFIN","EQ","18-Mar-2021","1,321.60","1,338.00","1,367.70","1,303.05","1,330.00","1,325.75","1,333.37","29,12,501","3,88,34,50,265.95","75,560","5,53,067","18.99"
"SRTRANSFIN","EQ","19-Mar-2021","1,325.75","1,312.75","1,379.55","1,300.60","1,372.80","1,373.95","1,341.49","28,80,477","3,86,41,29,655.40","95,574","7,97,338","27.68"
"SRTRANSFIN","EQ","22-Mar-2021","1,373.95","1,368.90","1,389.95","1,347.05","1,382.00","1,381.40","1,369.93","18,67,037","2,55,77,00,962.90","76,250","3,98,475","21.34"
"SRTRANSFIN","EQ","23-Mar-2021","1,381.40","1,399.00","1,434.00","1,391.50","1,406.30","1,406.30","1,414.60","29,05,964","4,11,07,90,947.45","1,09,334","6,41,388","22.07"
"SRTRANSFIN","EQ","24-Mar-2021","1,406.30","1,413.00","1,427.00","1,372.80","1,401.50","1,401.80","1,402.63","21,00,340","2,94,59,91,187.75","59,293","3,73,879","17.80"
"SRTRANSFIN","EQ","25-Mar-2021","1,401.80","1,406.90","1,407.60","1,351.55","1,375.00","1,372.00","1,372.50","20,85,071","2,86,17,70,111.70","61,920","4,09,683","19.65"
"SRTRANSFIN","EQ","26-Mar-2021","1,372.00","1,380.00","1,471.50","1,380.00","1,432.00","1,429.15","1,436.40","37,49,669","5,38,60,26,975.85","1,06,673","6,92,874","18.48"
"SRTRANSFIN","EQ","30-Mar-2021","1,429.15","1,443.45","1,445.00","1,411.10","1,418.00","1,420.60","1,425.63","22,34,811","3,18,60,07,642.55","65,977","7,21,450","32.28"
"SRTRANSFIN","EQ","31-Mar-2021","1,420.60","1,423.10","1,443.30","1,414.50","1,420.60","1,422.30","1,425.72","17,26,596","2,46,16,41,622.85","64,967","5,30,796","30.74"
"SRTRANSFIN","EQ","01-Apr-2021","1,422.30","1,445.00","1,479.00","1,425.50","1,470.30","1,472.70","1,453.54","24,50,892","3,56,24,69,380.50","74,595","3,90,842","15.95"
"SRTRANSFIN","EQ","05-Apr-2021","1,472.70","1,464.95","1,478.30","1,390.55","1,421.00","1,420.15","1,429.84","21,73,089","3,10,71,62,703.30","68,054","4,76,890","21.95"
"SRTRANSFIN","EQ","06-Apr-2021","1,420.15","1,432.00","1,459.00","1,415.00","1,439.55","1,439.20","1,443.42","18,02,336","2,60,15,31,706.25","50,483","3,64,374","20.22"
"SRTRANSFIN","EQ","07-Apr-2021","1,439.20","1,440.00","1,502.50","1,413.20","1,482.45","1,485.60","1,452.09","28,36,860","4,11,93,73,704.80","87,152","7,35,724","25.93"
"SRTRANSFIN","EQ","08-Apr-2021","1,485.60","1,489.90","1,510.00","1,473.25","1,495.10","1,494.20","1,494.59","22,37,390","3,34,39,85,777.05","63,808","7,05,080","31.51"
"SRTRANSFIN","EQ","09-Apr-2021","1,494.20","1,489.00","1,496.80","1,455.00","1,464.00","1,469.60","1,468.94","20,43,647","3,00,20,00,575.50","50,775","6,85,706","33.55"
