"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SUNPHARMA","EQ","01-Jan-2019","430.50","432.50","438.80","429.65","432.70","433.55","435.01","84,87,116","3,69,19,97,044.25","91,786","15,24,951","17.97"
"SUNPHARMA","EQ","02-Jan-2019","433.55","430.50","441.20","429.25","439.95","440.05","435.70","96,56,878","4,20,74,79,404.85","1,00,434","37,55,920","38.89"
"SUNPHARMA","EQ","03-Jan-2019","440.05","442.05","443.60","434.00","434.90","436.10","439.97","94,79,511","4,17,06,69,188.55","1,12,961","29,12,917","30.73"
"SUNPHARMA","EQ","04-Jan-2019","436.10","439.10","439.90","432.20","433.40","433.80","435.62","62,28,693","2,71,33,60,797.50","81,360","13,92,009","22.35"
"SUNPHARMA","EQ","07-Jan-2019","433.80","437.10","438.00","429.30","430.85","430.80","433.19","41,18,235","1,78,39,63,552.60","64,152","14,44,774","35.08"
"SUNPHARMA","EQ","08-Jan-2019","430.80","433.80","449.00","432.35","448.75","448.05","443.03","1,23,68,631","5,47,96,90,345.90","1,53,466","38,19,410","30.88"
"SUNPHARMA","EQ","09-Jan-2019","448.05","450.50","453.65","443.70","447.15","448.75","449.38","90,34,282","4,05,97,90,450.05","1,29,984","30,31,391","33.55"
"SUNPHARMA","EQ","10-Jan-2019","448.75","445.10","448.00","440.45","444.20","444.60","444.20","36,72,333","1,63,12,45,839.25","58,266","9,36,958","25.51"
"SUNPHARMA","EQ","11-Jan-2019","444.60","445.05","449.75","441.60","443.05","444.40","445.69","37,78,103","1,68,38,55,704.65","52,429","7,08,309","18.75"
"SUNPHARMA","EQ","14-Jan-2019","444.40","447.00","452.00","443.75","451.50","450.85","447.81","57,84,064","2,59,01,36,190.75","87,550","20,47,077","35.39"
"SUNPHARMA","EQ","15-Jan-2019","450.85","453.25","454.50","449.50","452.00","452.45","452.05","42,91,873","1,94,01,20,067.90","58,911","17,49,644","40.77"
"SUNPHARMA","EQ","16-Jan-2019","452.45","451.40","457.40","447.15","452.20","453.80","453.34","58,79,148","2,66,52,58,503.10","71,804","19,19,699","32.65"
"SUNPHARMA","EQ","17-Jan-2019","453.80","455.00","455.40","422.50","423.80","426.55","438.33","83,43,750","3,65,73,25,601.95","1,31,151","30,42,917","36.47"
"SUNPHARMA","EQ","18-Jan-2019","426.55","424.05","424.10","370.20","390.25","390.75","384.76","8,29,06,214","31,89,88,66,834.20","8,55,830","2,39,02,549","28.83"
"SUNPHARMA","EQ","21-Jan-2019","390.75","390.10","406.55","390.05","398.55","398.30","400.47","4,89,36,782","19,59,75,85,114.35","4,37,860","1,51,17,980","30.89"
