"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAGLOBAL","EQ","01-Jan-2016","146.20","146.05","148.80","145.50","146.40","146.40","147.07","7,81,067","11,48,71,024.05","5,012","3,82,784","49.01"
"TATAGLOBAL","EQ","04-Jan-2016","146.40","145.90","147.20","142.25","143.00","143.70","143.91","9,50,484","13,67,84,077.15","6,768","3,69,558","38.88"
"TATAGLOBAL","EQ","05-Jan-2016","143.70","144.00","149.50","142.20","148.65","148.35","146.12","15,02,760","21,95,83,745.05","9,260","4,09,423","27.24"
"TATAGLOBAL","EQ","06-Jan-2016","148.35","147.10","149.80","144.50","145.20","145.25","146.93","8,34,054","12,25,46,538.25","6,150","1,99,370","23.90"
"TATAGLOBAL","EQ","07-Jan-2016","145.25","144.10","144.70","139.00","139.50","140.05","141.27","10,34,747","14,61,83,744.50","5,865","2,93,247","28.34"
"TATAGLOBAL","EQ","08-Jan-2016","140.05","140.65","146.75","140.10","144.10","144.45","143.40","12,84,440","18,41,83,664.20","8,489","1,53,167","11.92"
"TATAGLOBAL","EQ","11-Jan-2016","144.45","143.20","144.00","140.95","141.60","141.90","142.64","12,01,860","17,14,29,986.50","11,937","4,42,034","36.78"
"TATAGLOBAL","EQ","12-Jan-2016","141.90","142.40","143.45","138.05","139.90","139.50","140.19","13,53,097","18,96,91,985.35","8,052","3,60,660","26.65"
"TATAGLOBAL","EQ","13-Jan-2016","139.50","141.75","141.95","130.30","135.40","135.60","135.55","19,07,971","25,86,27,532.85","14,137","4,59,035","24.06"
"TATAGLOBAL","EQ","14-Jan-2016","135.60","132.10","136.25","131.15","133.90","134.05","133.92","14,31,102","19,16,52,862.90","8,957","3,25,309","22.73"
"TATAGLOBAL","EQ","15-Jan-2016","134.05","135.00","135.40","127.50","127.65","128.50","130.79","17,56,768","22,97,60,571.20","11,079","6,76,971","38.54"
"TATAGLOBAL","EQ","18-Jan-2016","128.50","128.00","129.00","121.05","122.00","121.85","124.49","20,65,711","25,71,55,103.65","10,761","8,00,366","38.75"
"TATAGLOBAL","EQ","19-Jan-2016","121.85","122.95","127.00","121.55","126.45","126.40","125.16","14,11,260","17,66,27,665.85","15,679","5,61,251","39.77"
"TATAGLOBAL","EQ","20-Jan-2016","126.40","124.60","124.60","120.50","122.80","122.55","122.13","12,78,069","15,60,90,561.65","10,382","2,88,317","22.56"
"TATAGLOBAL","EQ","21-Jan-2016","122.55","123.05","124.55","119.50","121.55","121.75","122.04","13,22,358","16,13,85,298.45","10,284","4,27,671","32.34"
"TATAGLOBAL","EQ","22-Jan-2016","121.75","123.85","126.90","121.95","125.30","125.55","124.43","10,84,192","13,49,04,959.25","7,592","3,59,272","33.14"
"TATAGLOBAL","EQ","25-Jan-2016","125.55","125.85","127.00","123.40","124.15","124.30","125.37","6,82,689","8,55,90,629.95","5,149","1,50,919","22.11"
"TATAGLOBAL","EQ","27-Jan-2016","124.30","124.95","125.95","123.30","124.45","124.45","124.52","6,55,053","8,15,65,004.50","4,793","2,14,539","32.75"
"TATAGLOBAL","EQ","28-Jan-2016","124.45","124.95","125.40","122.60","123.20","123.15","123.53","15,39,708","19,01,94,313.05","6,946","9,78,051","63.52"
"TATAGLOBAL","EQ","29-Jan-2016","123.15","124.10","127.45","123.35","126.75","126.50","125.58","9,25,581","11,62,35,002.70","8,528","2,37,226","25.63"
"TATAGLOBAL","EQ","01-Feb-2016","126.50","126.80","128.30","125.20","126.60","126.60","126.95","5,92,819","7,52,60,792.75","9,352","1,23,327","20.80"
"TATAGLOBAL","EQ","02-Feb-2016","126.60","127.40","127.70","123.55","124.10","124.25","125.63","7,34,748","9,23,04,340.75","7,735","1,14,350","15.56"
"TATAGLOBAL","EQ","03-Feb-2016","124.25","123.05","124.80","121.00","121.65","121.75","123.18","8,77,186","10,80,51,635.70","7,384","1,90,593","21.73"
"TATAGLOBAL","EQ","04-Feb-2016","121.75","123.10","123.40","120.40","122.50","121.60","121.97","11,20,485","13,66,68,494.85","9,629","2,73,238","24.39"
"TATAGLOBAL","EQ","05-Feb-2016","121.60","121.90","123.95","121.45","123.50","122.50","122.51","7,97,137","9,76,55,127.15","5,417","1,31,694","16.52"
"TATAGLOBAL","EQ","08-Feb-2016","122.50","123.05","126.10","122.50","123.85","123.90","124.54","12,27,619","15,28,90,693.00","9,349","2,69,252","21.93"
"TATAGLOBAL","EQ","09-Feb-2016","123.90","123.00","124.40","120.10","121.25","120.75","121.62","11,09,232","13,49,00,029.25","9,102","3,62,354","32.67"
"TATAGLOBAL","EQ","10-Feb-2016","120.75","120.50","121.00","116.45","118.65","118.35","118.07","16,54,991","19,54,04,095.50","9,946","4,63,494","28.01"
"TATAGLOBAL","EQ","11-Feb-2016","118.35","112.70","115.80","102.40","107.00","105.25","108.72","55,24,328","60,05,93,383.15","28,978","23,11,472","41.84"
"TATAGLOBAL","EQ","12-Feb-2016","105.25","103.25","106.40","100.00","104.45","104.30","103.15","20,87,141","21,52,85,872.05","13,286","6,14,726","29.45"
"TATAGLOBAL","EQ","15-Feb-2016","104.30","105.10","108.45","105.10","105.90","106.00","106.59","10,91,675","11,63,61,661.70","6,752","3,31,054","30.33"
"TATAGLOBAL","EQ","16-Feb-2016","106.00","107.70","108.90","102.20","102.60","102.65","105.28","13,41,261","14,12,03,155.95","9,643","3,52,336","26.27"
"TATAGLOBAL","EQ","17-Feb-2016","102.65","103.00","104.60","101.10","104.35","104.00","102.84","12,68,061","13,04,05,238.80","8,211","2,85,837","22.54"
