"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","03-Jan-2022","482.40","493.50","500.85","492.00","496.80","497.60","496.63","3,27,48,423","16,26,37,66,656.15","3,53,792","77,11,120","23.55"
"TATAMOTORS","EQ","04-Jan-2022","497.60","496.80","499.00","484.05","489.35","489.60","490.08","2,41,00,985","11,81,14,51,746.05","2,57,447","56,21,703","23.33"
"TATAMOTORS","EQ","05-Jan-2022","489.60","486.95","492.75","483.55","487.85","489.75","488.50","1,54,20,105","7,53,27,00,850.60","1,66,910","41,85,612","27.14"
"TATAMOTORS","EQ","06-Jan-2022","489.75","481.50","492.95","477.10","488.40","488.85","486.55","1,65,63,230","8,05,87,57,759.45","1,77,074","25,10,564","15.16"
"TATAMOTORS","EQ","07-Jan-2022","488.85","490.05","495.50","483.75","489.85","490.60","489.39","1,55,32,165","7,60,12,79,847.45","1,61,046","35,45,943","22.83"
"TATAMOTORS","EQ","10-Jan-2022","490.60","493.10","504.90","491.30","503.60","503.70","500.63","2,51,93,771","12,61,27,49,425.55","2,75,718","76,76,274","30.47"
"TATAMOTORS","EQ","11-Jan-2022","503.70","503.00","507.90","498.15","500.80","501.30","503.80","1,62,69,193","8,19,64,76,346.65","1,94,868","41,93,201","25.77"
"TATAMOTORS","EQ","12-Jan-2022","501.30","505.85","511.85","503.50","506.30","507.25","507.75","1,62,55,334","8,25,36,84,395.30","1,95,823","42,39,495","26.08"
"TATAMOTORS","EQ","13-Jan-2022","507.25","504.00","513.80","494.80","512.55","511.95","505.24","2,75,72,553","13,93,06,71,599.40","2,99,384","55,29,756","20.06"
"TATAMOTORS","EQ","14-Jan-2022","511.95","509.00","515.40","505.65","509.40","509.90","510.80","1,26,55,602","6,46,44,23,090.35","1,37,895","31,04,608","24.53"
"TATAMOTORS","EQ","17-Jan-2022","509.90","514.80","526.90","512.00","524.80","525.00","523.11","2,79,42,414","14,61,70,03,186.80","3,06,012","72,10,035","25.80"
"TATAMOTORS","EQ","18-Jan-2022","525.00","527.90","528.50","507.15","510.95","510.80","520.01","1,93,53,195","10,06,37,84,033.65","2,03,110","44,45,318","22.97"
"TATAMOTORS","EQ","19-Jan-2022","510.80","510.00","522.20","504.80","520.60","520.85","514.80","2,17,99,071","11,22,22,13,801.60","2,41,471","39,55,423","18.14"
"TATAMOTORS","EQ","20-Jan-2022","520.85","519.95","523.20","512.00","516.40","515.70","518.10","1,83,64,451","9,51,46,04,777.80","2,03,055","49,80,320","27.12"
"TATAMOTORS","EQ","21-Jan-2022","515.70","510.40","513.85","494.25","504.85","501.85","506.81","1,79,46,821","9,09,55,81,366.65","2,02,791","38,39,330","21.39"
"TATAMOTORS","EQ","24-Jan-2022","501.85","499.70","504.30","473.35","477.65","478.45","484.18","2,52,28,959","12,21,54,45,228.35","3,22,276","76,12,165","30.17"
"TATAMOTORS","EQ","25-Jan-2022","478.45","473.80","492.50","467.65","489.40","490.55","483.39","2,25,65,698","10,90,81,17,337.60","2,63,475","58,45,499","25.90"
"TATAMOTORS","EQ","27-Jan-2022","490.55","480.75","502.70","476.60","496.00","494.40","488.98","2,66,76,094","13,04,40,48,334.40","3,31,831","85,43,693","32.03"
"TATAMOTORS","EQ","28-Jan-2022","494.40","500.50","509.35","495.30","497.30","497.30","502.87","2,17,84,640","10,95,48,13,561.10","2,45,257","53,69,886","24.65"
"TATAMOTORS","EQ","31-Jan-2022","497.30","505.00","520.00","498.20","517.50","517.75","509.80","2,73,06,578","13,92,07,86,046.25","2,96,929","76,23,568","27.92"
"TATAMOTORS","EQ","01-Feb-2022","517.75","508.00","514.75","493.00","504.50","504.30","505.96","4,80,30,231","24,30,15,93,195.35","4,92,723","85,24,755","17.75"
