"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATASTEEL","EQ","03-Jan-2022","1,111.45","1,115.00","1,151.00","1,115.00","1,150.00","1,142.45","1,129.46","38,65,803","4,36,62,79,501.50","87,982","12,15,520","31.44"
"TATASTEEL","EQ","04-Jan-2022","1,142.45","1,153.00","1,159.70","1,136.50","1,148.05","1,148.80","1,147.81","59,75,731","6,85,90,26,649.55","1,25,400","17,33,910","29.02"
"TATASTEEL","EQ","05-Jan-2022","1,148.80","1,147.00","1,180.80","1,141.25","1,176.00","1,177.60","1,166.60","61,86,176","7,21,68,00,113.20","1,34,032","19,97,541","32.29"
"TATASTEEL","EQ","06-Jan-2022","1,177.60","1,172.00","1,183.00","1,155.55","1,161.50","1,163.25","1,166.83","53,35,400","6,22,54,89,082.45","1,33,187","14,40,528","27.00"
"TATASTEEL","EQ","07-Jan-2022","1,163.25","1,165.20","1,174.00","1,147.85","1,158.15","1,160.35","1,160.62","39,73,857","4,61,21,54,157.25","87,679","11,67,664","29.38"
"TATASTEEL","EQ","10-Jan-2022","1,160.35","1,165.00","1,173.40","1,153.85","1,168.00","1,169.05","1,165.95","38,22,500","4,45,68,32,468.05","1,24,004","13,31,943","34.84"
"TATASTEEL","EQ","11-Jan-2022","1,169.05","1,158.65","1,162.70","1,113.00","1,134.90","1,130.25","1,137.02","96,97,885","11,02,67,12,678.50","2,45,197","32,85,797","33.88"
"TATASTEEL","EQ","12-Jan-2022","1,130.25","1,139.85","1,150.80","1,132.40","1,147.80","1,147.20","1,142.13","50,35,843","5,75,15,72,117.00","1,39,132","15,25,010","30.28"
"TATASTEEL","EQ","13-Jan-2022","1,147.20","1,154.00","1,225.50","1,152.15","1,219.00","1,221.15","1,200.08","1,57,23,116","18,86,89,61,106.25","3,50,847","43,26,987","27.52"
"TATASTEEL","EQ","14-Jan-2022","1,221.15","1,213.00","1,226.30","1,206.10","1,211.00","1,213.60","1,215.42","52,67,907","6,40,27,40,872.75","1,62,565","12,90,762","24.50"
"TATASTEEL","EQ","17-Jan-2022","1,213.60","1,215.00","1,245.00","1,190.35","1,230.80","1,229.75","1,221.77","89,69,607","10,95,87,88,425.80","2,02,840","22,10,957","24.65"
"TATASTEEL","EQ","18-Jan-2022","1,229.75","1,230.00","1,233.75","1,190.00","1,196.95","1,194.85","1,209.80","58,40,897","7,06,63,37,357.80","1,50,353","17,97,537","30.78"
"TATASTEEL","EQ","19-Jan-2022","1,194.85","1,196.00","1,220.90","1,183.00","1,208.00","1,209.60","1,204.89","73,04,321","8,80,08,84,092.50","1,86,907","13,35,466","18.28"
"TATASTEEL","EQ","20-Jan-2022","1,209.60","1,210.10","1,224.00","1,197.00","1,209.90","1,206.70","1,212.03","59,20,597","7,17,59,12,863.90","1,59,207","15,26,225","25.78"
"TATASTEEL","EQ","21-Jan-2022","1,206.70","1,200.00","1,204.30","1,156.35","1,169.10","1,169.70","1,177.49","71,66,267","8,43,81,84,184.45","1,70,921","20,48,736","28.59"
"TATASTEEL","EQ","24-Jan-2022","1,169.70","1,160.00","1,163.65","1,090.00","1,100.50","1,099.20","1,121.02","83,92,076","9,40,76,99,634.20","2,79,320","30,51,606","36.36"
"TATASTEEL","EQ","25-Jan-2022","1,099.20","1,094.70","1,121.00","1,087.05","1,105.95","1,109.10","1,107.84","57,33,063","6,35,13,34,528.60","2,06,703","15,55,235","27.13"
"TATASTEEL","EQ","27-Jan-2022","1,109.10","1,090.00","1,103.45","1,061.30","1,090.65","1,088.35","1,082.03","90,56,656","9,79,95,78,271.55","2,71,554","22,44,835","24.79"
"TATASTEEL","EQ","28-Jan-2022","1,088.35","1,105.85","1,125.75","1,080.95","1,086.00","1,084.65","1,108.99","78,64,893","8,72,20,67,779.45","1,92,376","20,44,249","25.99"
"TATASTEEL","EQ","31-Jan-2022","1,084.65","1,109.90","1,114.60","1,080.50","1,085.00","1,085.55","1,096.19","55,70,939","6,10,68,08,797.40","1,72,294","12,83,038","23.03"
"TATASTEEL","EQ","01-Feb-2022","1,085.55","1,104.90","1,174.45","1,086.40","1,166.55","1,167.35","1,134.27","1,70,75,268","19,36,79,52,076.85","3,64,400","31,22,607","18.29"
"TATASTEEL","EQ","02-Feb-2022","1,167.35","1,179.90","1,179.90","1,158.30","1,168.00","1,167.50","1,166.61","75,24,734","8,77,84,50,173.45","1,78,662","16,33,416","21.71"
"TATASTEEL","EQ","03-Feb-2022","1,167.50","1,153.00","1,181.70","1,146.30","1,163.00","1,166.60","1,169.68","65,14,090","7,61,94,18,043.55","1,51,104","9,16,256","14.07"
"TATASTEEL","EQ","04-Feb-2022","1,166.60","1,173.80","1,197.75","1,170.25","1,174.40","1,176.30","1,184.03","93,17,418","11,03,20,97,305.30","2,12,738","15,65,436","16.80"
"TATASTEEL","EQ","07-Feb-2022","1,176.30","1,168.30","1,214.60","1,161.00","1,184.95","1,183.00","1,194.31","1,45,10,525","17,33,01,02,163.95","3,21,698","24,68,210","17.01"
"TATASTEEL","EQ","08-Feb-2022","1,183.00","1,195.00","1,222.40","1,171.50","1,219.50","1,219.60","1,202.55","1,40,83,984","16,93,66,57,066.70","3,16,614","30,87,211","21.92"
"TATASTEEL","EQ","09-Feb-2022","1,219.60","1,231.00","1,234.00","1,208.15","1,218.00","1,222.35","1,219.80","73,52,060","8,96,80,09,893.95","1,67,342","18,41,908","25.05"
"TATASTEEL","EQ","10-Feb-2022","1,222.35","1,230.00","1,254.25","1,226.00","1,247.30","1,248.35","1,244.12","93,92,057","11,68,48,09,977.10","2,22,188","30,46,067","32.43"
"TATASTEEL","EQ","11-Feb-2022","1,248.35","1,239.00","1,264.95","1,233.10","1,251.80","1,254.45","1,252.44","96,76,226","12,11,88,83,254.80","2,11,755","27,54,991","28.47"
"TATASTEEL","EQ","14-Feb-2022","1,254.45","1,220.10","1,227.75","1,180.10","1,183.25","1,186.85","1,202.85","80,21,613","9,64,88,20,655.15","2,11,234","20,07,705","25.03"
"TATASTEEL","EQ","15-Feb-2022","1,186.85","1,196.85","1,212.00","1,151.55","1,204.95","1,207.75","1,179.18","1,01,88,921","12,01,45,82,504.45","2,38,309","14,66,994","14.40"
"TATASTEEL","EQ","16-Feb-2022","1,207.75","1,215.00","1,217.90","1,186.50","1,187.95","1,191.80","1,199.11","66,09,214","7,92,51,41,990.10","1,71,088","10,34,623","15.65"
"TATASTEEL","EQ","17-Feb-2022","1,191.80","1,201.10","1,209.50","1,186.15","1,190.00","1,190.95","1,197.29","56,55,792","6,77,16,43,720.60","1,17,118","10,80,967","19.11"
"TATASTEEL","EQ","18-Feb-2022","1,190.95","1,187.00","1,205.00","1,183.00","1,191.00","1,190.80","1,196.74","47,25,120","5,65,47,46,883.90","1,19,821","8,34,039","17.65"
"TATASTEEL","EQ","21-Feb-2022","1,190.80","1,188.00","1,202.00","1,174.40","1,181.00","1,181.85","1,188.32","49,78,732","5,91,63,28,122.20","1,17,333","5,87,877","11.81"
"TATASTEEL","EQ","22-Feb-2022","1,181.85","1,158.00","1,166.65","1,119.25","1,134.00","1,138.70","1,141.03","93,85,857","10,70,95,65,886.60","2,22,627","20,78,541","22.15"
"TATASTEEL","EQ","23-Feb-2022","1,138.70","1,148.00","1,152.60","1,134.00","1,137.90","1,139.00","1,143.60","49,60,838","5,67,32,17,190.30","1,29,498","7,38,406","14.88"
"TATASTEEL","EQ","24-Feb-2022","1,139.00","1,094.00","1,119.95","1,067.10","1,079.00","1,074.00","1,095.75","1,21,26,867","13,28,80,73,810.50","3,24,643","36,60,968","30.19"
"TATASTEEL","EQ","25-Feb-2022","1,074.00","1,097.70","1,150.70","1,095.60","1,144.95","1,145.35","1,136.16","92,12,886","10,46,73,47,648.45","2,26,899","24,33,231","26.41"
"TATASTEEL","EQ","28-Feb-2022","1,145.35","1,134.00","1,225.00","1,129.20","1,217.90","1,220.75","1,196.83","1,76,05,446","21,07,07,73,518.25","4,08,543","55,56,479","31.56"
"TATASTEEL","EQ","02-Mar-2022","1,220.75","1,220.75","1,299.60","1,218.55","1,288.75","1,289.35","1,280.64","2,48,47,532","31,82,06,91,227.60","6,12,717","97,84,999","39.38"
"TATASTEEL","EQ","03-Mar-2022","1,289.35","1,306.00","1,328.65","1,293.65","1,303.00","1,303.30","1,309.97","1,74,50,338","22,85,94,07,692.45","5,28,049","54,96,440","31.50"
"TATASTEEL","EQ","04-Mar-2022","1,303.30","1,302.40","1,319.85","1,273.00","1,277.00","1,277.10","1,297.98","1,62,82,923","21,13,49,84,241.95","4,98,851","46,92,475","28.82"
"TATASTEEL","EQ","07-Mar-2022","1,277.10","1,275.90","1,301.80","1,264.00","1,293.00","1,291.90","1,279.85","1,10,40,001","14,12,95,80,242.05","2,89,960","31,02,424","28.10"
"TATASTEEL","EQ","08-Mar-2022","1,291.90","1,293.00","1,294.00","1,244.00","1,265.90","1,269.50","1,263.11","91,07,822","11,50,41,86,252.60","2,48,719","18,46,780","20.28"
"TATASTEEL","EQ","09-Mar-2022","1,269.50","1,273.90","1,276.80","1,248.60","1,255.55","1,255.35","1,260.29","69,34,888","8,73,99,70,128.45","1,80,250","13,26,393","19.13"
"TATASTEEL","EQ","10-Mar-2022","1,255.35","1,257.85","1,313.80","1,241.00","1,309.35","1,308.70","1,280.13","1,36,74,062","17,50,45,64,980.75","2,88,992","39,24,993","28.70"
"TATASTEEL","EQ","11-Mar-2022","1,308.70","1,315.00","1,339.90","1,296.20","1,298.50","1,301.70","1,316.20","1,18,82,299","15,63,95,24,482.95","2,83,313","23,69,607","19.94"
"TATASTEEL","EQ","14-Mar-2022","1,301.70","1,305.00","1,311.70","1,277.70","1,298.60","1,297.00","1,293.34","52,78,082","6,82,63,43,839.50","1,55,247","8,00,405","15.16"
"TATASTEEL","EQ","15-Mar-2022","1,297.00","1,291.80","1,293.00","1,228.00","1,229.05","1,233.75","1,251.97","96,14,313","12,03,68,20,173.55","2,89,968","33,93,755","35.30"
"TATASTEEL","EQ","16-Mar-2022","1,233.75","1,245.00","1,271.20","1,240.20","1,262.00","1,265.25","1,258.54","63,02,451","7,93,18,73,085.60","1,62,595","12,74,540","20.22"
"TATASTEEL","EQ","17-Mar-2022","1,265.25","1,275.00","1,317.80","1,271.10","1,300.05","1,303.45","1,297.78","1,06,23,976","13,78,75,47,257.25","2,11,990","28,83,225","27.14"
"TATASTEEL","EQ","21-Mar-2022","1,303.45","1,308.00","1,334.00","1,294.50","1,296.00","1,302.95","1,318.78","84,22,763","11,10,77,80,248.70","1,83,002","22,54,673","26.77"
"TATASTEEL","EQ","22-Mar-2022","1,302.95","1,320.00","1,330.00","1,288.05","1,308.00","1,302.00","1,308.02","81,79,588","10,69,90,83,341.20","1,79,422","14,53,659","17.77"
"TATASTEEL","EQ","23-Mar-2022","1,302.00","1,324.00","1,347.80","1,292.35","1,328.55","1,331.00","1,321.71","1,30,55,238","17,25,52,95,796.55","2,59,263","24,57,973","18.83"
"TATASTEEL","EQ","24-Mar-2022","1,331.00","1,330.95","1,359.50","1,325.95","1,346.95","1,350.55","1,348.57","94,60,527","12,75,82,22,562.20","2,08,902","32,01,383","33.84"
