"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TECHM","EQ","02-Jan-2017","488.90","494.50","496.90","486.50","487.25","488.00","491.91","12,03,138","59,18,39,378.45","17,544","6,79,638","56.49"
"TECHM","EQ","03-Jan-2017","488.00","488.70","495.00","487.20","489.10","491.55","491.92","10,06,546","49,51,42,518.15","20,452","5,52,971","54.94"
"TECHM","EQ","04-Jan-2017","491.55","490.00","504.50","488.55","501.70","500.60","499.51","19,89,140","99,35,94,143.55","44,037","10,95,211","55.06"
"TECHM","EQ","05-Jan-2017","500.60","505.00","507.00","485.95","487.45","488.10","495.11","22,95,824","1,13,66,94,607.30","40,600","14,28,950","62.24"
"TECHM","EQ","06-Jan-2017","488.10","487.50","487.90","466.20","468.65","469.75","472.50","33,07,502","1,56,27,83,193.60","54,252","16,48,581","49.84"
"TECHM","EQ","09-Jan-2017","469.75","465.05","477.90","462.00","470.60","473.45","471.55","18,12,454","85,46,59,785.80","37,858","7,93,226","43.77"
"TECHM","EQ","10-Jan-2017","473.45","474.35","475.00","467.65","473.00","473.50","472.65","16,34,891","77,27,36,756.10","30,542","11,21,938","68.62"
"TECHM","EQ","11-Jan-2017","473.50","473.30","478.45","469.00","474.25","474.05","473.05","20,58,634","97,38,28,282.80","38,091","14,54,388","70.65"
"TECHM","EQ","12-Jan-2017","474.05","475.00","486.80","472.20","481.00","481.20","482.42","19,70,093","95,04,06,245.85","39,322","10,61,585","53.89"
"TECHM","EQ","13-Jan-2017","481.20","484.20","492.90","481.90","488.20","488.50","487.54","27,54,723","1,34,30,43,277.00","55,931","16,07,245","58.35"
"TECHM","EQ","16-Jan-2017","488.50","488.25","490.55","479.00","488.00","487.15","486.18","12,58,527","61,18,76,511.95","35,474","6,31,273","50.16"
"TECHM","EQ","17-Jan-2017","487.15","488.00","495.00","484.70","488.00","486.75","491.76","12,33,813","60,67,37,697.40","32,687","7,45,451","60.42"
"TECHM","EQ","18-Jan-2017","486.75","488.00","494.90","481.50","482.35","483.65","486.54","13,36,551","65,02,89,435.90","43,098","8,51,917","63.74"
"TECHM","EQ","19-Jan-2017","483.65","480.00","485.25","477.45","481.00","481.40","481.43","15,86,512","76,37,97,559.20","29,385","10,71,548","67.54"
"TECHM","EQ","20-Jan-2017","481.40","476.00","484.00","466.00","469.90","468.65","473.96","14,42,119","68,35,09,313.85","39,738","9,83,354","68.19"
"TECHM","EQ","23-Jan-2017","468.65","465.00","471.80","460.80","469.55","469.70","468.73","14,00,660","65,65,24,799.60","17,931","8,32,919","59.47"
"TECHM","EQ","24-Jan-2017","469.70","471.40","473.50","465.40","470.00","469.90","470.00","12,55,925","59,02,87,404.40","21,373","8,75,225","69.69"
"TECHM","EQ","25-Jan-2017","469.90","470.25","473.75","462.20","468.15","465.65","466.16","33,68,794","1,57,03,95,371.70","54,217","18,44,886","54.76"
"TECHM","EQ","27-Jan-2017","465.65","465.40","470.60","463.20","466.50","467.10","467.50","17,95,089","83,92,12,594.35","28,750","12,49,390","69.60"
"TECHM","EQ","30-Jan-2017","467.10","467.00","478.00","461.20","472.10","471.60","470.20","30,24,028","1,42,18,98,373.75","64,479","11,96,147","39.55"
"TECHM","EQ","31-Jan-2017","471.60","484.70","484.70","425.50","454.00","452.20","453.12","78,04,620","3,53,64,30,058.85","1,05,935","29,39,522","37.66"
