"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TITAN","EQ","01-Jan-2016","347.15","347.15","353.80","346.50","352.20","352.05","351.32","4,52,823","15,90,87,174.65","8,903","1,18,455","26.16"
"TITAN","EQ","04-Jan-2016","352.05","350.00","353.50","347.85","351.50","351.40","351.59","6,87,951","24,18,75,631.95","10,094","4,24,709","61.74"
"TITAN","EQ","05-Jan-2016","351.40","351.90","355.00","345.80","347.50","347.70","348.13","14,94,306","52,02,15,746.80","47,746","10,23,570","68.50"
"TITAN","EQ","06-Jan-2016","347.70","347.70","350.90","343.20","347.60","347.85","347.28","10,00,140","34,73,24,378.45","43,171","5,45,324","54.52"
"TITAN","EQ","07-Jan-2016","347.85","346.70","347.70","336.55","344.15","344.05","342.57","14,23,390","48,76,10,866.10","39,209","9,19,810","64.62"
"TITAN","EQ","08-Jan-2016","344.05","347.70","350.50","338.20","349.50","348.00","342.63","13,41,603","45,96,74,739.00","39,469","6,84,484","51.02"
"TITAN","EQ","11-Jan-2016","348.00","345.00","350.00","343.65","344.70","345.05","346.59","7,05,294","24,44,48,726.10","16,349","3,53,035","50.06"
"TITAN","EQ","12-Jan-2016","345.05","346.50","349.00","344.70","346.35","346.90","346.51","6,38,269","22,11,66,268.85","20,524","3,87,919","60.78"
"TITAN","EQ","13-Jan-2016","346.90","349.50","351.25","345.00","350.00","349.95","349.19","7,35,198","25,67,22,677.95","12,788","4,04,568","55.03"
"TITAN","EQ","14-Jan-2016","349.95","347.00","359.95","340.00","342.00","341.70","343.09","20,07,294","68,86,86,764.95","30,275","15,23,921","75.92"
"TITAN","EQ","15-Jan-2016","341.70","342.00","342.50","332.55","335.00","335.85","340.00","15,70,462","53,39,52,114.80","36,218","11,89,240","75.73"
"TITAN","EQ","18-Jan-2016","335.85","335.00","343.80","332.60","334.80","334.25","338.24","26,40,407","89,30,99,377.55","37,362","19,46,193","73.71"
"TITAN","EQ","19-Jan-2016","334.25","334.10","340.45","326.95","338.55","339.20","335.02","12,22,626","40,96,05,885.20","27,738","7,76,206","63.49"
"TITAN","EQ","20-Jan-2016","339.20","335.90","343.90","333.95","343.90","340.85","339.64","15,30,254","51,97,30,067.00","30,607","9,07,411","59.30"
"TITAN","EQ","21-Jan-2016","340.85","343.90","347.60","337.20","345.00","343.40","342.02","10,15,243","34,72,31,974.85","34,677","6,33,545","62.40"
"TITAN","EQ","22-Jan-2016","343.40","346.00","349.00","336.80","347.40","347.60","343.68","10,27,422","35,31,01,885.00","19,707","5,47,728","53.31"
"TITAN","EQ","25-Jan-2016","347.60","350.90","357.95","346.55","355.50","354.45","354.38","8,01,820","28,41,52,010.95","13,581","3,97,588","49.59"
"TITAN","EQ","27-Jan-2016","354.45","357.85","357.85","345.00","345.60","349.65","350.31","8,66,074","30,33,97,542.10","19,608","5,24,516","60.56"
"TITAN","EQ","28-Jan-2016","349.65","345.80","348.90","336.90","340.00","339.00","341.41","10,60,659","36,21,14,888.10","13,077","6,38,195","60.17"
"TITAN","EQ","29-Jan-2016","339.00","347.00","366.70","346.45","365.40","363.70","355.45","18,07,418","64,24,49,982.75","36,169","5,94,632","32.90"
"TITAN","EQ","01-Feb-2016","363.70","364.50","366.25","357.45","359.45","359.95","361.80","6,59,748","23,87,00,101.80","11,817","1,76,700","26.78"
"TITAN","EQ","02-Feb-2016","359.95","359.90","362.80","350.70","351.15","352.00","355.11","7,57,686","26,90,60,265.35","33,937","4,08,157","53.87"
"TITAN","EQ","03-Feb-2016","352.00","345.00","356.50","345.00","354.45","354.05","350.70","7,23,244","25,36,42,509.40","23,151","2,72,931","37.74"
"TITAN","EQ","04-Feb-2016","354.05","356.05","372.90","356.05","361.50","362.00","365.68","15,19,516","55,56,54,196.30","34,049","6,78,837","44.67"
"TITAN","EQ","05-Feb-2016","362.00","363.65","372.00","361.10","370.10","369.55","365.08","15,49,307","56,56,26,987.60","24,184","6,30,863","40.72"
"TITAN","EQ","08-Feb-2016","369.55","366.10","376.00","365.00","371.00","371.60","372.78","10,47,610","39,05,25,578.50","19,197","5,24,069","50.03"
"TITAN","EQ","09-Feb-2016","371.60","367.50","375.60","365.50","367.05","366.85","370.71","8,08,046","29,95,46,854.30","19,713","2,63,645","32.63"
"TITAN","EQ","10-Feb-2016","366.85","365.00","373.80","364.05","372.00","370.40","370.03","20,59,928","76,22,30,114.30","24,353","15,93,800","77.37"
"TITAN","EQ","11-Feb-2016","370.40","369.00","370.30","353.95","355.45","356.35","359.61","10,69,363","38,45,52,772.40","26,539","5,38,876","50.39"
"TITAN","EQ","12-Feb-2016","356.35","358.15","360.75","341.10","353.30","355.85","356.06","21,87,500","77,88,84,916.30","48,352","15,33,147","70.09"
"TITAN","EQ","15-Feb-2016","355.85","356.25","364.65","350.50","359.90","358.70","358.30","7,75,675","27,79,20,716.55","20,320","2,34,769","30.27"
"TITAN","EQ","16-Feb-2016","358.70","362.95","363.40","346.50","348.70","347.55","352.69","17,20,575","60,68,24,477.25","44,668","13,29,460","77.27"
"TITAN","EQ","17-Feb-2016","347.55","346.30","346.35","323.05","325.75","326.85","327.73","27,44,020","89,92,89,211.75","85,721","11,63,770","42.41"
"TITAN","EQ","18-Feb-2016","326.85","328.10","335.50","320.15","335.00","333.65","328.77","17,44,811","57,36,40,071.40","61,633","7,05,307","40.42"
"TITAN","EQ","19-Feb-2016","333.65","333.00","340.80","331.00","334.60","334.70","335.98","8,07,083","27,11,63,411.35","14,753","3,12,910","38.77"
"TITAN","EQ","22-Feb-2016","334.70","337.70","339.40","326.30","339.10","337.90","334.51","8,73,701","29,22,60,204.95","18,654","3,57,059","40.87"
"TITAN","EQ","23-Feb-2016","337.90","338.00","338.00","326.50","333.00","329.45","330.68","8,28,320","27,39,10,253.55","15,236","2,24,528","27.11"
"TITAN","EQ","24-Feb-2016","329.45","331.00","332.00","324.15","326.40","326.95","328.34","6,68,565","21,95,15,265.90","37,538","3,71,378","55.55"
"TITAN","EQ","25-Feb-2016","326.95","328.10","330.75","322.70","324.70","323.75","325.16","12,70,824","41,32,25,262.05","27,764","8,80,847","69.31"
"TITAN","EQ","26-Feb-2016","323.75","328.55","337.00","324.95","331.00","330.15","332.06","8,81,692","29,27,75,633.95","19,534","3,24,457","36.80"
"TITAN","EQ","29-Feb-2016","330.15","331.75","331.75","301.70","317.00","316.80","316.17","18,57,767","58,73,65,977.30","27,794","6,82,775","36.75"
"TITAN","EQ","01-Mar-2016","316.80","312.50","340.00","310.00","336.65","337.50","328.08","13,88,815","45,56,36,036.55","35,223","4,49,154","32.34"
"TITAN","EQ","02-Mar-2016","337.50","337.50","338.45","327.50","334.30","333.90","332.64","15,20,145","50,56,56,180.90","30,067","4,71,032","30.99"
"TITAN","EQ","03-Mar-2016","333.90","333.00","344.50","332.45","339.50","342.15","341.24","15,01,530","51,23,85,980.45","58,953","7,31,850","48.74"
"TITAN","EQ","04-Mar-2016","342.15","341.90","345.40","336.00","336.00","338.45","338.87","8,93,896","30,29,18,953.70","31,326","4,81,120","53.82"
"TITAN","EQ","08-Mar-2016","338.45","338.00","344.00","336.20","341.60","341.55","340.36","20,06,420","68,29,01,854.35","51,243","14,33,662","71.45"
"TITAN","EQ","09-Mar-2016","341.55","341.55","341.55","337.20","339.95","339.85","339.92","9,14,711","31,09,31,266.35","50,893","6,03,628","65.99"
"TITAN","EQ","10-Mar-2016","339.85","339.70","345.50","337.80","340.00","339.05","341.88","34,29,651","1,17,25,23,023.75","35,414","29,39,172","85.70"
"TITAN","EQ","11-Mar-2016","339.05","340.05","347.40","337.00","346.00","346.00","344.15","14,25,552","49,06,05,110.35","36,112","9,66,591","67.80"
"TITAN","EQ","14-Mar-2016","346.00","347.10","349.50","340.05","342.65","341.15","344.21","7,94,134","27,33,50,167.35","39,189","4,41,137","55.55"
"TITAN","EQ","15-Mar-2016","341.15","342.70","345.00","340.25","342.95","343.80","343.51","9,63,552","33,09,90,741.85","39,453","6,63,863","68.90"
"TITAN","EQ","16-Mar-2016","343.80","342.90","343.60","337.05","339.50","339.65","339.17","8,04,723","27,29,41,350.95","29,824","4,67,530","58.10"
"TITAN","EQ","17-Mar-2016","339.65","343.50","343.90","337.70","338.90","339.50","340.40","15,27,064","51,98,07,104.00","58,795","12,06,616","79.02"
"TITAN","EQ","18-Mar-2016","339.50","340.10","344.50","336.05","338.25","337.80","339.48","25,23,802","85,67,68,292.30","39,171","18,84,423","74.67"
"TITAN","EQ","21-Mar-2016","337.80","341.00","344.45","337.25","342.25","342.10","340.88","10,71,707","36,53,20,290.75","21,765","5,82,115","54.32"
"TITAN","EQ","22-Mar-2016","342.10","341.60","361.00","341.60","356.25","358.60","353.50","13,99,074","49,45,68,399.35","25,145","3,99,546","28.56"
"TITAN","EQ","23-Mar-2016","358.60","358.60","358.90","351.50","351.70","352.70","354.42","4,72,224","16,73,67,641.65","9,977","2,32,360","49.21"
"TITAN","EQ","28-Mar-2016","352.70","356.70","357.00","325.00","325.40","327.40","335.18","14,17,021","47,49,62,217.65","33,458","6,67,910","47.13"
"TITAN","EQ","29-Mar-2016","327.40","325.00","331.00","320.30","330.45","329.75","327.31","20,05,734","65,64,96,150.60","39,119","9,74,525","48.59"
"TITAN","EQ","30-Mar-2016","329.75","331.40","339.55","331.40","338.65","338.25","335.32","14,55,310","48,79,97,603.60","32,951","10,23,274","70.31"
"TITAN","EQ","31-Mar-2016","338.25","338.50","340.15","334.25","340.00","339.10","336.89","8,95,578","30,17,08,076.70","17,431","5,92,098","66.11"
"TITAN","EQ","01-Apr-2016","339.10","339.00","343.00","335.40","339.00","339.45","340.22","5,17,494","17,60,63,150.40","16,368","2,54,110","49.10"
