"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TRENT","EQ","01-Jan-2021","687.60","690.90","691.95","672.00","674.00","674.65","678.26","3,28,829","22,30,31,414.25","10,582","1,83,400","55.77"
"TRENT","EQ","04-Jan-2021","674.65","679.00","683.30","674.00","681.30","678.50","677.97","5,65,557","38,34,30,240.25","19,612","3,84,294","67.95"
"TRENT","EQ","05-Jan-2021","678.50","679.90","679.90","672.00","674.95","675.00","675.11","4,50,769","30,43,20,485.45","24,307","3,17,909","70.53"
"TRENT","EQ","06-Jan-2021","675.00","678.90","684.30","672.00","675.00","676.65","678.89","2,27,409","15,43,85,021.50","9,102","94,846","41.71"
"TRENT","EQ","07-Jan-2021","676.65","675.85","684.85","672.50","674.00","675.45","677.69","3,02,941","20,52,99,843.30","13,003","1,32,260","43.66"
"TRENT","EQ","08-Jan-2021","675.45","678.00","701.00","674.90","695.10","695.40","692.70","8,97,082","62,14,07,172.70","31,162","3,60,560","40.19"
"TRENT","EQ","11-Jan-2021","695.40","702.90","705.15","688.25","693.05","693.75","696.13","4,87,073","33,90,68,019.75","23,747","2,35,219","48.29"
"TRENT","EQ","12-Jan-2021","693.75","695.00","697.00","683.00","685.00","684.60","687.24","3,33,187","22,89,78,944.85","13,329","2,03,608","61.11"
"TRENT","EQ","13-Jan-2021","684.60","687.90","693.00","667.00","671.80","673.25","679.50","6,92,189","47,03,43,787.95","20,817","4,08,620","59.03"
"TRENT","EQ","14-Jan-2021","673.25","676.85","677.00","649.00","650.00","654.60","660.90","5,43,503","35,91,98,934.30","33,308","3,76,731","69.32"
"TRENT","EQ","15-Jan-2021","654.60","653.90","659.00","639.50","643.05","643.50","648.65","7,05,409","45,75,63,081.10","31,195","4,31,861","61.22"
"TRENT","EQ","18-Jan-2021","643.50","645.90","700.00","630.00","661.00","660.05","644.46","4,88,034","31,45,16,526.00","18,697","2,66,454","54.60"
"TRENT","EQ","19-Jan-2021","660.05","669.00","690.25","656.05","680.15","677.75","671.47","4,37,784","29,39,57,154.25","17,246","2,22,197","50.75"
"TRENT","EQ","20-Jan-2021","677.75","677.00","695.00","657.00","693.00","679.95","675.43","6,28,236","42,43,28,987.65","18,283","3,28,004","52.21"
"TRENT","EQ","21-Jan-2021","679.95","685.00","685.00","660.55","663.00","666.60","671.33","8,74,465","58,70,51,853.60","40,866","6,09,873","69.74"
"TRENT","EQ","22-Jan-2021","666.60","663.00","680.00","640.05","674.80","660.50","658.97","12,58,060","82,90,27,924.90","22,614","9,87,980","78.53"
"TRENT","EQ","25-Jan-2021","660.50","666.00","677.00","652.80","662.10","670.75","669.06","4,10,716","27,47,94,429.35","16,676","1,78,730","43.52"
"TRENT","EQ","27-Jan-2021","670.75","663.00","672.75","653.40","655.15","659.20","662.38","3,90,506","25,86,63,215.25","12,871","1,93,385","49.52"
"TRENT","EQ","28-Jan-2021","659.20","650.00","677.15","647.00","652.00","659.25","657.06","4,72,720","31,06,06,201.20","15,579","2,73,536","57.86"
"TRENT","EQ","29-Jan-2021","659.25","657.10","662.55","585.00","628.90","621.55","630.63","9,46,190","59,66,96,042.55","34,642","4,04,377","42.74"
"TRENT","EQ","01-Feb-2021","621.55","629.00","650.00","625.10","640.00","641.15","639.88","5,80,728","37,15,97,021.65","18,817","3,28,653","56.59"
"TRENT","EQ","02-Feb-2021","641.15","641.90","682.00","641.15","668.00","665.75","658.60","7,32,091","48,21,53,827.70","19,591","5,14,944","70.34"
"TRENT","EQ","03-Feb-2021","665.75","673.45","690.00","664.05","677.95","680.55","677.54","6,42,063","43,50,23,311.50","16,911","3,40,387","53.01"
"TRENT","EQ","04-Feb-2021","680.55","679.95","679.95","662.00","663.00","669.65","671.06","4,26,826","28,64,25,333.20","18,304","2,35,295","55.13"
"TRENT","EQ","05-Feb-2021","669.65","679.20","692.10","668.00","688.00","688.45","681.52","14,24,089","97,05,50,767.10","39,473","7,26,202","50.99"
"TRENT","EQ","08-Feb-2021","688.45","695.90","695.90","682.00","689.95","691.90","691.65","5,21,522","36,07,08,900.35","23,439","2,37,931","45.62"
"TRENT","EQ","09-Feb-2021","691.90","694.50","694.70","671.05","675.00","678.30","682.40","4,52,702","30,89,24,965.30","16,065","2,79,368","61.71"
"TRENT","EQ","10-Feb-2021","678.30","676.95","699.00","670.00","692.70","690.85","685.42","3,36,479","23,06,28,039.05","10,435","2,02,070","60.05"
"TRENT","EQ","11-Feb-2021","690.85","689.00","699.00","677.20","690.55","693.55","688.94","4,38,577","30,21,51,330.00","15,379","2,34,490","53.47"
"TRENT","EQ","12-Feb-2021","693.55","689.00","694.95","681.50","682.00","685.65","687.79","1,68,139","11,56,44,498.30","8,257","68,953","41.01"
"TRENT","EQ","15-Feb-2021","685.65","685.90","712.95","680.95","710.00","701.70","694.75","7,18,300","49,90,41,463.55","17,788","5,30,524","73.86"
"TRENT","EQ","16-Feb-2021","701.70","710.70","758.00","710.00","750.95","750.25","734.03","20,95,315","1,53,80,29,801.65","63,706","8,69,226","41.48"
"TRENT","EQ","17-Feb-2021","750.25","749.20","778.00","730.25","768.00","768.40","764.88","13,48,015","1,03,10,75,056.75","45,154","4,58,568","34.02"
"TRENT","EQ","18-Feb-2021","768.40","770.00","786.85","765.35","770.10","779.00","773.53","4,60,573","35,62,67,242.10","16,076","2,23,905","48.61"
"TRENT","EQ","19-Feb-2021","779.00","772.00","805.00","765.55","792.65","794.00","784.07","6,30,929","49,46,91,856.15","29,337","2,92,261","46.32"
"TRENT","EQ","22-Feb-2021","794.00","799.75","844.90","792.00","815.75","816.35","826.37","16,65,511","1,37,63,32,645.85","75,570","6,93,174","41.62"
"TRENT","EQ","23-Feb-2021","816.35","824.90","832.95","780.50","786.60","785.45","805.59","4,17,058","33,59,78,460.70","24,756","2,15,880","51.76"
"TRENT","EQ","24-Feb-2021","785.45","784.10","799.55","763.00","795.55","784.95","774.30","3,01,313","23,33,07,153.45","12,074","1,49,804","49.72"
"TRENT","EQ","25-Feb-2021","784.95","794.80","825.00","788.75","823.20","819.25","804.08","7,29,553","58,66,15,667.20","32,356","3,44,676","47.24"
"TRENT","EQ","26-Feb-2021","819.25","800.10","823.00","786.00","818.00","808.65","806.33","10,56,061","85,15,32,548.35","32,361","5,90,123","55.88"
"TRENT","EQ","01-Mar-2021","808.65","820.00","839.90","806.65","830.00","830.40","822.89","4,42,822","36,43,92,927.90","20,504","2,11,745","47.82"
"TRENT","EQ","02-Mar-2021","830.40","838.00","921.55","830.45","908.00","905.90","892.60","38,00,314","3,39,21,69,564.55","1,38,137","9,10,314","23.95"
"TRENT","EQ","03-Mar-2021","905.90","923.00","923.00","891.00","912.00","910.90","910.12","15,35,060","1,39,70,82,367.25","41,452","7,72,658","50.33"
"TRENT","EQ","04-Mar-2021","910.90","900.00","944.70","895.05","924.05","927.05","927.31","11,73,560","1,08,82,55,647.60","31,448","3,81,987","32.55"
"TRENT","EQ","05-Mar-2021","927.05","925.00","935.80","877.05","878.50","881.40","907.79","7,51,162","68,18,98,008.40","24,792","3,07,451","40.93"
