"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","01-Jan-2014","376.40","377.55","378.80","374.05","374.50","374.95","376.95","13,50,265","50,89,87,388.15","14,909","4,21,023","31.18"
"TATAMOTORS","EQ","02-Jan-2014","374.95","374.95","376.20","369.20","372.00","372.35","372.98","29,83,093","1,11,26,37,239.40","39,644","16,69,996","55.98"
"TATAMOTORS","EQ","03-Jan-2014","372.35","368.00","368.00","360.00","363.00","362.70","362.87","49,50,946","1,79,65,37,048.95","84,245","21,90,868","44.25"
"TATAMOTORS","EQ","06-Jan-2014","362.70","367.50","370.50","364.20","367.25","366.95","367.93","54,31,816","1,99,85,37,588.70","67,547","29,06,695","53.51"
"TATAMOTORS","EQ","07-Jan-2014","366.95","367.00","370.00","363.75","363.90","365.10","367.15","39,78,229","1,46,06,09,147.00","50,120","22,52,370","56.62"
"TATAMOTORS","EQ","08-Jan-2014","365.10","365.10","371.60","364.55","370.50","370.25","368.61","53,97,831","1,98,96,81,490.95","90,284","36,37,538","67.39"
"TATAMOTORS","EQ","09-Jan-2014","370.25","372.20","372.40","365.00","369.00","367.95","367.90","35,65,546","1,31,17,46,794.50","85,784","22,79,394","63.93"
"TATAMOTORS","EQ","10-Jan-2014","367.95","370.00","370.60","365.50","367.00","367.00","367.91","30,67,850","1,12,86,91,158.20","50,598","16,37,816","53.39"
"TATAMOTORS","EQ","13-Jan-2014","367.00","372.65","379.45","371.75","375.50","376.15","375.76","66,35,467","2,49,33,70,738.35","1,09,578","38,02,361","57.30"
"TATAMOTORS","EQ","14-Jan-2014","376.15","375.10","375.50","368.10","371.80","371.80","371.37","32,37,644","1,20,23,75,693.25","45,274","16,89,278","52.18"
"TATAMOTORS","EQ","15-Jan-2014","371.80","374.00","378.15","372.70","377.70","377.30","375.87","47,95,274","1,80,24,11,117.10","66,421","31,31,868","65.31"
"TATAMOTORS","EQ","16-Jan-2014","377.30","379.00","379.00","366.80","369.55","369.75","370.21","77,05,700","2,85,27,30,043.65","76,889","53,70,835","69.70"
"TATAMOTORS","EQ","17-Jan-2014","369.75","367.50","373.90","367.05","368.55","369.70","370.25","49,47,903","1,83,19,81,936.70","38,733","31,98,234","64.64"
"TATAMOTORS","EQ","20-Jan-2014","369.70","371.05","376.75","370.50","374.40","374.90","373.66","32,12,466","1,20,03,68,514.30","29,444","18,64,996","58.05"
"TATAMOTORS","EQ","21-Jan-2014","374.90","375.00","387.80","372.20","384.25","384.80","383.78","57,20,137","2,19,52,56,008.90","65,229","25,77,476","45.06"
"TATAMOTORS","EQ","22-Jan-2014","384.80","381.45","387.50","380.05","385.50","386.10","385.48","55,94,747","2,15,66,88,148.40","66,842","35,80,666","64.00"
"TATAMOTORS","EQ","23-Jan-2014","386.10","385.25","389.00","380.70","384.00","383.60","385.12","37,50,003","1,44,41,92,623.80","61,823","19,56,915","52.18"
"TATAMOTORS","EQ","24-Jan-2014","383.60","379.00","382.05","368.80","371.10","370.40","372.59","35,81,923","1,33,45,81,339.20","45,491","18,88,486","52.72"
"TATAMOTORS","EQ","27-Jan-2014","370.40","363.00","363.00","345.55","348.35","348.25","353.05","91,40,386","3,22,69,88,633.90","1,47,140","52,48,794","57.42"
"TATAMOTORS","EQ","28-Jan-2014","348.25","345.50","359.40","345.50","355.00","356.25","353.38","65,42,003","2,31,18,20,695.30","71,309","32,98,295","50.42"
"TATAMOTORS","EQ","29-Jan-2014","356.25","360.10","362.55","350.55","352.35","351.75","357.09","32,52,615","1,16,14,66,070.85","38,172","12,56,046","38.62"
"TATAMOTORS","EQ","30-Jan-2014","351.75","349.30","367.50","349.00","363.20","361.75","357.03","90,19,795","3,22,03,81,392.75","75,744","40,26,982","44.65"
"TATAMOTORS","EQ","31-Jan-2014","361.75","358.40","358.40","347.00","349.95","349.55","350.46","68,59,611","2,40,40,53,200.60","85,638","34,41,243","50.17"
"TATAMOTORS","EQ","03-Feb-2014","349.55","347.00","349.75","335.60","337.00","336.40","339.82","55,77,370","1,89,53,12,277.35","76,144","26,71,835","47.90"
"TATAMOTORS","EQ","04-Feb-2014","336.40","332.10","346.70","332.10","346.10","345.85","341.59","1,13,39,969","3,87,36,64,707.00","1,26,492","57,64,121","50.83"
"TATAMOTORS","EQ","05-Feb-2014","345.85","343.00","358.50","339.55","355.00","355.10","349.82","93,37,843","3,26,65,44,385.10","1,34,320","43,15,356","46.21"
"TATAMOTORS","EQ","06-Feb-2014","355.10","353.05","360.25","349.00","357.45","357.65","355.79","79,99,919","2,84,63,21,706.75","64,905","41,09,115","51.36"
"TATAMOTORS","EQ","07-Feb-2014","357.65","360.00","363.00","356.10","360.25","360.20","359.61","54,32,815","1,95,36,87,120.40","55,493","25,28,277","46.54"
"TATAMOTORS","EQ","10-Feb-2014","360.20","365.00","367.40","358.00","363.80","364.05","364.56","65,09,957","2,37,32,37,886.45","77,180","23,59,246","36.24"
"TATAMOTORS","EQ","11-Feb-2014","364.05","381.05","382.70","370.65","374.10","374.50","375.79","1,56,61,815","5,88,55,54,870.95","1,68,062","68,55,911","43.77"
"TATAMOTORS","EQ","12-Feb-2014","374.50","376.00","383.00","375.15","376.80","376.65","378.23","77,20,562","2,92,01,36,419.85","85,385","35,91,956","46.52"
"TATAMOTORS","EQ","13-Feb-2014","376.65","380.00","383.45","374.70","375.00","375.95","379.35","67,53,321","2,56,18,98,404.65","94,374","29,99,927","44.42"
"TATAMOTORS","EQ","14-Feb-2014","375.95","380.20","390.00","380.20","389.65","388.80","384.35","66,88,954","2,57,08,69,009.50","87,433","28,46,670","42.56"
"TATAMOTORS","EQ","17-Feb-2014","388.80","392.05","395.45","384.25","386.60","386.60","388.79","85,51,120","3,32,46,14,996.15","91,511","31,46,201","36.79"
"TATAMOTORS","EQ","18-Feb-2014","386.60","387.95","394.25","385.30","391.00","391.40","390.79","60,11,915","2,34,93,72,392.95","93,325","28,05,890","46.67"
"TATAMOTORS","EQ","19-Feb-2014","391.40","392.00","393.00","387.90","391.80","391.50","390.09","39,04,872","1,52,32,44,974.60","78,593","18,64,941","47.76"
"TATAMOTORS","EQ","20-Feb-2014","391.50","391.50","395.00","389.40","391.55","391.85","391.90","66,63,891","2,61,15,59,613.90","82,068","37,01,439","55.54"
