"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ULTRACEMCO","EQ","01-Jan-2020","4,046.05","4,060.00","4,071.95","4,045.00","4,068.00","4,065.00","4,059.12","1,63,949","66,54,88,201.30","9,451","30,007","18.30"
"ULTRACEMCO","EQ","02-Jan-2020","4,065.00","4,069.90","4,256.30","4,068.15","4,237.00","4,244.80","4,201.06","14,58,328","6,12,65,21,799.40","94,709","4,03,142","27.64"
"ULTRACEMCO","EQ","03-Jan-2020","4,244.80","4,237.00","4,258.00","4,185.85","4,218.25","4,219.20","4,222.20","6,35,983","2,68,52,49,076.90","46,789","1,74,945","27.51"
"ULTRACEMCO","EQ","06-Jan-2020","4,219.20","4,191.00","4,199.75","4,131.00","4,146.85","4,157.10","4,169.55","4,62,841","1,92,98,39,629.25","39,868","2,14,991","46.45"
"ULTRACEMCO","EQ","07-Jan-2020","4,157.10","4,199.55","4,254.00","4,164.05","4,239.95","4,242.10","4,221.37","5,24,372","2,21,35,67,199.35","41,214","92,149","17.57"
"ULTRACEMCO","EQ","08-Jan-2020","4,242.10","4,224.85","4,332.00","4,183.80","4,308.00","4,318.95","4,293.48","10,32,268","4,43,20,27,011.20","72,733","2,23,131","21.62"
"ULTRACEMCO","EQ","09-Jan-2020","4,318.95","4,337.00","4,400.00","4,331.60","4,388.05","4,388.00","4,372.71","6,98,429","3,05,40,28,329.55","47,576","2,56,684","36.75"
"ULTRACEMCO","EQ","10-Jan-2020","4,388.00","4,388.10","4,464.05","4,366.90","4,457.00","4,444.60","4,430.01","7,35,887","3,25,99,83,348.55","54,585","2,52,284","34.28"
"ULTRACEMCO","EQ","13-Jan-2020","4,444.60","4,457.55","4,492.00","4,450.05","4,470.95","4,468.70","4,473.14","4,03,937","1,80,68,65,917.20","32,808","1,12,285","27.80"
"ULTRACEMCO","EQ","14-Jan-2020","4,468.70","4,465.00","4,502.95","4,422.70","4,480.90","4,483.30","4,453.71","4,38,651","1,95,36,24,796.30","36,958","1,49,663","34.12"
"ULTRACEMCO","EQ","15-Jan-2020","4,483.30","4,451.05","4,525.25","4,410.00","4,523.70","4,506.50","4,456.81","4,16,924","1,85,81,50,896.80","32,862","1,42,007","34.06"
"ULTRACEMCO","EQ","16-Jan-2020","4,506.50","4,520.00","4,554.90","4,433.25","4,481.95","4,472.35","4,503.97","4,67,980","2,10,77,69,933.90","38,904","1,11,213","23.76"
"ULTRACEMCO","EQ","17-Jan-2020","4,472.35","4,440.00","4,522.40","4,411.30","4,495.00","4,486.75","4,486.40","3,60,682","1,61,81,62,111.05","33,498","1,05,156","29.15"
"ULTRACEMCO","EQ","20-Jan-2020","4,486.75","4,500.00","4,509.45","4,452.00","4,466.00","4,467.65","4,474.41","2,04,026","91,28,95,515.30","17,123","64,906","31.81"
"ULTRACEMCO","EQ","21-Jan-2020","4,467.65","4,455.00","4,520.00","4,440.00","4,484.00","4,483.55","4,483.31","2,83,173","1,26,95,52,762.10","33,184","80,925","28.58"
"ULTRACEMCO","EQ","22-Jan-2020","4,483.55","4,505.00","4,540.00","4,463.00","4,477.00","4,476.95","4,504.61","3,59,444","1,61,91,55,186.65","23,405","68,288","19.00"
"ULTRACEMCO","EQ","23-Jan-2020","4,476.95","4,470.00","4,540.00","4,446.05","4,535.00","4,526.40","4,496.82","4,01,079","1,80,35,81,741.65","35,389","1,12,234","27.98"
"ULTRACEMCO","EQ","24-Jan-2020","4,526.40","4,554.00","4,679.70","4,452.65","4,643.00","4,642.75","4,574.62","21,27,667","9,73,32,73,468.35","1,31,929","2,06,600","9.71"
"ULTRACEMCO","EQ","27-Jan-2020","4,642.75","4,624.90","4,754.10","4,622.00","4,686.00","4,676.95","4,694.14","10,58,884","4,97,05,46,498.85","84,765","1,97,176","18.62"
"ULTRACEMCO","EQ","28-Jan-2020","4,676.95","4,670.00","4,715.80","4,584.50","4,626.05","4,609.05","4,638.34","7,11,517","3,30,02,54,424.95","48,737","3,56,312","50.08"
"ULTRACEMCO","EQ","29-Jan-2020","4,609.05","4,625.00","4,653.50","4,559.50","4,568.25","4,568.20","4,598.69","5,95,287","2,73,75,40,985.90","45,661","2,98,456","50.14"
"ULTRACEMCO","EQ","30-Jan-2020","4,568.20","4,569.00","4,588.50","4,464.15","4,480.00","4,486.00","4,511.85","4,22,335","1,90,55,11,579.55","38,631","1,93,102","45.72"
"ULTRACEMCO","EQ","31-Jan-2020","4,486.00","4,502.30","4,507.30","4,405.00","4,422.00","4,416.10","4,448.76","4,51,630","2,00,91,93,512.95","40,501","2,53,189","56.06"
"ULTRACEMCO","EQ","01-Feb-2020","4,416.10","4,422.00","4,538.90","4,194.70","4,247.00","4,265.25","4,402.30","7,35,487","3,23,78,33,951.15","43,727","2,03,080","27.61"
"ULTRACEMCO","EQ","03-Feb-2020","4,265.25","4,265.00","4,386.85","4,236.15","4,372.00","4,370.65","4,325.51","5,37,373","2,32,44,12,433.50","48,595","1,62,852","30.31"
"ULTRACEMCO","EQ","04-Feb-2020","4,370.65","4,394.95","4,498.85","4,379.05","4,475.00","4,474.25","4,464.67","3,87,466","1,72,99,06,210.75","36,447","1,21,553","31.37"
"ULTRACEMCO","EQ","05-Feb-2020","4,474.25","4,477.00","4,528.60","4,397.60","4,475.00","4,471.80","4,465.89","5,21,783","2,33,02,27,839.30","37,704","2,02,976","38.90"
"ULTRACEMCO","EQ","06-Feb-2020","4,471.80","4,480.00","4,519.05","4,442.00","4,453.65","4,464.90","4,473.33","3,85,744","1,72,55,60,532.25","39,005","1,93,324","50.12"
"ULTRACEMCO","EQ","07-Feb-2020","4,464.90","4,476.40","4,547.00","4,449.65","4,465.20","4,471.80","4,509.35","5,47,874","2,47,05,55,248.50","48,152","1,80,716","32.98"
"ULTRACEMCO","EQ","10-Feb-2020","4,471.80","4,487.00","4,492.60","4,390.75","4,413.80","4,413.75","4,426.23","2,71,700","1,20,26,06,938.90","30,543","99,835","36.74"
"ULTRACEMCO","EQ","11-Feb-2020","4,413.75","4,447.70","4,519.50","4,433.00","4,470.00","4,466.45","4,484.97","2,96,451","1,32,95,74,126.15","27,746","90,392","30.49"
"ULTRACEMCO","EQ","12-Feb-2020","4,466.45","4,492.70","4,492.70","4,439.95","4,447.00","4,453.75","4,463.92","3,23,821","1,44,55,12,323.60","16,938","1,82,634","56.40"
"ULTRACEMCO","EQ","13-Feb-2020","4,453.75","4,439.95","4,473.15","4,415.00","4,454.00","4,450.50","4,443.97","1,86,493","82,87,69,279.45","23,381","79,108","42.42"
"ULTRACEMCO","EQ","14-Feb-2020","4,450.50","4,469.00","4,538.95","4,393.05","4,437.65","4,434.35","4,473.78","6,65,316","2,97,64,75,592.55","80,870","2,24,239","33.70"
"ULTRACEMCO","EQ","17-Feb-2020","4,434.35","4,443.90","4,465.00","4,401.10","4,447.65","4,449.85","4,447.39","3,54,909","1,57,84,19,938.10","25,384","1,93,852","54.62"
"ULTRACEMCO","EQ","18-Feb-2020","4,449.85","4,433.60","4,488.20","4,370.10","4,470.70","4,475.70","4,427.69","5,10,062","2,25,83,94,830.35","32,489","2,44,366","47.91"
"ULTRACEMCO","EQ","19-Feb-2020","4,475.70","4,494.00","4,530.00","4,455.00","4,465.00","4,473.10","4,477.62","3,84,898","1,72,34,26,046.00","38,545","2,11,675","55.00"
"ULTRACEMCO","EQ","20-Feb-2020","4,473.10","4,450.00","4,508.00","4,420.00","4,430.00","4,428.10","4,464.51","4,14,088","1,84,87,00,429.65","31,796","2,05,082","49.53"
"ULTRACEMCO","EQ","24-Feb-2020","4,428.10","4,415.00","4,455.00","4,320.00","4,402.00","4,395.00","4,417.84","3,83,261","1,69,31,85,117.90","50,251","1,60,204","41.80"
"ULTRACEMCO","EQ","25-Feb-2020","4,395.00","4,397.50","4,400.00","4,330.75","4,346.05","4,344.00","4,356.41","4,02,233","1,75,22,91,439.65","48,059","2,11,066","52.47"
"ULTRACEMCO","EQ","26-Feb-2020","4,344.00","4,320.25","4,423.90","4,286.05","4,328.60","4,341.50","4,374.77","6,42,946","2,81,27,38,507.40","48,852","2,42,464","37.71"
"ULTRACEMCO","EQ","27-Feb-2020","4,341.50","4,332.55","4,365.05","4,275.35","4,331.05","4,321.65","4,319.84","3,69,157","1,59,46,97,796.30","48,512","1,08,433","29.37"
"ULTRACEMCO","EQ","28-Feb-2020","4,321.65","4,270.00","4,304.15","4,200.00","4,216.00","4,219.60","4,234.01","5,24,557","2,22,09,80,317.40","48,488","2,38,284","45.43"
