"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WIPRO","EQ","01-Jan-2015","555.20","552.55","554.40","550.50","552.25","552.40","552.70","2,02,978","11,21,85,873.50","4,196","74,801","36.85"
"WIPRO","EQ","02-Jan-2015","552.40","553.40","560.25","553.00","558.90","557.30","557.56","7,87,304","43,89,68,022.15","18,950","4,23,949","53.85"
"WIPRO","EQ","05-Jan-2015","557.30","557.05","565.00","555.50","558.55","558.30","559.97","7,19,738","40,30,30,862.50","20,731","3,97,047","55.17"
"WIPRO","EQ","06-Jan-2015","558.30","555.00","556.40","542.10","545.50","545.25","547.07","23,24,381","1,27,15,92,434.10","45,205","17,68,367","76.08"
"WIPRO","EQ","07-Jan-2015","545.25","543.20","545.00","538.35","541.50","541.10","541.38","15,57,297","84,30,90,242.70","30,061","9,75,461","62.64"
"WIPRO","EQ","08-Jan-2015","541.10","556.15","558.90","543.20","545.00","545.00","546.12","14,61,025","79,78,93,825.85","29,393","8,75,044","59.89"
"WIPRO","EQ","09-Jan-2015","545.00","549.20","560.00","543.25","552.50","553.50","552.34","25,47,585","1,40,71,20,685.00","43,372","15,58,408","61.17"
"WIPRO","EQ","12-Jan-2015","553.50","550.00","559.00","547.70","556.00","556.05","552.20","8,29,086","45,78,19,168.25","44,506","4,52,964","54.63"
"WIPRO","EQ","13-Jan-2015","556.05","557.10","566.70","555.00","565.70","563.50","560.70","11,83,627","66,36,60,916.80","37,389","6,88,840","58.20"
"WIPRO","EQ","14-Jan-2015","563.50","566.00","569.50","550.00","550.15","551.95","557.74","18,23,224","1,01,68,81,912.45","39,421","11,51,237","63.14"
"WIPRO","EQ","15-Jan-2015","551.95","560.00","564.00","551.25","561.90","559.50","560.35","13,11,267","73,47,64,331.05","25,715","8,85,591","67.54"
"WIPRO","EQ","16-Jan-2015","559.50","560.80","563.40","552.90","555.90","555.05","557.41","15,57,128","86,79,59,911.65","36,585","8,93,085","57.35"
"WIPRO","EQ","19-Jan-2015","555.05","591.10","598.50","582.35","584.45","584.20","589.31","60,62,665","3,57,27,85,176.20","94,050","26,58,246","43.85"
"WIPRO","EQ","20-Jan-2015","584.20","586.10","594.00","582.90","588.80","590.40","587.85","25,10,737","1,47,59,46,435.85","47,453","15,82,551","63.03"
"WIPRO","EQ","21-Jan-2015","590.40","589.60","595.00","576.65","592.00","588.70","587.35","33,19,015","1,94,94,36,934.10","74,636","21,64,285","65.21"
"WIPRO","EQ","22-Jan-2015","588.70","590.00","597.70","584.70","592.95","594.55","592.24","36,48,498","2,16,07,97,847.85","42,487","27,33,432","74.92"
"WIPRO","EQ","23-Jan-2015","594.55","599.20","604.00","590.25","599.75","601.80","598.46","36,14,595","2,16,31,82,479.70","74,035","23,38,219","64.69"
"WIPRO","EQ","27-Jan-2015","601.80","602.40","605.75","595.00","595.50","598.55","600.74","29,55,854","1,77,56,96,986.40","57,094","21,25,887","71.92"
"WIPRO","EQ","28-Jan-2015","598.55","596.00","612.00","595.75","611.55","607.25","602.19","31,44,370","1,89,34,99,112.80","38,112","25,05,356","79.68"
"WIPRO","EQ","29-Jan-2015","607.25","608.00","614.50","599.80","603.00","602.70","605.44","25,29,061","1,53,11,87,098.75","49,123","17,03,092","67.34"
"WIPRO","EQ","30-Jan-2015","602.70","606.90","610.05","597.15","606.30","606.55","603.74","17,61,224","1,06,33,28,634.15","50,109","11,14,486","63.28"
"WIPRO","EQ","02-Feb-2015","606.55","612.00","627.70","609.00","626.70","625.10","619.77","29,90,374","1,85,33,52,325.55","64,008","17,71,871","59.25"
"WIPRO","EQ","03-Feb-2015","625.10","624.00","628.05","617.75","620.30","621.55","622.08","15,87,289","98,74,19,957.55","45,717","8,78,576","55.35"
"WIPRO","EQ","04-Feb-2015","621.55","623.20","629.90","616.25","619.10","619.20","623.45","16,73,112","1,04,31,03,699.10","26,136","10,95,261","65.46"
"WIPRO","EQ","05-Feb-2015","619.20","620.95","643.10","620.90","639.00","638.25","635.48","22,99,427","1,46,12,31,892.15","50,772","11,25,676","48.95"
"WIPRO","EQ","06-Feb-2015","638.25","638.00","654.70","636.00","643.95","643.25","646.49","20,76,434","1,34,23,98,121.40","49,620","9,89,802","47.67"
"WIPRO","EQ","09-Feb-2015","643.25","639.90","650.00","635.60","648.05","647.80","643.21","12,73,983","81,94,44,571.35","32,607","7,20,873","56.58"
"WIPRO","EQ","10-Feb-2015","647.80","641.00","652.00","637.35","643.65","642.60","642.15","20,88,859","1,34,13,62,480.20","37,412","15,89,514","76.09"
"WIPRO","EQ","11-Feb-2015","642.60","646.00","649.00","633.15","640.90","638.40","637.41","26,56,220","1,69,31,04,521.80","45,373","20,96,762","78.94"
"WIPRO","EQ","12-Feb-2015","638.40","643.50","653.00","641.25","646.70","646.80","646.62","18,07,455","1,16,87,40,023.10","39,704","10,69,611","59.18"
"WIPRO","EQ","13-Feb-2015","646.80","648.00","663.90","646.80","660.80","660.70","657.85","17,32,344","1,13,96,19,226.85","33,086","9,16,216","52.89"
"WIPRO","EQ","16-Feb-2015","660.70","660.90","667.25","660.00","663.85","661.50","663.52","9,59,525","63,66,61,329.20","24,679","5,52,296","57.56"
"WIPRO","EQ","18-Feb-2015","661.50","662.00","671.00","655.50","668.70","669.00","662.23","11,33,545","75,06,65,696.90","28,222","5,94,808","52.47"
"WIPRO","EQ","19-Feb-2015","669.00","669.00","669.00","655.00","659.55","659.50","660.68","13,84,133","91,44,68,802.70","31,282","8,97,219","64.82"
"WIPRO","EQ","20-Feb-2015","659.50","659.50","661.00","647.50","650.05","650.00","651.08","9,09,333","59,20,47,738.80","19,827","5,35,873","58.93"
"WIPRO","EQ","23-Feb-2015","650.00","650.00","658.00","643.55","649.05","649.75","651.67","10,66,850","69,52,31,778.95","23,752","6,11,500","57.32"
"WIPRO","EQ","24-Feb-2015","649.75","652.50","659.80","649.60","652.95","653.00","653.33","15,81,301","1,03,31,06,800.90","29,443","7,49,770","47.41"
"WIPRO","EQ","25-Feb-2015","653.00","653.55","665.60","652.10","661.60","663.80","659.84","18,42,951","1,21,60,55,151.40","37,135","12,45,956","67.61"
"WIPRO","EQ","26-Feb-2015","663.80","663.80","668.90","651.40","658.95","657.90","658.22","19,64,702","1,29,32,00,106.90","32,397","13,51,682","68.80"
"WIPRO","EQ","27-Feb-2015","657.90","657.00","658.60","648.70","658.40","654.30","652.71","22,99,617","1,50,09,76,555.50","41,724","15,48,797","67.35"
"WIPRO","EQ","28-Feb-2015","654.30","656.80","663.50","652.00","659.30","659.20","657.60","8,70,141","57,22,06,006.80","10,132","4,82,678","55.47"
"WIPRO","EQ","02-Mar-2015","659.20","660.10","674.40","654.00","663.45","664.50","665.35","18,48,683","1,23,00,22,575.35","30,111","11,97,647","64.78"
