Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,263.8,269.9,244.5,252.05,7194677,1848177800.8,85631,"1,13,4597,43,0102,84,4221,55,696",251.35,257.23,ADANIENT,EQ
2014-01-13,253.35,254.9,232.85,235.3,6982820,1693490488.05,91383,"4,56,3874,04,6312,79,4961,48,7613,84,181",235.85,242.164,ADANIENT,EQ
2014-01-20,232.1,252.95,231.25,246.7,6810343,1660111665.3,88888,"3,13,4803,00,0501,32,8123,66,6872,37,795",248.5,244.286,ADANIENT,EQ
2014-01-27,249.35,262.5,236.3,237.05,8811069,2213689314.0,104807,"90,44076,95915,47,9993,28,8334,25,787",237.0,248.324,ADANIENT,EQ
2014-02-03,241.0,257.0,229.25,235.0,9837791,2372724433.75,122245,"1,58,8062,75,8162,76,1394,10,7191,95,224",234.0,241.26399999999998,ADANIENT,EQ
2014-02-10,232.75,236.5,220.6,221.7,8840200,2016368900.85,113529,"2,12,9311,81,7324,38,4647,81,6114,53,189",221.45,228.016,ADANIENT,EQ
2014-02-17,221.7,224.8,210.1,220.15,9037980,1980113165.25,82856,"2,67,70614,81,58311,67,0521,48,3991,54,662",220.95,218.64600000000002,ADANIENT,EQ
2014-02-24,220.25,254.7,220.25,249.65,19544699,4719049219.55,222724,"14,58,38614,06,1345,20,4583,74,4212,78,619",250.0,242.01799999999997,ADANIENT,EQ
2014-03-03,250.75,265.5,243.6,263.9,8129535,2062485364.75,102451,"1,95,9254,23,6223,52,2614,64,875",264.6,252.8275,ADANIENT,EQ
2014-03-10,266.0,322.9,263.55,316.75,16653897,4889551981.55,202527,"4,03,2142,33,7573,67,4315,98,5594,48,198",316.5,283.576,ADANIENT,EQ
2014-03-17,318.4,326.0,301.55,320.25,12397387,3915696469.25,160819,"3,89,4701,72,8523,65,8646,32,224",321.3,315.625,ADANIENT,EQ
