Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,154.55,159.4,147.5,150.85,6100791,939744806.75,50085,"5,00,35717,26,4037,10,9032,85,694",151.0,153.5125,ADANIPORTS,EQ
2014-01-13,150.85,153.2,142.2,143.75,5906977,874913947.35,77162,"6,25,6064,90,7107,82,9433,31,0117,08,379",145.1,148.30599999999998,ADANIPORTS,EQ
2014-01-20,143.0,152.5,142.0,150.95,6678767,994477776.05,83818,"8,60,0076,06,3687,20,2016,66,0068,03,454",150.6,149.228,ADANIPORTS,EQ
2014-01-27,151.0,151.45,141.25,143.95,10023270,1464539800.7,70589,"7,27,9222,50,16010,53,13637,29,6058,13,670",144.4,146.82,ADANIPORTS,EQ
2014-02-03,143.6,147.8,141.0,143.95,5773265,833055647.95,86608,"8,54,2437,35,6078,74,7904,06,3312,87,451",144.0,144.418,ADANIPORTS,EQ
2014-02-10,142.5,152.5,141.95,148.05,12302859,1814645746.8,62182,"4,21,77721,39,5874,24,34847,82,84017,45,515",147.5,147.046,ADANIPORTS,EQ
2014-02-17,149.9,152.0,143.35,151.2,5250631,774167972.05,82704,"17,46,2684,54,5385,07,3805,09,4772,70,663",152.0,147.16,ADANIPORTS,EQ
2014-02-24,152.0,170.7,151.45,164.5,12688354,2062373369.1,201239,"15,52,03314,05,33311,43,91911,95,59610,40,096",163.5,163.176,ADANIPORTS,EQ
2014-03-03,164.85,173.8,154.85,171.65,7863844,1292644665.65,103775,"8,87,7169,98,74716,37,5164,68,192",171.5,164.14,ADANIPORTS,EQ
2014-03-10,172.3,190.75,171.1,187.85,13874337,2506686440.4,144860,"13,52,37914,06,5587,22,86720,63,2189,59,469",187.8,180.074,ADANIPORTS,EQ
2014-03-17,188.1,188.5,175.2,183.2,5447967,1000491939.95,82392,"7,22,1254,97,4852,36,6579,01,012",184.1,183.55,ADANIPORTS,EQ
2014-03-24,183.5,189.95,174.6,178.5,8643848,1596631065.95,126811,"18,35,8667,34,9064,41,1528,17,25835,1197,27,113",178.1,183.545,ADANIPORTS,EQ
2014-03-31,179.0,192.8,177.0,187.45,14058529,2588790596.15,121706,"8,46,43812,03,60810,43,53027,03,87524,61,235",186.55,182.676,ADANIPORTS,EQ
2014-04-07,188.7,189.7,175.15,177.0,10449675,1900834215.3000002,196232,"5,65,0347,16,35511,94,40316,23,25012,21,108",176.55,182.506,ADANIPORTS,EQ
2014-04-14,178.8,204.4,176.9,193.65,27918176,5403291821.95,252724,"25,09,51744,57,86427,24,043",194.0,190.68999999999997,ADANIPORTS,EQ
2014-04-21,195.0,209.5,185.3,204.0,25934828,5134339520.2,258369,"21,86,59429,48,79116,20,54319,24,085",203.75,197.2575,ADANIPORTS,EQ
2014-04-28,205.6,213.05,189.4,192.15,23470811,4739489734.6,232818,"10,13,35225,53,23930,21,86530,00,872",192.3,201.88,ADANIPORTS,EQ
2014-05-05,193.7,196.5,174.6,186.05,19648879,3702975417.4,186462,"20,94,91520,73,17625,75,7449,86,606",186.0,188.44,ADANIPORTS,EQ
2014-05-12,187.3,209.5,185.05,204.6,25526480,5020228332.3,243966,"12,83,80715,24,17226,62,10828,33,03614,90,024",205.5,195.658,ADANIPORTS,EQ
2014-05-19,210.05,235.0,210.0,231.65,71166320,15942959142.75,602405,"85,09,66845,28,26839,89,58862,32,48436,44,377",230.9,224.454,ADANIPORTS,EQ
2014-05-26,233.95,244.7,211.1,223.25,27689603,6389726189.0,373716,"38,05,31624,92,78121,92,48817,15,05125,48,426",222.7,229.75799999999998,ADANIPORTS,EQ
2014-06-02,221.05,232.0,211.1,226.15,23099217,5115404271.849999,240585,"19,59,7508,77,04014,40,58763,74,8037,20,145",225.85,220.346,ADANIPORTS,EQ
2014-06-09,227.6,261.8,226.65,254.0,30028615,7361448551.5,340487,"19,48,26518,74,55925,53,28645,77,09019,45,616",253.5,245.01800000000003,ADANIPORTS,EQ
2014-06-16,255.7,255.7,219.65,228.1,23087707,5515261762.5,286157,"26,60,05029,48,8009,86,42818,25,74711,94,280",228.8,237.62399999999997,ADANIPORTS,EQ
2014-06-23,227.9,239.3,223.1,237.0,14520767,3379256011.85,217613,"13,71,7486,32,81610,10,35210,01,1488,41,282",237.0,232.756,ADANIPORTS,EQ
