Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,940.25,987.65,920.45,945.7,752403,722297121.7,42199,"1,00,81085,54532,36258,404",946.0,954.7775,APOLLOHOSP,EQ
2014-01-13,940.05,948.7,876.05,899.1,898464,816041928.2,66739,"73,67179,6401,70,06492,52465,958",896.6,910.8059999999999,APOLLOHOSP,EQ
2014-01-20,891.15,942.0,891.15,939.4,586322,539423400.05,33742,"16,41176,21198,95445,97345,014",940.0,919.594,APOLLOHOSP,EQ
2014-01-27,941.1,949.7,925.0,934.85,496598,465934492.5,37587,"1,01,33142,52637,93769,94669,171",936.0,937.8,APOLLOHOSP,EQ
2014-02-03,929.0,969.8,896.05,937.6,529690,492584602.15,44284,"79,82221,42935,32534,38172,026",938.0,924.808,APOLLOHOSP,EQ
2014-02-10,935.0,958.65,915.6,945.65,850172,800604597.55,39171,"49,86732,64657,27895,86264,988",945.6,938.15,APOLLOHOSP,EQ
2014-02-17,946.7,948.0,907.95,920.65,491923,457945568.75,49480,"72,40967,73883,53543,35650,618",917.0,929.984,APOLLOHOSP,EQ
2014-02-24,932.9,937.4,897.0,909.15,393689,361771112.05,38721,"44,81379,10260,29345,13218,763",908.0,916.86,APOLLOHOSP,EQ
2014-03-03,910.2,928.0,895.7,902.5,383173,350753734.15000004,35739,"18,34240,7771,56,94520,286",903.8,913.3975,APOLLOHOSP,EQ
2014-03-10,903.55,913.9,865.0,872.4,616777,552263366.3,71730,"52,7811,19,80076,12785,75593,450",873.0,895.742,APOLLOHOSP,EQ
2014-03-17,874.4,886.0,852.1,863.95,612019,529394595.05,49021,"93,66690,16070,2091,82,536",863.5,865.2525,APOLLOHOSP,EQ
2014-03-24,863.3,908.8,859.6,903.95,620017,549497442.55,60776,"74,43562,29118,33497,7337,10766,354",897.0,887.7116666666667,APOLLOHOSP,EQ
2014-03-31,896.0,925.0,877.1,916.45,683556,617744091.0,82568,"52,85759,0781,71,58989,75474,753",912.05,903.0719999999999,APOLLOHOSP,EQ
2014-04-07,918.0,924.0,885.0,893.6,684386,620310042.5,58531,"58,93156,1541,42,50572,78675,441",889.0,903.8700000000001,APOLLOHOSP,EQ
2014-04-14,901.3,905.0,880.3,896.45,549995,489699458.8,24545,"2,61,73256,93097,909",894.55,891.5266666666666,APOLLOHOSP,EQ
2014-04-21,895.0,900.0,870.85,891.75,265496,236102565.45,25708,"29,47754,53849,87034,725",890.0,889.6775,APOLLOHOSP,EQ
2014-04-28,893.05,919.5,878.1,909.95,1063982,956517877.9499999,62277,"1,29,5591,21,8471,34,3333,31,910",908.65,895.2125,APOLLOHOSP,EQ
2014-05-05,911.05,978.7,891.0,955.35,1322034,1229393762.95,58174,"1,10,9132,42,10176,1542,13,749",956.0,916.2775,APOLLOHOSP,EQ
2014-05-12,960.0,964.3,920.0,950.1,578634,546362448.55,47765,"43,90959,28224,42435,2041,52,078",954.0,940.564,APOLLOHOSP,EQ
