Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,494.4,505.1,480.0,490.65,4646835,2300627490.1,107236,"10,35,9294,78,0725,82,8234,93,601",489.15,493.715,ASIANPAINT,EQ
2014-01-13,491.0,499.4,484.0,494.05,3756276,1847431213.3,138503,"5,35,2505,13,1405,07,4073,04,7167,92,236",494.0,491.53599999999994,ASIANPAINT,EQ
2014-01-20,492.0,500.0,483.75,490.0,4008523,1971239429.0,84069,"2,93,4483,80,6944,74,8094,55,3136,87,212",489.2,492.146,ASIANPAINT,EQ
2014-01-27,478.0,482.9,465.0,476.4,7476878,3539173018.8,174326,"7,59,96520,82,0496,17,9377,17,2596,24,365",477.0,473.762,ASIANPAINT,EQ
2014-02-03,475.25,484.75,463.95,469.9,7197588,3410119708.5,126718,"6,70,4917,63,51022,44,23612,37,8763,85,545",469.9,474.816,ASIANPAINT,EQ
2014-02-10,465.05,495.0,464.05,487.0,6007761,2899090321.95,87518,"7,63,8559,15,6576,77,8583,38,87919,33,386",487.2,481.88800000000003,ASIANPAINT,EQ
2014-02-17,489.1,489.25,466.65,473.25,2832018,1355225100.5,83639,"8,88,0134,50,0061,35,4261,45,9031,63,757",472.3,475.95799999999997,ASIANPAINT,EQ
2014-02-24,473.5,477.0,460.2,470.8,2257480,1054187817.6,74390,"1,04,0431,54,2053,78,3903,35,5751,26,071",471.3,467.86800000000005,ASIANPAINT,EQ
2014-03-03,471.5,482.5,468.5,472.95,2515681,1192577385.55,73656,"6,51,8403,85,0534,10,9852,37,672",471.8,474.1,ASIANPAINT,EQ
2014-03-10,471.55,490.0,471.55,484.85,3799455,1819766737.05,104275,"7,92,0942,44,0113,26,4225,63,9496,46,291",484.45,478.07399999999996,ASIANPAINT,EQ
2014-03-17,487.6,504.2,478.55,495.5,2926751,1441844525.15,83353,"2,84,2003,98,1113,65,5484,76,362",494.55,492.185,ASIANPAINT,EQ
2014-03-24,496.5,525.0,494.2,523.9,4722929,2418111741.45,136969,"2,87,9205,66,4829,16,0976,63,95911,8175,44,285",524.0,510.4533333333334,ASIANPAINT,EQ
2014-03-31,524.5,550.0,522.0,547.95,3851687,2064613167.3000002,101953,"3,30,4393,95,0329,50,6183,10,8181,99,700",547.1,535.464,ASIANPAINT,EQ
2014-04-07,547.75,547.75,521.0,539.55,4670115,2482492662.45,112452,"3,27,0949,61,4043,24,3653,45,2724,63,004",539.9,532.0899999999999,ASIANPAINT,EQ
2014-04-14,542.35,550.0,535.4,543.7,1875457,1020232204.55,62408,"2,31,6174,70,3082,09,880",543.0,543.7833333333333,ASIANPAINT,EQ
2014-04-21,544.0,547.0,530.85,539.2,3102380,1665485563.75,74348,"2,31,3375,67,0884,01,7489,48,473",541.0,536.6899999999999,ASIANPAINT,EQ
2014-04-28,540.2,542.0,498.55,500.55,3218616,1668357194.55,86333,"2,25,6566,53,6862,68,92410,24,906",500.0,523.2925,ASIANPAINT,EQ
2014-05-05,502.0,519.75,494.7,518.6,2543058,1292326784.6,64155,"5,60,2563,30,9322,52,2252,62,897",518.0,509.34749999999997,ASIANPAINT,EQ
2014-05-12,521.0,540.0,503.0,538.2,2712215,1404082242.1,67899,"1,32,2433,30,9942,67,2272,45,8273,38,373",538.0,515.804,ASIANPAINT,EQ
2014-05-19,539.3,563.9,522.5,527.45,7186758,3876928055.7,152955,"2,64,8554,45,5039,17,89911,14,3575,11,397",525.9,539.552,ASIANPAINT,EQ
