Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1301.5,1325.0,1241.6,1256.3,7404334,9432540132.05,229950,"81,3917,77,05810,30,5669,43,112",1257.0,1275.8825,AXISBANK,EQ
2014-01-13,1257.5,1265.8,1158.9,1184.9,16580798,19831873384.75,558653,"13,05,61912,65,80131,82,59820,67,1066,58,717",1194.9,1197.46,AXISBANK,EQ
2014-01-20,1185.0,1197.5,1132.3,1163.2,14818255,17354018087.1,471350,"14,16,16013,29,08812,63,19322,67,7826,51,939",1160.55,1170.068,AXISBANK,EQ
2014-01-27,1164.9,1228.8,1155.0,1161.1,12558124,14963185516.35,489738,"8,56,2819,30,27114,78,9849,93,3109,20,622",1156.95,1189.544,AXISBANK,EQ
2014-02-03,1157.0,1179.0,1105.0,1123.9,9541772,10770386128.75,327618,"7,00,1818,50,39812,05,0752,62,6914,77,010",1124.0,1127.3380000000002,AXISBANK,EQ
2014-02-10,1106.75,1139.4,1098.55,1118.95,7367247,8233288133.45,260497,"4,96,4524,38,5047,27,2563,89,5002,41,207",1120.0,1118.962,AXISBANK,EQ
2014-02-17,1123.35,1133.0,1082.6,1115.25,6115060,6809611998.900001,258235,"3,53,8587,36,5595,74,4916,53,3802,03,176",1116.6,1114.8600000000001,AXISBANK,EQ
2014-02-24,1115.0,1244.9,1108.55,1238.2,9917560,11701765026.45,366325,"6,40,9704,76,2459,15,8687,46,0059,54,999",1236.5,1177.026,AXISBANK,EQ
2014-03-03,1241.0,1285.7,1225.15,1255.5,7581794,9477711662.9,283402,"5,07,8488,63,1697,96,1696,76,408",1253.6,1250.0,AXISBANK,EQ
2014-03-10,1255.0,1441.8,1255.0,1426.55,15119786,20541230016.05,512533,"8,33,43211,25,8968,66,81521,03,59514,25,431",1429.5,1346.2440000000001,AXISBANK,EQ
2014-03-17,1426.0,1453.0,1331.0,1354.9,10964606,15357198086.1,348150,"16,98,0758,07,2479,06,14213,59,503",1348.85,1397.525,AXISBANK,EQ
2014-03-24,1365.0,1425.0,1322.1,1410.7,24951551,34309944493.100002,619273,"7,99,79919,80,4879,63,77536,83,95725,97612,95,498",1409.3,1379.7716666666668,AXISBANK,EQ
2014-03-31,1411.4,1475.0,1396.15,1460.5,12944320,18607548771.7,453075,"7,18,47815,84,61823,66,0049,36,0819,61,828",1460.0,1436.5,AXISBANK,EQ
2014-04-07,1470.0,1478.9,1410.1,1422.05,7440244,10769881973.85,218416,"9,33,3042,98,9403,48,5676,34,2962,75,527",1418.0,1444.55,AXISBANK,EQ
2014-04-14,1428.5,1517.6,1421.15,1495.75,4828569,7170902569.55,131085,"4,89,7087,34,5853,36,616",1494.0,1484.9533333333331,AXISBANK,EQ
2014-04-21,1494.0,1510.0,1427.0,1503.8,4168719,6119679327.95,122687,"2,37,3821,50,5643,88,5833,94,161",1505.55,1466.9075,AXISBANK,EQ
2014-04-28,1506.0,1554.8,1488.1,1529.55,6859588,10456086152.55,187511,"2,00,1325,16,4866,36,5614,96,541",1535.0,1521.3325,AXISBANK,EQ
2014-05-05,1536.0,1564.9,1497.15,1551.55,4882623,7495101351.05,154300,"2,62,7332,96,1892,30,8803,40,398",1553.0,1534.065,AXISBANK,EQ
2014-05-12,1555.0,1691.75,1516.7,1646.55,7792598,12397673350.45,253661,"4,08,6512,78,5654,61,3855,57,0934,54,271",1644.0,1580.56,AXISBANK,EQ
2014-05-19,1675.0,1899.4,1630.35,1859.6,10953295,18986924050.75,306337,"4,43,1464,57,9643,97,8479,73,5469,02,760",1861.0,1713.498,AXISBANK,EQ
2014-05-26,1870.0,1928.8,1805.1,1872.95,6113279,11391306086.6,203604,"2,07,4992,31,4111,53,0824,66,5424,29,095",1870.0,1858.238,AXISBANK,EQ
2014-06-02,1859.1,1907.0,1822.55,1900.85,6203257,11538675489.699999,186382,"2,20,2704,45,4387,69,5071,95,8482,90,180",1901.35,1856.81,AXISBANK,EQ
2014-06-09,1909.9,1989.6,1881.1,1967.25,4704608,9109470037.3,156759,"2,11,1451,40,1613,60,7991,27,0522,29,159",1966.0,1939.434,AXISBANK,EQ
2014-06-16,1968.0,1969.35,1750.0,1773.1,5282118,9896748236.25,184040,"2,77,2282,61,8451,87,0523,40,2513,45,480",1771.9,1885.2720000000002,AXISBANK,EQ
2014-06-23,1770.0,1889.95,1760.55,1882.95,6801948,12563677546.6,231985,"3,58,8095,68,8212,75,0952,47,3863,39,389",1885.3,1849.4779999999998,AXISBANK,EQ
2014-06-30,1881.0,1950.0,1881.0,1918.85,4977627,9560752969.65,150096,"2,65,0392,44,7344,44,2262,08,4533,33,750",1917.2,1920.396,AXISBANK,EQ
2014-07-07,1928.0,1948.0,1912.9,1923.0,4011959,7743713419.65,124052,"3,40,5933,75,7023,45,1012,39,3732,26,185",1915.05,1930.0260000000003,AXISBANK,EQ
2014-07-14,1923.8,1938.6,1807.3,1846.6,5548423,10388520659.9,196651,"2,77,2364,46,1555,52,8852,84,6661,55,404",1845.2,1869.664,AXISBANK,EQ
2014-07-21,1854.85,2038.0,1852.0,2023.35,5108431,10016921714.3,173262,"1,26,5213,16,2711,56,5342,24,7642,61,492",2017.35,1954.1919999999998,AXISBANK,EQ
2014-07-28,2034.4,2043.05,393.6,395.35,10504021,11695647550.1,236086,"1,77,4543,12,5803,40,0013,10,77221,14,320",396.2,1682.56,AXISBANK,EQ
2014-08-04,399.9,403.7,384.9,390.85,17590517,6932331971.0,202692,"15,94,44724,91,74014,51,41410,83,255",391.2,393.8925,AXISBANK,EQ
2014-08-11,392.5,395.5,369.05,376.75,17851056,6826741547.65,245169,"13,35,68811,96,08610,20,10113,90,1056,35,330",376.65,381.76599999999996,AXISBANK,EQ
2014-08-18,377.0,396.5,371.0,394.7,13596398,5189146583.950001,193176,"8,59,1077,18,9467,61,87322,83,716",395.85,379.7975,AXISBANK,EQ
2014-08-25,397.3,407.35,392.35,398.75,18027875,7211070762.45,260477,"14,83,7699,89,66810,82,10813,60,55810,52,489",399.95,399.79,AXISBANK,EQ
2014-09-01,391.0,406.9,390.0,405.4,12429010,4957577790.25,167511,"10,09,3567,10,27810,38,18913,93,987",406.0,398.7525,AXISBANK,EQ
2014-09-08,407.0,423.45,406.3,420.75,17199702,7111452035.15,236351,"13,16,00912,84,0599,50,96912,06,83510,03,025",419.7,413.88,AXISBANK,EQ
