Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1915.0,1928.75,1870.0,1888.3,879989,1669929781.9,52613,"20,6631,62,9321,28,4821,64,181",1888.0,1900.415,BAJAJ-AUTO,EQ
2014-01-13,1880.0,1923.0,1865.0,1895.8,1818720,3455192773.15,103792,"1,77,4574,44,7292,04,1423,08,6131,92,563",1890.0,1898.7900000000002,BAJAJ-AUTO,EQ
2014-01-20,1888.0,1951.8,1864.95,1931.5,2041225,3898326215.8,122709,"1,70,5481,79,5533,84,0193,79,8901,40,739",1928.0,1909.146,BAJAJ-AUTO,EQ
2014-01-27,1935.0,1953.0,1890.75,1912.8,2193796,4226474786.8,76965,"99,3971,66,5366,79,1305,11,3633,98,692",1920.0,1929.03,BAJAJ-AUTO,EQ
2014-02-03,1906.8,1968.0,1817.25,1830.8,1600694,3055488094.85,81318,"2,69,05195,2774,05,0612,65,6271,19,910",1829.2,1908.4599999999998,BAJAJ-AUTO,EQ
2014-02-10,1820.0,1941.6,1793.2,1935.35,1153223,2176584782.35,73042,"1,86,5731,07,5601,14,5412,40,25864,099",1935.0,1891.8220000000001,BAJAJ-AUTO,EQ
2014-02-17,1941.95,1959.45,1810.0,1845.35,1424845,2675476892.45,100247,"1,46,6201,57,61049,5862,32,8511,36,386",1848.0,1891.578,BAJAJ-AUTO,EQ
2014-02-24,1850.0,1877.9,1815.0,1861.8,1037637,1917519842.85,87802,"1,19,7111,05,9841,29,1631,04,68872,422",1857.75,1849.598,BAJAJ-AUTO,EQ
2014-03-03,1861.8,1957.95,1855.05,1917.05,1213211,2327670392.75,112981,"1,25,2852,66,4752,49,8131,61,916",1918.95,1916.355,BAJAJ-AUTO,EQ
2014-03-10,1914.0,2015.0,1885.05,2005.0,1337797,2616430205.55,112668,"1,31,55770,9481,01,8362,33,2341,72,588",2010.1,1945.416,BAJAJ-AUTO,EQ
2014-03-17,2010.0,2038.2,1953.75,1974.3,1099540,2180352279.05,60940,"1,56,8761,77,32078,4481,17,582",1973.15,1981.2075,BAJAJ-AUTO,EQ
2014-03-24,1990.0,2024.7,1968.1,2021.45,1138793,2272072772.65,88464,"1,24,6252,55,49375,7212,22,3751,29091,562",2023.0,1993.2250000000001,BAJAJ-AUTO,EQ
2014-03-31,2014.0,2100.0,2000.8,2083.6,1602837,3302014776.5,112147,"1,52,5591,53,9993,68,4632,48,1581,75,049",2074.2,2056.708,BAJAJ-AUTO,EQ
2014-04-07,2083.6,2084.0,2006.55,2022.6,1264836,2584331141.45,93560,"66,1301,07,0413,06,1142,20,0271,28,740",2027.1,2045.4739999999997,BAJAJ-AUTO,EQ
2014-04-14,2045.0,2054.0,1990.65,2007.55,775863,1563556944.0,60302,"1,59,1311,46,2791,91,283",2000.0,2015.4533333333331,BAJAJ-AUTO,EQ
2014-04-21,2009.7,2035.9,1954.4,2014.15,748206,1500436297.15,56040,"1,32,6641,28,77797,7631,01,055",2012.0,2006.8725,BAJAJ-AUTO,EQ
2014-04-28,2020.0,2030.0,1977.95,1985.0,1303705,2602900583.05,66790,"1,12,7822,19,3813,29,5663,09,673",1984.05,1998.2175,BAJAJ-AUTO,EQ
2014-05-05,1986.25,1989.9,1900.0,1918.85,1095463,2110678230.5,70301,"2,72,3431,69,3111,05,5332,11,536",1914.3,1923.345,BAJAJ-AUTO,EQ
2014-05-12,1919.95,1959.0,1861.0,1948.15,1404929,2685558720.95,60009,"2,13,73691,7151,20,8792,51,0633,42,293",1951.0,1901.8759999999997,BAJAJ-AUTO,EQ
2014-05-19,1960.0,2094.7,1870.0,1878.35,2489222,4918262658.849999,170830,"2,60,1821,01,4152,15,8674,82,9623,34,404",1876.0,1978.95,BAJAJ-AUTO,EQ
2014-05-26,1893.0,2028.7,1840.1,1961.2,1881649,3646792299.45,121102,"3,49,4142,41,9231,65,61893,10693,697",1954.0,1953.694,BAJAJ-AUTO,EQ
2014-06-02,1968.9,1990.05,1912.7,1974.4,1260576,2459983674.15,89646,"58,4742,42,6512,35,9092,13,1921,16,682",1975.05,1954.7720000000002,BAJAJ-AUTO,EQ
2014-06-09,1976.0,2177.5,1960.35,2161.75,1589273,3254216689.4,107724,"67,6581,30,8081,36,0642,11,3212,31,580",2162.3,2026.9699999999998,BAJAJ-AUTO,EQ
2014-06-16,2179.5,2228.0,2120.35,2169.75,2128295,4624358422.75,130617,"3,20,4862,67,6141,13,5251,87,2313,78,718",2163.25,2173.522,BAJAJ-AUTO,EQ
2014-06-23,2170.0,2203.5,2134.2,2191.1,1454722,3153007926.8,127723,"1,93,5251,60,1381,54,8031,79,9411,95,916",2201.0,2166.942,BAJAJ-AUTO,EQ
2014-06-30,2213.8,2328.8,2200.55,2316.2,1730858,3956904330.7,107549,"1,09,2161,91,3122,06,9913,60,0992,21,650",2295.0,2280.994,BAJAJ-AUTO,EQ
2014-07-07,2314.95,2364.85,2280.0,2302.7,1249069,2894488021.25,70102,"93,9081,85,8641,57,0681,19,8871,86,147",2305.0,2316.144,BAJAJ-AUTO,EQ
2014-07-14,2310.0,2324.6,2102.7,2127.55,1593036,3514224907.4,131424,"4,42,3292,34,9561,22,94389,6701,86,910",2127.0,2181.3720000000003,BAJAJ-AUTO,EQ
2014-07-21,2130.5,2169.0,2051.5,2070.7,2856885,6002964670.75,131880,"2,17,7224,12,1945,83,1293,95,2983,07,461",2065.55,2105.844,BAJAJ-AUTO,EQ
2014-07-28,2075.0,2122.9,2063.65,2084.05,1546898,3228452014.75,93896,"3,27,7112,37,8971,05,5561,85,6791,56,313",2084.0,2088.8900000000003,BAJAJ-AUTO,EQ
2014-08-04,2074.1,2107.25,2041.5,2088.1,2707533,5613912490.1,96879,"4,86,9396,97,3844,70,0104,84,590",2096.6,2073.14,BAJAJ-AUTO,EQ
2014-08-11,2095.0,2178.0,2095.0,2129.3,1835819,3920763856.7,91554,"2,89,4643,56,4882,25,8931,00,9781,91,409",2129.0,2132.398,BAJAJ-AUTO,EQ
2014-08-18,2142.95,2165.0,2109.75,2134.5,1539523,3286337664.9,92961,"3,46,7162,78,9271,81,8512,81,547",2137.05,2134.8875,BAJAJ-AUTO,EQ
2014-08-25,2140.5,2278.6,2137.0,2251.6,1782617,3966033128.05,104830,"1,60,5571,13,2264,62,83388,40896,211",2247.7,2225.338,BAJAJ-AUTO,EQ
2014-09-01,2245.9,2304.6,2224.4,2260.55,1557598,3536160575.3500004,90589,"69,7852,54,7564,04,1952,85,603",2260.0,2269.1825,BAJAJ-AUTO,EQ
2014-09-08,2265.95,2382.95,2207.95,2359.3,2114815,4842896147.6,124181,"3,58,8162,37,7541,69,5081,75,5711,26,855",2347.0,2294.332,BAJAJ-AUTO,EQ
2014-09-15,2368.75,2374.65,2315.2,2332.55,812325,1901555271.0500002,54809,"97,92779,68134,74288,69764,907",2334.0,2340.532,BAJAJ-AUTO,EQ
2014-09-22,2325.2,2440.0,2293.4,2412.55,1092218,2592056096.6,65951,"59,39190,2991,13,5991,24,62252,099",2413.0,2368.136,BAJAJ-AUTO,EQ
2014-09-29,2403.8,2457.0,2298.35,2305.05,890759,2105405462.95,57982,"67,4821,11,3891,04,24762,79567,881",2306.0,2361.108,BAJAJ-AUTO,EQ
2014-10-06,2311.0,2371.35,2296.0,2336.1,446387,1046923316.65,24725,"1,73,66244,632",2332.8,2346.975,BAJAJ-AUTO,EQ
2014-10-13,2314.0,2380.75,2311.05,2348.8,651514,1529607427.2,54683,"81,17362,77852,80560,01829,187",2350.6,2347.968,BAJAJ-AUTO,EQ
2014-10-20,2389.0,2440.9,2347.55,2412.6,1572438,3762577184.3,93215,"1,30,4512,08,8752,23,02795,901",2406.5,2394.8450000000003,BAJAJ-AUTO,EQ
2014-10-27,2420.0,2544.95,2395.05,2517.45,778797,1924665538.45,59704,"1,09,1222,25,37912,99063,620",2515.0,2482.575,BAJAJ-AUTO,EQ
2014-11-03,2520.0,2628.25,2470.45,2574.25,1100383,2813231981.9,74790,"78,4281,23,8771,37,9331,29,9721,51,601",2570.0,2550.552,BAJAJ-AUTO,EQ
2014-11-10,2594.0,2624.75,2520.6,2543.4,699073,1794574632.1999998,64504,"2,29,3401,40,29348,236",2539.5,2559.13,BAJAJ-AUTO,EQ
2014-11-17,2541.1,2678.2,2536.7,2657.65,1700654,4467900081.25,58794,"77,38583,6154,33,7883,28,8553,46,919",2665.0,2614.468,BAJAJ-AUTO,EQ
2014-11-24,2660.0,2695.0,2635.1,2675.1,2386709,6366930658.95,54869,"3,58,7158,01,1792,56,0904,01,2001,80,728",2675.0,2666.15,BAJAJ-AUTO,EQ
2014-12-01,2670.2,2680.3,2570.15,2636.3,1648638,4327055424.7,75567,"1,14,3963,76,3452,00,8992,81,7201,03,500",2630.3,2630.036,BAJAJ-AUTO,EQ
2014-12-08,2586.0,2637.95,2555.7,2614.65,1342022,3494413205.3,65405,"2,49,4192,28,4711,97,37959,9142,02,145",2605.1,2606.7560000000003,BAJAJ-AUTO,EQ
2014-12-15,2600.0,2641.2,2498.05,2517.9,1674265,4314940903.4,87514,"4,19,1124,21,3491,10,2841,43,7961,01,338",2522.0,2563.934,BAJAJ-AUTO,EQ
2014-12-22,2496.0,2536.8,2444.85,2477.3,1352434,3363347339.1,86467,"1,17,3681,77,9161,79,7871,95,1931,26,393",2481.0,2487.422,BAJAJ-AUTO,EQ
2014-12-29,2475.0,2539.0,2460.1,2484.8,758836,1890041000.0,38586,"69,8872,90,16532,00748,176",2483.2,2490.435,BAJAJ-AUTO,EQ
2015-01-05,2490.0,2490.65,2414.5,2460.7,649195,1590591932.35,45861,"41,02697,65211,27558,41139,888",2459.0,2452.736,BAJAJ-AUTO,EQ
2015-01-12,2454.3,2475.6,2323.1,2334.0,5520031,13484834987.750002,91495,"4,75,2831,11,37241,54,4921,04,67190,601",2336.1,2416.6699999999996,BAJAJ-AUTO,EQ
2015-01-19,2340.0,2442.0,2313.8,2403.9,1744790,4180606407.0499997,92406,"75,7301,02,5901,75,5731,43,0562,93,464",2404.95,2384.2940000000003,BAJAJ-AUTO,EQ
2015-01-26,2407.0,2491.25,2375.25,2441.5,1504418,3673660732.5,70684,"93,04392,3856,13,4812,20,716",2437.8,2433.165,BAJAJ-AUTO,EQ
2015-02-02,2428.2,2439.95,2325.0,2349.3,2568906,6141991078.9,155151,"3,37,4257,88,6872,99,2901,69,5312,71,047",2348.0,2388.394,BAJAJ-AUTO,EQ
2015-02-09,2350.05,2368.0,2020.9,2269.15,1970314,4443471148.95,142928,"4,95,1662,69,5701,79,3081,31,5161,59,592",2259.05,2249.516,BAJAJ-AUTO,EQ
2015-02-16,2241.1,2314.9,2238.0,2261.85,2716089,6154966065.45,88111,"1,47,6061,26,1124,84,2654,41,8269,72,502",2261.4,2267.582,BAJAJ-AUTO,EQ
2015-02-23,2263.2,2264.0,2171.05,2181.15,2177986,4822796573.2,85673,"2,39,3808,15,0333,40,6073,30,350",2188.0,2215.82,BAJAJ-AUTO,EQ
2015-03-02,2182.0,2209.35,2053.0,2074.25,2798687,5992638006.15,139027,"1,79,0883,18,2505,96,6972,63,81745,6354,06,271",2078.0,2151.53,BAJAJ-AUTO,EQ
