Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,744.0,767.0,715.0,731.7,220849,165713400.75,11749,"32,05426,30411,87112,626",734.0,740.535,BAJAJFINSV,EQ
2014-01-13,739.8,744.0,716.0,719.55,100280,73446807.8,5704,"13,89222,0309,76412,27812,668",718.1,731.9399999999999,BAJAJFINSV,EQ
2014-01-20,712.05,734.8,678.0,684.25,159866,114395531.45,10696,"8,47813,58313,88016,46612,060",683.0,710.618,BAJAJFINSV,EQ
2014-01-27,678.05,709.0,661.05,677.2,108171,74116795.25,7006,"14,33224,0516,70710,54414,555",680.0,685.206,BAJAJFINSV,EQ
2014-02-03,671.1,688.6,662.0,664.5,67360,45679476.45,5981,"6,70611,52911,3314,03516,904",666.95,678.85,BAJAJFINSV,EQ
2014-02-10,661.2,698.0,658.35,680.7,98367,67251809.35000001,7081,"10,50631,19513,20210,1673,679",681.0,683.832,BAJAJFINSV,EQ
2014-02-17,684.0,708.8,678.0,691.25,117294,80642740.75,5386,"7,71125,03221,05711,3808,699",690.15,685.99,BAJAJFINSV,EQ
2014-02-24,695.0,719.95,679.5,711.1,145865,102398112.95,7069,"15,88012,61712,10628,48915,144",711.9,702.514,BAJAJFINSV,EQ
2014-03-03,718.95,731.0,708.1,715.3,100706,72525229.85,5250,"19,68712,0799,80011,921",717.0,719.255,BAJAJFINSV,EQ
2014-03-10,714.0,734.4,712.0,725.65,176868,127894608.14999999,6589,"16,89259,35628,21914,6009,364",727.9,723.602,BAJAJFINSV,EQ
2014-03-17,725.0,735.0,694.25,698.8,101779,72237355.8,5552,"13,8697,6584,62839,743",700.0,712.9525,BAJAJFINSV,EQ
2014-03-24,698.8,726.0,697.0,715.2,157134,111403183.0,10296,"10,90011,55565,71720,4563,83117,752",715.0,711.7633333333333,BAJAJFINSV,EQ
2014-03-31,710.3,795.0,710.3,788.05,230616,173795546.8,15175,"16,32819,46731,06337,08833,779",786.1,745.016,BAJAJFINSV,EQ
2014-04-07,794.45,809.7,749.95,770.5,214653,167935411.45,10429,"35,45340,03743,85912,4047,437",775.7,781.15,BAJAJFINSV,EQ
2014-04-14,770.0,800.0,770.0,780.0,80323,62785876.75,5109,"17,66627,95911,019",777.9,782.0166666666668,BAJAJFINSV,EQ
2014-04-21,777.0,796.8,764.0,793.05,103558,80792835.05,4129,"12,15434,35513,91224,128",795.0,779.5725,BAJAJFINSV,EQ
2014-04-28,797.5,836.7,780.6,831.05,155920,127144754.9,7164,"15,04312,81228,31434,035",832.0,807.8425,BAJAJFINSV,EQ
2014-05-05,825.05,837.95,800.25,811.2,91801,75559975.35000001,5805,"22,49621,96912,10913,516",812.0,820.6775,BAJAJFINSV,EQ
2014-05-12,805.0,848.75,790.5,839.45,1012492,835899274.15,11262,"22,4341,63,0924,40,96717,1483,07,174",838.4,823.5959999999999,BAJAJFINSV,EQ
2014-05-19,832.5,880.0,788.85,873.8,629199,520474350.05,13348,"36,1051,87,9541,47,1681,53,92336,769",877.5,833.744,BAJAJFINSV,EQ
2014-05-26,884.7,909.9,860.0,891.1,591565,525800481.35,19654,"19,84545,1353,39,81767,31836,788",894.0,885.934,BAJAJFINSV,EQ
2014-06-02,875.25,938.0,837.05,879.0,260009,230561764.95000002,16223,"43,10936,11414,30414,97546,881",878.55,886.936,BAJAJFINSV,EQ
2014-06-09,884.0,960.0,861.0,922.0,635259,582377403.1,26556,"1,09,3931,72,6271,00,19653,18818,559",917.9,921.3,BAJAJFINSV,EQ
2014-06-16,922.0,945.0,881.2,917.8,250506,229453746.15,16993,"19,15514,68629,09981,76745,702",917.9,917.418,BAJAJFINSV,EQ
2014-06-23,919.0,952.85,909.0,929.85,194449,181040106.5,14672,"14,15718,94846,43928,86812,188",930.0,930.5440000000001,BAJAJFINSV,EQ
2014-06-30,925.25,944.55,900.1,934.75,138507,128086555.25,10421,"14,66014,43920,96611,91632,936",934.8,924.774,BAJAJFINSV,EQ
2014-07-07,934.75,975.0,931.0,958.0,258890,247670328.4,14177,"40,07229,24853,0939,52313,798",966.0,954.9399999999999,BAJAJFINSV,EQ
2014-07-14,975.0,975.0,917.7,928.0,137612,129834489.9,13732,"18,33614,81725,85411,67412,955",928.0,941.492,BAJAJFINSV,EQ
2014-07-21,930.05,988.0,920.1,950.65,406842,389843450.40000004,22095,"11,76070,93965,49352,71921,752",950.05,953.2120000000001,BAJAJFINSV,EQ
2014-07-28,947.15,961.1,912.0,935.0,412149,383796082.5,18030,"14,1361,72,00555,87722,70123,528",930.05,933.4440000000001,BAJAJFINSV,EQ
2014-08-04,927.05,963.9,923.0,950.7,136346,128688822.2,10525,"30,61813,35225,5597,557",945.05,945.37,BAJAJFINSV,EQ
2014-08-11,948.0,965.0,912.65,928.95,289891,270335185.8,7744,"20,34620,90431,4851,13,39369,406",929.8,940.8960000000001,BAJAJFINSV,EQ
2014-08-18,931.05,948.0,916.25,933.0,244737,226613026.95,4856,"16,36726,5591,47,97225,459",930.15,927.56,BAJAJFINSV,EQ
2014-08-25,930.25,975.0,921.05,972.75,238490,226584519.8,16169,"20,33118,68151,63447,06227,962",971.25,946.3700000000001,BAJAJFINSV,EQ
2014-09-01,966.05,1075.8,966.05,1067.5,365321,377482785.45,20299,"47,33058,33017,31319,150",1066.0,1040.1775,BAJAJFINSV,EQ
2014-09-08,1073.0,1139.7,1069.65,1102.0,736707,801857686.3,14401,"5,71,72315,55118,28114,17817,550",1100.0,1101.386,BAJAJFINSV,EQ
2014-09-15,1101.25,1111.9,1066.6,1074.85,108642,118423516.80000001,12664,"6,35512,50928,0879,42511,919",1072.0,1088.3719999999998,BAJAJFINSV,EQ
2014-09-22,1068.25,1096.0,1021.1,1059.2,170093,181422625.25,20925,"15,13017,37913,49829,41042,734",1052.3,1065.348,BAJAJFINSV,EQ
2014-09-29,1056.0,1095.95,1032.5,1088.95,139208,147746625.95000002,12491,"29,7288,28528,50119,79810,325",1095.7,1062.622,BAJAJFINSV,EQ
2014-10-06,1080.25,1164.85,1080.25,1125.95,234802,265410473.2,7312,"1,42,46044,895",1122.05,1129.65,BAJAJFINSV,EQ
