Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1560.0,1615.0,1530.1,1551.45,117946,183984971.05,23481,"7,0244,99238,27537,204",1550.0,1566.7575,BAJFINANCE,EQ
2014-01-13,1555.25,1571.9,1537.0,1565.9,108284,168330221.7,8895,"18,09316,04726,20018,89813,550",1571.8,1555.794,BAJFINANCE,EQ
2014-01-20,1569.95,1604.0,1532.0,1569.5,131424,205486190.5,9292,"2,56725,62830,81113,3486,855",1568.7,1565.926,BAJFINANCE,EQ
2014-01-27,1570.0,1610.0,1472.0,1491.75,63205,97870016.5,9083,"8,0337,7174,61114,76411,253",1512.0,1555.4959999999999,BAJFINANCE,EQ
2014-02-03,1476.85,1558.65,1475.0,1492.4,95830,143623088.29999998,8735,"18,6182,64144,9996,6556,279",1495.5,1507.09,BAJFINANCE,EQ
2014-02-10,1512.85,1524.3,1475.0,1485.75,29638,44322847.0,2914,"2,8882,81210,7361,9782,814",1495.0,1494.6060000000002,BAJFINANCE,EQ
2014-02-17,1498.95,1512.4,1460.0,1503.85,40171,59779032.4,3231,"1,16510,9987,5511,89412,619",1506.0,1483.768,BAJFINANCE,EQ
2014-02-24,1551.0,1578.0,1493.2,1526.3,117490,181251592.85,8145,"73,1556,3245,8159,6084,184",1529.8,1534.164,BAJFINANCE,EQ
2014-03-03,1512.0,1594.0,1512.0,1588.95,235266,370885441.55,8247,"56,2726,72112,6521,45,643",1582.15,1564.3075,BAJFINANCE,EQ
2014-03-10,1572.0,1675.0,1550.0,1672.1,196127,319864684.6,14286,"5,69713,78440,49135,98759,382",1670.0,1615.0520000000001,BAJFINANCE,EQ
2014-03-17,1670.75,1725.0,1630.0,1655.8,61961,104251237.55,7983,"20,7595,9215,58510,284",1655.0,1678.1675,BAJFINANCE,EQ
2014-03-24,1650.0,1695.8,1641.05,1656.95,146331,244057957.55,8604,"9,45419,15668,79415,1533617,409",1651.0,1670.4133333333332,BAJFINANCE,EQ
2014-03-31,1653.05,1824.8,1650.0,1791.0,282571,483985225.8,20390,"72,78848,03729,65953,46119,198",1790.05,1716.078,BAJFINANCE,EQ
2014-04-07,1790.0,1800.0,1661.6,1767.9,145624,255461430.6,11114,"41,47417,19931,57211,1776,704",1773.8,1756.6380000000001,BAJFINANCE,EQ
