Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1030.05,1046.05,1005.0,1026.45,38260,39379955.9,4097,"8,0897,4564,6294,532",1023.0,1027.645,BEL,EQ
2014-01-13,1030.0,1038.0,970.0,1005.65,52623,52779825.2,7116,"5,1802,4634,44920,1513,561",1007.0,1010.4280000000001,BEL,EQ
2014-01-20,1002.0,1020.0,986.1,1005.8,57655,57572542.45,3812,"2,0754,38334,0624,4745,022",998.0,1000.3399999999999,BEL,EQ
2014-01-27,998.2,1015.0,933.0,947.8,136959,131763908.4,10520,"2,5302,2182,93915,50072,202",947.0,984.8299999999999,BEL,EQ
2014-02-03,938.15,960.0,908.5,913.55,359836,341395274.0,9836,"2,30,93085,90211,4983,04617,052",914.0,936.018,BEL,EQ
2014-02-10,913.85,940.0,893.0,928.35,267239,244147281.7,8437,"10,5376,2241,28,84975,23325,434",922.0,915.8860000000001,BEL,EQ
2014-02-17,928.0,994.0,920.0,949.65,39954,38113464.35,4319,"2,8174,2956,1794,3018,752",942.0,951.028,BEL,EQ
2014-02-24,941.0,959.0,921.6,927.45,22358,20835878.9,2435,"1,6891,5761,4655,0041,671",924.95,934.21,BEL,EQ
2014-03-03,927.15,949.4,920.0,926.2,350562,327462517.35,3308,"1,55050,3991,44,3121,03,903",921.35,935.2725,BEL,EQ
2014-03-10,921.05,1010.05,918.0,986.35,298768,289304590.15,14994,"36,10731,85173,31466,30650,385",989.9,962.918,BEL,EQ
2014-03-17,986.3,1031.9,970.0,1006.5,172488,172432335.45000002,13803,"7,62633,48659,6589,383",1010.6,992.9449999999999,BEL,EQ
2014-03-24,1006.5,1073.85,970.0,1057.85,253783,261045639.2,14075,"93,86311,5782,64318,37677556,551",1050.0,1022.6899999999999,BEL,EQ
2014-03-31,1052.25,1193.1,1040.1,1147.95,245737,270810496.55,14843,"34,32255,94432,95042,76918,799",1150.0,1107.236,BEL,EQ
2014-04-07,1145.0,1165.0,1035.05,1114.25,543859,592605583.25,22363,"13,88716,93715,0001,63,72731,184",1116.0,1109.45,BEL,EQ
2014-04-14,1103.0,1256.85,1093.3,1203.75,388594,460649042.54999995,22100,"39,88383,42472,467",1197.35,1172.8033333333333,BEL,EQ
2014-04-21,1210.0,1270.9,1188.0,1224.95,339368,414902206.25,21487,"1,16,46750,99938,54337,973",1222.2,1220.76,BEL,EQ
2014-04-28,1226.0,1253.0,1207.0,1241.35,200804,246968110.3,13070,"31,15666,23025,51326,141",1240.0,1229.7625,BEL,EQ
