Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,331.0,339.0,324.05,329.35,13127996,4346093604.25,177860,"6,24,49933,52,16727,37,91815,32,116",329.85,331.385,BHARTIARTL,EQ
2014-01-13,330.5,334.5,326.5,331.0,18466895,6113968870.25,181908,"23,38,40144,46,80026,43,27123,37,56815,85,599",331.1,330.996,BHARTIARTL,EQ
2014-01-20,331.0,333.2,306.25,308.55,24790654,7864925001.150001,364853,"14,38,49016,71,56957,95,05431,25,57930,42,451",307.65,319.884,BHARTIARTL,EQ
2014-01-27,311.0,315.9,302.65,306.9,26766109,8277023456.5,511746,"51,72,40335,03,41131,93,24833,49,19928,48,677",305.55,309.618,BHARTIARTL,EQ
2014-02-03,306.9,316.25,300.1,305.85,28374932,8728588780.2,508429,"33,62,27534,66,60452,37,49321,29,83520,88,630",306.5,308.05,BHARTIARTL,EQ
2014-02-10,302.9,319.45,299.45,307.0,36067341,11256021996.3,529563,"34,88,03931,08,18851,27,78360,10,84178,88,936",308.0,312.384,BHARTIARTL,EQ
2014-02-17,305.0,317.5,299.6,304.65,36163532,11054860405.45,537504,"71,59,19544,47,66120,36,09583,04,01120,03,715",304.65,305.36,BHARTIARTL,EQ
2014-02-24,307.0,308.65,281.9,282.8,25407752,7503593037.85,341296,"36,90,1619,59,77422,40,83930,32,98637,57,758",283.1,296.45799999999997,BHARTIARTL,EQ
2014-03-03,283.8,292.35,283.3,286.65,20487155,5901309387.2,243189,"34,86,47142,83,45128,08,12520,16,324",286.3,287.85249999999996,BHARTIARTL,EQ
2014-03-10,288.5,309.9,281.9,305.15,40900407,12036907118.5,436032,"23,70,05956,69,74458,70,07672,59,17368,55,676",304.0,292.514,BHARTIARTL,EQ
2014-03-17,306.75,307.0,290.35,295.0,13561339,4065409172.3999996,180357,"23,95,20822,65,55712,74,20919,72,368",295.85,299.99,BHARTIARTL,EQ
2014-03-24,297.5,304.1,291.55,293.95,20546836,6095085332.450001,355787,"21,73,02437,68,08420,45,90332,25,50696,89938,73,030",293.75,296.385,BHARTIARTL,EQ
2014-03-31,294.0,327.2,289.55,317.75,37901916,11624730137.050001,524097,"55,24,64054,83,97590,89,03630,25,85735,50,472",316.15,307.11,BHARTIARTL,EQ
2014-04-07,318.0,328.7,312.0,317.45,18879575,6049948499.8,298326,"16,67,20336,30,03030,20,04613,75,94520,88,500",318.7,319.236,BHARTIARTL,EQ
2014-04-14,318.15,324.75,316.15,322.25,15261139,4898087350.85,184194,"27,21,70848,79,94740,02,664",322.1,320.7133333333333,BHARTIARTL,EQ
2014-04-21,320.6,336.4,320.6,334.8,13309377,4348758866.5,204812,"49,59,89211,24,76915,41,63711,17,047",335.9,327.05,BHARTIARTL,EQ
