Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,350.1,354.7,328.0,329.8,3559386,1205538836.65,60968,"74,0174,52,2315,59,6062,62,687",329.05,339.7625,BPCL,EQ
2014-01-13,330.5,332.95,316.05,331.5,6154297,2001748226.95,108202,"3,83,4905,98,9817,94,4075,42,3765,10,073",331.7,325.53000000000003,BPCL,EQ
2014-01-20,329.1,344.5,325.2,342.55,5157468,1726821950.15,115450,"1,96,7895,63,0253,59,9289,05,2605,51,836",342.0,333.32,BPCL,EQ
2014-01-27,343.0,349.7,331.85,337.65,4590697,1566377218.15,123043,"5,57,7432,76,6585,82,6885,44,3824,76,339",337.2,341.18,BPCL,EQ
2014-02-03,337.7,366.0,333.85,356.45,8938042,3124014588.9,164956,"21,48,8188,74,35110,68,8598,10,1483,56,844",355.65,351.70799999999997,BPCL,EQ
2014-02-10,353.0,362.0,345.9,354.8,4085439,1441972789.35,137793,"3,71,8003,71,6144,58,8587,14,1161,30,257",354.95,353.274,BPCL,EQ
2014-02-17,356.15,370.8,349.85,357.5,4839716,1745697737.2,99106,"2,25,8019,33,2263,76,5261,38,45846,431",357.4,357.61199999999997,BPCL,EQ
2014-02-24,355.0,368.5,342.2,364.0,3844215,1370253795.2,78304,"2,85,18069,1872,55,8954,94,3963,74,528",364.85,355.236,BPCL,EQ
2014-03-03,365.25,385.0,365.25,376.65,5370225,2020775932.0,134138,"3,49,42410,46,1997,78,0214,50,934",377.0,375.655,BPCL,EQ
2014-03-10,375.9,423.3,374.45,418.8,6958504,2783228463.5,139845,"3,56,9189,86,2125,88,4378,63,4317,78,825",419.65,397.404,BPCL,EQ
2014-03-17,420.1,458.8,409.05,444.75,11993319,5285335568.15,189648,"5,99,9935,48,99722,08,10216,15,237",445.0,430.3725,BPCL,EQ
2014-03-24,445.3,460.0,426.0,434.0,8340287,3673898693.1,147267,"9,52,6113,19,17312,19,2835,21,38816,3306,73,612",434.0,438.8183333333333,BPCL,EQ
2014-03-31,434.0,469.35,431.2,460.05,7908340,3588837028.45,159932,"6,02,1893,43,4189,80,9435,69,2675,08,956",459.7,453.55,BPCL,EQ
2014-04-07,459.1,463.8,431.65,438.1,10540912,4703215398.85,187300,"6,14,3188,77,19216,73,00212,79,1646,12,952",438.0,446.34800000000007,BPCL,EQ
