Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,402.5,406.35,386.0,391.6,2913617,1149455509.65,49969,"1,69,9733,53,5404,83,9803,31,617",391.0,395.89,CIPLA,EQ
2014-01-13,393.9,407.4,389.0,402.25,5531576,2209930516.0,113739,"6,23,38610,32,5237,11,9164,41,7384,96,575",402.75,399.286,CIPLA,EQ
2014-01-20,400.9,423.9,400.9,419.85,7641049,3179631412.6,114934,"8,21,34816,02,6867,41,6898,08,3204,42,305",419.1,415.832,CIPLA,EQ
2014-01-27,420.25,425.85,407.75,415.0,4874059,2040208654.9,82519,"3,37,6165,59,1633,03,9356,11,3908,68,851",418.0,419.004,CIPLA,EQ
2014-02-03,416.3,420.5,406.8,412.5,4973379,2054171766.15,97907,"5,89,8588,55,7989,43,7262,44,6406,29,695",412.85,412.88199999999995,CIPLA,EQ
2014-02-10,410.7,423.6,409.25,414.55,6027470,2502442918.4,124078,"6,36,15210,47,29810,17,3456,45,4856,74,413",410.8,415.38199999999995,CIPLA,EQ
2014-02-17,415.0,415.0,370.0,374.35,20147951,7898778941.15,257505,"18,24,38221,70,20348,08,00913,48,7345,32,963",376.05,392.22,CIPLA,EQ
2014-02-24,374.0,377.7,366.5,367.5,7845159,2914192543.6,132995,"11,99,5525,07,15511,00,68812,76,30910,56,180",367.55,371.646,CIPLA,EQ
2014-03-03,367.55,387.7,367.55,376.6,8644386,3261092896.05,119030,"13,04,85120,81,95016,65,8395,36,719",376.0,377.5375,CIPLA,EQ
2014-03-10,377.0,387.3,373.85,375.4,7756940,2943598162.95,169427,"4,71,9577,74,76510,60,85810,15,04519,92,875",375.3,380.052,CIPLA,EQ
2014-03-17,375.25,387.0,375.25,386.5,5055091,1921438996.5,122994,"11,83,4138,87,3295,37,0427,21,556",386.0,380.595,CIPLA,EQ
2014-03-24,388.0,401.6,379.0,391.05,6538499,2544427781.65,142579,"5,95,0323,63,5646,60,9786,64,3012,32,8066,63,736",390.75,389.42,CIPLA,EQ
2014-03-31,393.5,394.5,381.8,382.8,7883931,3058461585.95,138203,"12,26,98312,44,55016,26,1156,22,8216,67,095",382.05,387.648,CIPLA,EQ
