Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,294.7,295.0,274.0,276.3,10737576,3008710909.8,236666,"4,70,1899,00,71918,72,40841,37,982",276.5,283.6475,COALINDIA,EQ
2014-01-13,277.9,297.0,274.0,290.25,22080014,6349613081.1,288677,"21,35,39438,17,03225,93,20319,79,06720,22,056",290.0,287.58000000000004,COALINDIA,EQ
2014-01-20,294.0,307.85,268.0,269.45,50843078,14831436289.75,551651,"23,62,8961,06,58,45299,29,76332,89,41128,12,377",269.55,286.668,COALINDIA,EQ
2014-01-27,269.95,270.0,248.0,249.0,15964891,4142465116.5,267456,"23,67,75418,10,39119,21,30120,14,74727,82,729",249.0,259.802,COALINDIA,EQ
2014-02-03,248.0,254.0,244.4,245.75,14450673,3585219933.4500003,205446,"10,45,57811,77,63140,43,20313,27,02926,62,378",246.0,248.512,COALINDIA,EQ
2014-02-10,243.0,271.2,243.0,270.0,18316901,4714869712.2,204915,"45,96,59223,72,59640,22,44013,15,6969,89,292",270.15,259.806,COALINDIA,EQ
2014-02-17,270.0,270.65,255.5,256.25,11959385,3149342475.45,188453,"14,38,56925,17,80012,96,28512,82,62218,65,410",256.15,263.024,COALINDIA,EQ
2014-02-24,255.0,257.4,250.25,252.0,7922472,2011407978.2,153431,"15,17,7937,90,97514,60,4286,21,3586,81,218",252.0,253.72799999999998,COALINDIA,EQ
2014-03-03,252.5,252.9,240.3,244.35,10683610,2609056627.25,241068,"15,17,00522,88,57115,85,29216,19,702",245.1,244.4975,COALINDIA,EQ
2014-03-10,244.5,266.0,244.3,258.8,15624334,3998200603.6,204366,"18,76,57219,01,10027,49,13527,25,56324,74,439",258.2,255.14600000000002,COALINDIA,EQ
2014-03-17,257.05,267.8,253.0,264.25,8117465,2121399046.7,155724,"13,76,3769,61,67017,81,2798,33,512",265.05,261.0075,COALINDIA,EQ
2014-03-24,265.5,275.7,256.1,269.95,19911710,5299938492.95,254365,"22,81,73835,28,42032,15,44716,40,34435,14541,65,824",270.05,265.39000000000004,COALINDIA,EQ
2014-03-31,268.4,292.0,267.9,288.75,14758912,4145188144.0,228747,"15,28,77430,31,62932,49,4499,82,47112,63,844",288.4,281.086,COALINDIA,EQ
2014-04-07,289.5,292.0,275.05,284.0,22068999,6221767736.0,230467,"27,36,7598,99,67531,71,04467,45,74212,93,465",285.0,283.144,COALINDIA,EQ
2014-04-14,285.5,294.0,283.5,293.05,10385138,3001011987.75,130224,"23,45,83132,20,29120,80,624",292.5,289.02,COALINDIA,EQ
2014-04-21,291.0,297.5,285.1,296.1,10650756,3104901969.95,134254,"31,22,82611,67,26915,85,99115,27,884",297.0,291.47249999999997,COALINDIA,EQ
