Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,2545.0,2550.0,2460.2,2471.25,369626,925024833.55,33337,"9,84361,46062,13179,747",2473.4,2510.875,DRREDDY,EQ
2014-01-13,2472.2,2639.75,2464.6,2626.55,1639159,4213563965.1499996,154627,"1,39,0041,21,9722,75,8513,90,6321,54,249",2634.0,2560.73,DRREDDY,EQ
2014-01-20,2622.0,2682.5,2616.55,2653.4,1583076,4191412386.45,93774,"1,44,0622,00,7882,67,1473,54,1692,38,470",2652.0,2647.254,DRREDDY,EQ
2014-01-27,2650.1,2691.95,2622.0,2633.1,1254534,3330872833.65,99357,"95,2521,07,0281,14,5932,80,5842,48,861",2639.85,2657.4759999999997,DRREDDY,EQ
2014-02-03,2635.85,2686.8,2602.9,2653.15,1188677,3137573256.6,72556,"1,20,2821,82,7033,91,86477,75389,368",2639.95,2642.074,DRREDDY,EQ
2014-02-10,2652.0,2688.0,2580.0,2672.15,977382,2562373514.2,84005,"1,23,90395,2001,60,6981,71,62444,941",2682.0,2621.954,DRREDDY,EQ
2014-02-17,2699.0,2699.0,2516.55,2643.5,2066092,5397099238.05,163220,"1,54,4172,39,2652,12,4033,47,9881,85,185",2647.0,2612.846,DRREDDY,EQ
2014-02-24,2653.9,2800.0,2622.1,2795.85,1611829,4360949193.45,168811,"1,95,2151,98,1352,03,2492,45,9842,50,348",2790.1,2700.884,DRREDDY,EQ
2014-03-03,2795.65,2939.4,2762.0,2815.55,2213536,6337050995.65,150854,"1,78,7053,80,7198,59,0912,11,987",2817.75,2836.65,DRREDDY,EQ
2014-03-10,2798.0,2853.0,2654.0,2686.65,2371069,6552262177.0,230388,"2,94,4152,29,6032,32,1063,75,1952,89,278",2680.8,2770.366,DRREDDY,EQ
2014-03-17,2709.0,2795.8,2671.3,2780.5,1769732,4832338565.25,132697,"2,07,9402,34,8014,40,1362,62,280",2770.0,2726.515,DRREDDY,EQ
2014-03-24,2796.9,2836.9,2744.3,2750.05,1725406,4812520223.75,115112,"1,62,5073,29,5651,33,7171,69,3952,6051,35,829",2744.3,2783.9133333333334,DRREDDY,EQ
2014-03-31,2745.15,2755.0,2546.4,2563.9,2525973,6625234974.35,193351,"1,85,7382,84,0884,29,5965,82,1253,96,776",2556.2,2637.864,DRREDDY,EQ
2014-04-07,2581.0,2680.0,2570.05,2606.15,2621368,6889687385.8,190805,"4,34,8023,04,9916,39,5183,02,9433,18,101",2606.8,2625.928,DRREDDY,EQ
2014-04-14,2609.9,2633.95,2520.05,2576.9,1230143,3186360479.05,86009,"3,70,9412,97,4371,96,364",2570.0,2587.64,DRREDDY,EQ
