Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,5004.6,5085.0,4900.0,4985.95,21851,109237995.2,3639,"1,2378,0572,0792,277",5006.0,4991.0425,EICHERMOT,EQ
2014-01-13,5008.0,5167.65,4943.0,5055.0,109859,555239041.5,14759,"3,9905,6166,81511,54160,954",5040.0,5050.09,EICHERMOT,EQ
2014-01-20,5020.0,5130.0,4901.0,5059.15,56343,282725489.84999996,8269,"27,9217,6042,4241,8285,134",5109.95,4999.0199999999995,EICHERMOT,EQ
2014-01-27,5088.0,5115.0,4823.0,4840.15,25892,129481953.55000001,6444,"5,1401,5882,8746,8882,686",4840.0,4998.002,EICHERMOT,EQ
2014-02-03,4900.0,4940.4,4550.0,4563.4,47186,220929035.70000002,8316,"4,5983,2316,2685,14918,024",4550.0,4717.378,EICHERMOT,EQ
2014-02-10,4520.1,4639.0,4402.0,4430.9,53022,239175160.25,7221,"8,8663,28910,0108,05013,683",4420.5,4521.280000000001,EICHERMOT,EQ
2014-02-17,4406.0,4940.0,4401.1,4904.35,342352,1628588171.75,49478,"8,09135,11473,25350,55015,410",4882.0,4685.896,EICHERMOT,EQ
2014-02-24,4900.0,4949.0,4805.0,4820.2,112524,550181041.8,8018,"24,89014,71532,6466,84120,087",4820.0,4886.16,EICHERMOT,EQ
2014-03-03,4884.85,5227.9,4830.05,5187.05,176680,896594554.65,19752,"9,81627,64918,48081,723",5185.35,5028.78,EICHERMOT,EQ
2014-03-10,5180.0,5700.0,5147.75,5560.0,220982,1206709106.05,28721,"15,15211,26810,05590,87036,068",5535.0,5488.992,EICHERMOT,EQ
2014-03-17,5564.0,5599.55,5405.6,5571.35,116855,644949053.3499999,8466,"38,9669,3563,43246,999",5560.0,5511.8375,EICHERMOT,EQ
2014-03-24,5571.35,5849.0,5505.55,5795.35,121397,696225599.8,24299,"15,37415,8987,3524,31020545,545",5823.0,5724.873333333333,EICHERMOT,EQ
2014-03-31,5834.0,6149.9,5690.0,5961.5,129367,761707478.55,19260,"12,9949,6127,99455,6535,104",5935.0,5901.1900000000005,EICHERMOT,EQ
2014-04-07,5965.0,6200.0,5872.05,6043.25,77481,471225812.55,17397,"11,91510,21510,10911,5084,798",6021.5,6081.064,EICHERMOT,EQ
2014-04-14,6050.0,6374.0,6020.3,6105.5,97257,604611920.1,13370,"57,59516,8935,342",6150.0,6224.766666666666,EICHERMOT,EQ
2014-04-21,6195.0,6195.0,5759.35,5974.35,99665,595108709.9,12399,"10,94210,56415,91243,061",5955.0,5983.5425,EICHERMOT,EQ
2014-04-28,5975.0,6320.0,5968.05,6127.3,143834,878495799.25,14941,"69,27318,0497,11425,750",6101.3,6147.6849999999995,EICHERMOT,EQ
2014-05-05,6117.0,6480.0,6097.0,6432.55,88054,543997502.1,10643,"48,4994,02513,0384,621",6450.0,6215.7125,EICHERMOT,EQ
2014-05-12,6500.0,6767.7,6350.0,6461.0,153130,1001202345.5,31078,"6,35410,6355,53927,63034,543",6450.0,6515.469999999999,EICHERMOT,EQ
2014-05-19,6487.0,6552.0,6151.15,6357.05,157771,1012894196.75,23693,"49,87318,25213,40024,67422,686",6350.0,6403.854,EICHERMOT,EQ
2014-05-26,6367.0,7485.0,6325.0,7153.35,207363,1480011324.4,54710,"24,78729,44438,14432,27111,695",7174.8,7135.353999999999,EICHERMOT,EQ
2014-06-02,7174.8,7288.0,6601.15,6881.8,143377,981655688.85,28015,"19,66510,5584,03859,9527,487",6882.0,6939.289999999999,EICHERMOT,EQ
2014-06-09,6875.0,7367.3,6830.0,7291.1,169022,1218956891.3,38911,"32,72524,2707,51037,24730,229",7300.0,7206.2339999999995,EICHERMOT,EQ
2014-06-16,7300.0,7391.7,7078.7,7251.25,148437,1074743718.75,36156,"13,70720,69728,05415,90845,225",7241.0,7239.052000000001,EICHERMOT,EQ
2014-06-23,7251.25,7399.0,7050.0,7139.3,60312,435425783.5,14157,"18,93210,2052,5053,12212,968",7126.25,7216.616,EICHERMOT,EQ
2014-06-30,7170.7,8125.0,7153.25,7994.55,198748,1501180400.1999998,39493,"28,97440,12211,87727,27720,148",7973.95,7517.688,EICHERMOT,EQ
2014-07-07,7985.0,9090.0,7881.5,8433.9,175180,1490227707.2,39236,"6,96916,74526,34621,6017,496",8450.0,8412.438,EICHERMOT,EQ
2014-07-14,8430.0,8610.0,8005.1,8260.35,97080,808845145.55,24895,"11,07918,5206,72017,8435,001",8250.0,8310.416000000001,EICHERMOT,EQ
2014-07-21,8338.65,8779.95,8237.6,8556.25,89933,771716460.95,19714,"10,9609,00128,6398,4256,561",8550.0,8562.798,EICHERMOT,EQ
2014-07-28,8486.0,8710.0,8162.15,8641.95,46170,394314727.9,13438,"5,5647,1984,6376,9315,230",8646.9,8543.723999999998,EICHERMOT,EQ
2014-08-04,8641.95,8680.0,8380.4,8426.5,38370,326557857.3,12220,"7,3632,8527,1333,477",8434.9,8502.1175,EICHERMOT,EQ
2014-08-11,8450.0,8700.0,8400.25,8587.85,114581,975119171.95,25824,"43,5387,2579,44110,40419,146",8555.0,8514.03,EICHERMOT,EQ
2014-08-18,8810.0,10634.4,8810.0,9987.15,471907,4612921655.55,106342,"50,47361,71138,63215,712",10000.0,9774.68,EICHERMOT,EQ
2014-08-25,10049.65,10268.95,9859.0,9905.05,123330,1239569746.7,40829,"31,9477,17912,64710,1897,249",9872.0,10020.264,EICHERMOT,EQ
2014-09-01,9820.0,10150.0,9711.25,10051.8,135366,1341142013.75,30735,"18,85219,17227,20919,507",10040.05,9893.127499999999,EICHERMOT,EQ
2014-09-08,10161.0,11550.0,10108.0,10963.8,316282,3459346928.9,78794,"17,58632,39844,21513,83014,020",10975.0,10869.359999999999,EICHERMOT,EQ
2014-09-15,11160.0,12338.85,10902.35,12205.05,375893,4356988173.25,82607,"18,13551,62528,38938,89421,551",12210.0,11569.456,EICHERMOT,EQ
2014-09-22,12250.0,12370.0,11105.0,11754.45,477501,5570381726.299999,82061,"35,36834,61930,2811,04,66117,048",11711.0,11667.428,EICHERMOT,EQ
2014-09-29,11799.0,11820.0,10826.35,11280.8,237258,2723304943.9,41646,"29,99548,04914,23310,19713,583",11280.0,11451.776000000002,EICHERMOT,EQ
2014-10-06,11400.0,12299.0,11365.0,11801.65,218789,2615828249.1,41405,"39,73011,510",11789.0,11948.985,EICHERMOT,EQ
2014-10-13,11900.0,11950.0,10875.75,11269.85,173791,2002402911.15,41390,"16,03313,59118,44412,20013,422",11285.0,11548.724,EICHERMOT,EQ
2014-10-20,11360.0,11740.0,10860.0,11636.4,170067,1930990303.1,35452,"15,16220,05115,14120,474",11661.0,11350.3475,EICHERMOT,EQ
2014-10-27,11662.9,12449.0,11556.55,12262.4,127018,1508892375.6,26299,"27,9458,4501,81222,647",12449.0,11888.54,EICHERMOT,EQ
2014-11-03,12430.0,12825.0,11501.1,12739.6,233423,2938523805.4,50109,"11,44524,97432,48820,52312,081",12770.0,12584.648,EICHERMOT,EQ
2014-11-10,12800.0,13025.0,12630.1,12729.7,103170,1318341434.5500002,20381,"9,76436,5136,868",12725.0,12773.840000000002,EICHERMOT,EQ
2014-11-17,12800.0,14089.0,12750.0,13845.5,443530,5991620516.85,74753,"22,69521,94418,85667,71025,083",13800.0,13387.606,EICHERMOT,EQ
2014-11-24,13879.0,15149.9,13800.05,14621.3,399558,5831827869.5,76715,"7,89232,51346,92522,8617,916",14625.0,14509.704000000002,EICHERMOT,EQ
2014-12-01,14575.05,14729.0,14157.25,14520.85,193862,2800683544.95,43018,"16,39010,37814,90220,35322,425",14500.0,14428.914,EICHERMOT,EQ
2014-12-08,14537.95,15785.0,14300.0,14952.3,387795,5876411709.25,78539,"22,48734,55434,16034,96420,164",14955.0,15070.114000000001,EICHERMOT,EQ
2014-12-15,14925.0,14965.0,13771.7,14211.25,331636,4746222606.45,66264,"47,59429,96350,39618,43527,178",14219.8,14283.024,EICHERMOT,EQ
2014-12-22,14068.0,14809.9,13701.0,14737.25,268261,3829420473.85,51479,"11,89239,28131,22428,8879,828",14731.35,14307.91,EICHERMOT,EQ
2014-12-29,14793.0,15419.0,14688.7,15372.85,243069,3621575279.7999997,28128,"19,1251,26,5086,23610,097",15350.0,14988.35,EICHERMOT,EQ
2015-01-05,15275.0,15450.05,14908.55,15150.55,174851,2656889747.9,34245,"3,04329,9615,72817,85119,551",15154.0,15223.05,EICHERMOT,EQ
2015-01-12,15000.0,15145.0,14550.0,14857.65,213885,3178519687.55,42701,"20,19110,55214,74221,36736,466",14800.0,14862.048,EICHERMOT,EQ
2015-01-19,14899.95,15590.9,14690.0,15474.6,147645,2242294278.6499996,33803,"3,9645,60920,95712,90516,017",15420.05,15108.405999999999,EICHERMOT,EQ
2015-01-26,15476.05,15581.8,15113.0,15145.95,180983,2764321182.3,26988,"23,49613,8645,92289,064",15160.0,15340.835,EICHERMOT,EQ
2015-02-02,15190.0,16895.0,15094.2,16561.75,368918,5947161642.2,68205,"69,39042,71028,55616,49423,391",16500.0,16261.084000000003,EICHERMOT,EQ
2015-02-09,16495.0,16713.9,15067.6,15115.55,135642,2159227686.15,36271,"16,23916,35313,4267,06512,432",15100.0,15889.367999999999,EICHERMOT,EQ
2015-02-16,15150.0,16872.0,14755.05,16051.1,280588,4501178536.7,65568,"24,72812,75810,76616,56229,461",16020.0,16000.49,EICHERMOT,EQ
2015-02-23,16400.0,17200.0,15925.0,15981.9,205913,3418157725.75,42950,"28,30716,22210,09114,219",16013.8,16530.81,EICHERMOT,EQ
2015-03-02,16000.0,16700.0,15051.1,16426.05,390836,6210386224.25,77593,"17,01827,64934,87858,95821,51258,734",16175.5,15828.508333333333,EICHERMOT,EQ
2015-03-09,16349.5,16349.5,15300.0,15699.8,459013,7278586964.5,82538,"43,79852,14517,89431,859",15672.0,15879.8975,EICHERMOT,EQ
2015-03-16,15700.0,16381.9,15633.0,15820.35,241052,3858054695.9,48529,"33,95719,77526,72223,1776,078",15802.0,15991.102000000003,EICHERMOT,EQ
2015-03-23,15899.0,16326.95,15751.25,15865.95,167622,2694012845.6,41532,"14,89711,40836,46015,27311,492",15841.35,16038.408,EICHERMOT,EQ
2015-03-30,15895.0,16095.0,15111.0,16018.9,298037,4635978475.3,61221,"14,74026,4481,02,20623,63620,811",16060.0,15564.59,EICHERMOT,EQ
2015-04-06,16150.0,16196.95,15520.25,15782.45,149872,2378741470.2,30471,"20,66821,35742,547",15830.25,15897.683333333334,EICHERMOT,EQ
2015-04-13,15799.85,16700.0,15715.05,16070.7,245578,3986213028.0,72200,"14,09335,38629,66321,33329,843",16020.0,16193.946,EICHERMOT,EQ
2015-04-20,16099.9,16240.0,14630.0,14762.0,300346,4665806303.6,78605,"29,25156,79832,52447,214",14777.05,15559.7425,EICHERMOT,EQ
2015-04-27,14900.0,15070.0,13900.1,14771.05,469745,6822669578.95,91413,"53,76566,73116,64588,26654,963",14815.25,14538.076000000001,EICHERMOT,EQ
2015-05-04,14750.0,15499.95,14670.6,15334.6,176763,2686199894.15,41117,"27,02020,84034,30816,854",15340.0,15217.45,EICHERMOT,EQ
2015-05-11,15333.0,16965.0,14494.95,16871.6,536108,8485999164.15,100702,"13,56221,95842,24133,2441,35,554",16825.0,15514.456,EICHERMOT,EQ
2015-05-18,16950.0,19155.0,16600.0,18597.75,963942,17386407776.899998,203267,"38,0641,82,50484,35866,72679,270",18675.0,18036.874,EICHERMOT,EQ
2015-05-25,18615.0,19545.0,18076.0,19173.4,500425,9355751430.1,109931,"47,19947,82122,58146,02774,946",19164.95,18589.64,EICHERMOT,EQ
2015-06-01,19100.0,19385.0,17795.0,18777.9,1979351,37022044088.9,287235,"1,26,5371,21,0161,07,1129,66,98143,875",18790.0,18612.18,EICHERMOT,EQ
2015-06-08,18867.55,18958.0,16960.75,17282.5,676254,11917074223.099998,125875,"38,99434,58254,98233,31435,350",17265.0,17729.15,EICHERMOT,EQ
