Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,2720.1,2740.0,2589.1,2631.2,114730,304625714.2,12202,"6,84715,31012,41412,450",2625.0,2658.9300000000003,GRASIM,EQ
2014-01-13,2633.95,2647.25,2562.0,2602.25,229439,595634834.8,16633,"26,14829,65736,77134,6409,567",2598.1,2597.022,GRASIM,EQ
2014-01-20,2580.6,2629.95,2560.0,2595.55,247221,640513125.5,14513,"8,72136,52955,23047,52221,641",2593.0,2588.94,GRASIM,EQ
2014-01-27,2619.0,2625.0,2556.0,2592.4,386436,999830930.05,12024,"29,35411,37028,9571,59,75395,879",2592.5,2586.346,GRASIM,EQ
2014-02-03,2591.0,2625.0,2502.05,2511.25,553923,1427956142.1,21097,"1,68,2891,24,15019,08979,70622,094",2502.05,2573.148,GRASIM,EQ
2014-02-10,2498.0,2589.0,2451.0,2567.95,261844,655838517.9,15041,"16,64850,57143,61517,85437,089",2579.85,2512.462,GRASIM,EQ
2014-02-17,2585.1,2596.2,2435.1,2469.2,211839,537782017.05,13115,"45,22265,73716,27212,1704,972",2467.15,2516.4080000000004,GRASIM,EQ
2014-02-24,2473.0,2530.0,2426.35,2504.75,219854,545515517.05,20469,"15,0156,87822,74231,80827,512",2502.15,2480.102,GRASIM,EQ
2014-03-03,2510.1,2599.0,2495.0,2523.4,262496,665815546.45,16207,"25,53985,75312,86432,230",2525.0,2534.5575,GRASIM,EQ
2014-03-10,2529.25,2789.0,2522.6,2750.3,427190,1140224646.05,30980,"73,56058,24654,72446,94643,903",2751.0,2674.93,GRASIM,EQ
2014-03-17,2755.0,2838.9,2687.4,2733.4,196508,544945123.2,17190,"25,88811,76017,35912,367",2740.0,2768.635,GRASIM,EQ
2014-03-24,2740.0,2798.0,2701.3,2787.5,287058,789628672.0,25200,"26,88931,04710,41453,95947363,797",2775.5,2745.2549999999997,GRASIM,EQ
2014-03-31,2777.0,2922.0,2762.0,2888.05,567958,1599531864.1499999,34158,"41,63019,4551,80,55759,93630,894",2881.0,2828.204,GRASIM,EQ
2014-04-07,2900.0,2901.35,2803.1,2847.05,276044,785076453.75,25330,"25,31118,00128,72519,11739,823",2844.0,2839.922,GRASIM,EQ
2014-04-14,2870.0,2894.8,2791.5,2806.25,293115,834561550.85,15434,"37,1611,17,59148,037",2797.4,2845.84,GRASIM,EQ
2014-04-21,2804.2,2819.05,2734.8,2801.95,219694,609724003.2,18326,"39,16413,19239,13938,151",2800.0,2775.8625,GRASIM,EQ
2014-04-28,2785.15,2817.05,2630.5,2643.35,285728,783126329.0,17338,"6,6001,26,20925,54527,430",2636.0,2730.99,GRASIM,EQ
2014-05-05,2640.1,2720.9,2584.0,2638.6,244642,647761308.1500001,23049,"38,85319,0569,43726,998",2646.55,2644.8925,GRASIM,EQ
2014-05-12,2646.2,2860.0,2583.1,2839.65,364266,981648239.95,30039,"12,48444,96831,32763,01569,434",2851.6,2673.4700000000003,GRASIM,EQ
2014-05-19,2850.0,3274.75,2835.15,3020.75,679949,2082041173.7,65390,"46,63641,83739,9052,19,94227,002",3007.25,3004.4900000000002,GRASIM,EQ
2014-05-26,3025.0,3224.55,2906.4,3067.8,580511,1760068699.2,47264,"26,82630,95260,98499,12497,848",3068.0,3013.552,GRASIM,EQ
2014-06-02,3098.6,3253.7,3051.75,3160.45,473806,1498671423.2,34478,"26,09780,26776,28120,02736,790",3161.1,3160.238,GRASIM,EQ
2014-06-09,3161.0,3789.0,3155.1,3697.7,1178654,4125549185.45,80784,"59,55121,56755,58957,2161,31,393",3693.1,3392.286,GRASIM,EQ
2014-06-16,3700.0,3731.5,3509.85,3560.9,752154,2698704129.9,56245,"53,22339,36256,41742,17635,922",3569.25,3581.91,GRASIM,EQ
2014-06-23,3577.6,3615.0,3462.0,3496.7,475719,1689175784.85,37546,"42,30465,95358,60913,58630,694",3499.0,3540.5099999999998,GRASIM,EQ
2014-06-30,3500.0,3546.55,3371.35,3430.5,550178,1895450753.05,39183,"31,42157,7191,26,16856,94229,135",3420.3,3457.41,GRASIM,EQ
2014-07-07,3441.9,3464.0,3350.1,3363.9,281011,959058942.4,21356,"32,75030,94722,07431,54920,744",3356.0,3411.9919999999997,GRASIM,EQ
2014-07-14,3370.0,3382.05,3192.0,3199.35,369895,1214880029.7,34259,"29,57244,15837,21431,32230,489",3201.15,3280.45,GRASIM,EQ
2014-07-21,3227.7,3427.1,3188.05,3407.85,377255,1252772360.35,34455,"23,72933,99519,09523,07448,504",3395.25,3305.0739999999996,GRASIM,EQ
2014-07-28,3407.85,3423.9,3199.9,3209.6,406785,1351282664.25,34876,"42,89644,57148,69036,17128,517",3225.15,3322.7239999999997,GRASIM,EQ
2014-08-04,3215.2,3302.0,3173.95,3212.25,592370,1913459360.55,32576,"42,2182,27,76547,41639,977",3225.0,3227.96,GRASIM,EQ
2014-08-11,3225.0,3349.0,3213.0,3303.9,388114,1276333256.25,29306,"51,04129,99419,03037,00439,480",3298.0,3287.0860000000002,GRASIM,EQ
2014-08-18,3305.1,3358.0,3250.0,3338.8,300803,996221907.3499999,23741,"25,21251,96527,15242,479",3330.0,3314.3025,GRASIM,EQ
2014-08-25,3341.0,3475.0,3303.35,3445.25,387213,1324651822.65,32788,"46,20259,49922,93226,73816,961",3450.0,3423.71,GRASIM,EQ
2014-09-01,3430.1,3484.8,3344.0,3474.7,381908,1298404638.25,24494,"24,51992,0061,00,68624,569",3469.3,3407.0275,GRASIM,EQ
2014-09-08,3488.8,3675.0,3475.0,3657.8,573125,2063483944.35,50901,"1,02,95332,29831,01725,59952,907",3640.4,3598.69,GRASIM,EQ
2014-09-15,3615.0,3683.65,3585.5,3601.9,284338,1032908818.25,21296,"62,19629,72015,14923,9589,078",3598.0,3629.844,GRASIM,EQ
2014-09-22,3609.0,3729.95,3520.0,3707.5,429456,1563647053.4,34720,"19,98119,93329,11747,49876,746",3721.3,3616.9199999999996,GRASIM,EQ
2014-09-29,3739.8,3758.0,3479.9,3570.6,434018,1566536977.25,36484,"40,72742,48080,93231,52740,964",3570.0,3610.932,GRASIM,EQ
2014-10-06,3570.0,3598.9,3476.15,3493.85,99177,350474706.6,8504,"18,33223,457",3500.0,3532.3050000000003,GRASIM,EQ
2014-10-13,3490.0,3519.8,3395.1,3418.85,321659,1107622647.05,28857,"41,03151,96029,30323,05425,122",3410.0,3442.6520000000005,GRASIM,EQ
2014-10-20,3426.0,3448.0,3218.0,3317.2,350788,1166758510.4,27354,"40,33968,46832,74961,562",3306.6,3331.4025,GRASIM,EQ
2014-10-27,3320.0,3437.4,3318.65,3395.65,206444,699292211.2,15990,"28,58859,7833,51335,173",3387.95,3392.0074999999997,GRASIM,EQ
2014-11-03,3380.0,3549.9,3340.2,3530.55,650377,2247519641.25,46151,"20,44577,47580,84178,56564,242",3530.0,3459.9839999999995,GRASIM,EQ
2014-11-10,3530.55,3610.0,3520.0,3581.6,145087,518429662.79999995,12934,"50,63213,2129,687",3580.8,3577.713333333333,GRASIM,EQ
2014-11-17,3595.5,3660.0,3500.4,3561.8,277097,996736549.05,27243,"24,00428,90328,82620,67932,579",3547.55,3595.528,GRASIM,EQ
2014-11-24,3570.0,3637.0,3502.05,3526.1,216796,773672058.4,19505,"40,10539,4629,4546,20714,684",3527.0,3560.786,GRASIM,EQ
2014-12-01,3512.0,3595.0,3460.0,3505.8,405926,1430792715.35,27038,"25,73950,54865,98957,94745,193",3500.0,3523.0099999999998,GRASIM,EQ
2014-12-08,3511.0,3538.35,3410.05,3437.9,161162,562294475.1,15183,"18,40921,28914,43612,83212,698",3418.0,3488.714,GRASIM,EQ
2014-12-15,3420.0,3434.1,3337.0,3415.85,321267,1085892105.45,22375,"60,95025,74420,53471,17922,032",3425.1,3381.4839999999995,GRASIM,EQ
2014-12-22,3395.0,3425.0,3305.2,3418.3,410903,1380763536.1,24257,"51,74171,33496,01013,07952,371",3418.7,3365.8839999999996,GRASIM,EQ
2014-12-29,3421.85,3514.9,3370.0,3420.2,239341,822913808.6,20197,"43,37554,7605,29611,048",3416.5,3427.395,GRASIM,EQ
2015-01-05,3410.0,3547.6,3370.0,3508.85,255785,882843373.4000001,16068,"9,58922,97927,39120,15467,620",3505.25,3432.832,GRASIM,EQ
2015-01-12,3487.0,3489.0,3341.9,3435.55,375897,1283279850.05,23170,"90,76094,80519,31325,50211,498",3439.0,3417.454,GRASIM,EQ
2015-01-19,3467.0,3715.0,3447.0,3652.5,406936,1470896323.0,32283,"40,05715,74949,98734,11827,943",3660.0,3614.4300000000003,GRASIM,EQ
2015-01-26,3686.95,3841.65,3654.0,3793.05,352169,1324021585.85,25379,"32,11866,19332,00358,361",3771.05,3758.1675,GRASIM,EQ
2015-02-02,3798.7,3975.0,3775.0,3808.3,507444,1966991793.2,42110,"90,77259,05344,57162,99625,432",3800.0,3876.0979999999995,GRASIM,EQ
2015-02-09,3821.9,3937.4,3686.15,3708.5,579171,2240596145.85,32791,"1,14,16545,5601,39,36661,09618,309",3720.0,3847.7300000000005,GRASIM,EQ
2015-02-16,3689.0,3931.5,3651.9,3855.25,405572,1555856802.25,26483,"33,85487,86069,11531,25019,284",3863.0,3839.648,GRASIM,EQ
2015-02-23,3856.0,3900.0,3652.35,3695.7,322656,1227298904.5,17846,"64,43689,94018,66637,353",3662.6,3795.5550000000003,GRASIM,EQ
2015-03-02,3689.0,4007.55,3580.65,3987.3,579646,2174787793.5,45736,"22,75417,79175,80563,40129,64554,615",3978.1,3729.4983333333334,GRASIM,EQ
2015-03-09,3980.0,4024.85,3700.0,3710.45,341821,1324425205.35,34293,"69,78331,65238,55937,540",3708.95,3859.935,GRASIM,EQ
