Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1268.8,1269.9,1240.15,1250.65,1471753,1847005891.85,95179,"52,8411,14,4824,08,3312,02,745",1250.5,1254.8725,HCLTECH,EQ
2014-01-13,1256.0,1353.0,1242.15,1343.35,4902525,6307988422.55,319155,"7,24,5783,27,4854,80,6125,95,8596,34,979",1350.0,1281.54,HCLTECH,EQ
2014-01-20,1342.5,1437.0,1315.0,1430.6,8643645,11894341204.1,425804,"3,81,0016,02,63411,66,3859,80,66410,06,222",1430.85,1365.944,HCLTECH,EQ
2014-01-27,1432.15,1458.55,1396.6,1424.5,7968103,11363634786.35,536581,"13,32,47813,14,1539,31,4846,39,7129,34,745",1424.95,1424.3700000000001,HCLTECH,EQ
2014-02-03,1419.0,1471.15,1398.1,1452.9,4549013,6516808879.8,280256,"5,69,8503,67,2208,15,0686,16,7083,31,563",1451.1,1434.646,HCLTECH,EQ
2014-02-10,1434.5,1438.0,1364.0,1416.15,6276054,8760909656.7,358406,"5,92,60611,06,3407,33,1716,87,7906,40,596",1419.95,1398.126,HCLTECH,EQ
2014-02-17,1415.0,1522.0,1415.0,1502.4,7019424,10429794988.45,411872,"12,10,83512,93,7438,98,9247,30,1623,33,571",1503.6,1489.85,HCLTECH,EQ
2014-02-24,1508.0,1546.4,1467.35,1530.2,4498475,6749844696.9,284484,"4,32,1044,11,8135,60,0535,94,1133,12,024",1528.7,1499.158,HCLTECH,EQ
2014-03-03,1538.95,1590.0,1491.8,1504.65,8421050,13076227278.95,348610,"4,10,7549,72,87032,95,08715,02,693",1503.9,1549.17,HCLTECH,EQ
2014-03-10,1512.0,1525.0,1437.5,1441.05,10275316,15149388913.1,490668,"10,34,51113,11,92312,43,73815,10,96118,60,295",1441.0,1475.848,HCLTECH,EQ
2014-03-17,1441.05,1479.0,1405.45,1416.85,5870290,8500920177.3,255587,"12,18,3716,73,8309,26,7208,68,743",1417.0,1447.715,HCLTECH,EQ
2014-03-24,1425.0,1456.7,1371.25,1414.35,7008266,9930280195.35,345142,"7,65,7979,60,6097,06,68812,17,18620,8045,91,044",1412.3,1420.0566666666666,HCLTECH,EQ
2014-03-31,1411.1,1429.5,1381.0,1390.7,6294120,8801164575.25,345902,"8,32,5108,80,75814,31,3787,14,1496,33,037",1394.0,1398.8799999999999,HCLTECH,EQ
2014-04-07,1410.0,1440.3,1383.65,1406.45,6004154,8510216595.75,344230,"8,89,3258,76,7179,20,2127,60,4377,15,039",1406.2,1416.534,HCLTECH,EQ
2014-04-14,1395.5,1405.0,1335.0,1400.65,5057337,6944653137.75,283489,"14,02,3409,41,12010,37,721",1402.9,1372.6766666666665,HCLTECH,EQ
2014-04-21,1407.0,1452.8,1397.9,1439.7,5375507,7651951394.8,286801,"9,50,0466,66,9836,78,7185,67,219",1440.0,1424.6825,HCLTECH,EQ
2014-04-28,1431.1,1463.8,1415.6,1419.6,4952125,7150729726.95,247078,"6,38,95311,90,7787,59,9595,13,297",1420.45,1443.8325,HCLTECH,EQ
2014-05-05,1421.0,1438.4,1373.0,1381.8,2680642,3781039390.7,137462,"3,34,6063,09,3981,95,5983,40,414",1379.0,1410.725,HCLTECH,EQ
2014-05-12,1381.15,1403.5,1312.1,1394.4,5016035,6810988875.3,254835,"3,56,0787,39,2264,09,7446,21,3746,90,048",1396.0,1359.442,HCLTECH,EQ
2014-05-19,1396.65,1447.95,1256.0,1307.2,5792839,7903409335.5,283582,"3,34,3355,65,8843,98,1899,06,56510,35,153",1309.0,1383.024,HCLTECH,EQ
2014-05-26,1300.0,1399.0,1263.45,1386.2,6475597,8603247089.2,252254,"12,36,7756,12,3017,44,2597,00,6185,27,722",1393.8,1332.7040000000002,HCLTECH,EQ
2014-06-02,1392.0,1455.0,1367.55,1382.8,4913886,6934212055.650001,278469,"3,83,9717,73,3407,73,4164,87,7533,71,508",1385.9,1408.334,HCLTECH,EQ
2014-06-09,1385.0,1390.0,1301.6,1367.7,6119823,8156274133.7,290897,"7,11,4319,87,7436,96,1529,73,0517,17,432",1362.0,1333.844,HCLTECH,EQ
2014-06-16,1372.0,1448.0,1364.3,1422.45,5233077,7392826182.0,308209,"5,13,2894,26,2085,87,2416,30,9947,36,915",1418.8,1410.9360000000001,HCLTECH,EQ
