Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,684.4,684.4,650.0,664.75,6274508,4162954236.65,80124,"75,0006,92,7569,21,8529,22,5159,34,1311,50,000",-,666.8966666666666,HDFCBANK,IL
2014-01-13,667.1,676.95,653.3,672.85,6864740,4564994451.0,115444,"11,37,0286,93,2105,20,65458,0008,03,0015,82,579",674.00,664.8183333333333,HDFCBANK,IL
2014-01-20,669.05,688.0,659.05,670.05,15962965,10678938915.699999,171911,"4,75,00431,0005,35,7345,00,5802,11,6253,00,00064,01,7177,37,039",669.85,675.9549999999999,HDFCBANK,IL
2014-01-27,672.95,687.0,645.6,649.2,12883305,8624168412.6,141703,"9,83,7148,81,04917,15,46810,56,19315,74,58928,17,731",655.00,673.74,HDFCBANK,IL
2014-02-03,650.0,656.0,625.1,626.5,15787922,10101462778.75,194544,"13,45,45231,56,7902,54,74121,79,15820,86,17316,96,5486,38,239",626.40,639.6842857142857,HDFCBANK,IL
2014-02-10,620.5,654.5,616.8,643.9,9687096,6179150559.650001,140053,"1,64,11610,56,87810,85,25822,18,4365,76,59511,14,840",644.50,635.79,HDFCBANK,IL
2014-02-17,646.0,652.8,629.35,650.4,5592848,3598661628.8,94451,"7,88,07434,97011,47,5183,79,1164,76,21268,8164,43,204",651.45,644.7971428571428,HDFCBANK,IL
2014-02-24,648.5,673.0,647.4,671.0,5147978,3418619719.1,79490,"6,95,0705,58,5865,48,5334,30,3896,57,703",672.00,664.1659999999999,HDFCBANK,IL
2014-03-03,670.0,682.9,663.2,666.2,4388479,2944276957.55,79108,"1,00,0005,82,7027,81,4436,45,1405,15,001",665.25,670.64,HDFCBANK,IL
2014-03-10,666.0,768.0,662.5,768.0,20135986,14107528982.95,206235,"10,84,5711,71,2283,60,3307,29,00731,18,45235,08,5121,82,00042,80,6535,91,568",-,691.9988888888888,HDFCBANK,IL
2014-03-17,734.5,790.0,716.5,732.15,11631554,8546844814.35,137346,"19,57,30353,4278,52,1985,36,22214,73,9401,00,00020,47,601",732.30,749.5085714285714,HDFCBANK,IL
2014-03-24,779.0,791.0,728.0,750.65,10402509,7714691071.25,122384,"-13,36,9299,93,7912,75,0001,07,4698,30,41012,76,56238,52719,45,347",752.75,752.4222222222222,HDFCBANK,IL
2014-03-31,750.0,797.5,735.05,748.8,16063536,12037561071.3,160072,"11,69,7323,80,00016,38,416-30,64,37720,37,85311,22,975",748.25,760.3385714285714,HDFCBANK,IL
2014-04-07,751.5,761.0,720.05,749.0,11265773,8238983141.75,127382,"10,13,209-14,99,7857,02,04312,00,68421,30,5404,57,763",-,737.9357142857143,HDFCBANK,IL
2014-04-14,728.05,775.05,721.75,738.15,6593183,4877912446.8,84952,"15,13,5396,63,3081,01,60610,58,3976,64,213",738.80,748.634,HDFCBANK,IL
2014-04-21,734.3,738.8,707.3,716.45,9608585,6940130617.8,126497,"11,36,3044,53,65719,56,75718,00,00010,90,597",715.10,723.868,HDFCBANK,IL
2014-04-28,721.9,763.0,717.4,725.2,11093027,8089885866.55,136855,"11,69,37018,50031,21,0738,38,2061,95,4097,65,355",726.40,737.775,HDFCBANK,IL
2014-05-05,758.0,758.0,711.65,716.7,7663608,5544036721.5,111635,"2,95,5008,97,58711,78,0097,34,1658,96,8897,87,394",717.50,730.0500000000001,HDFCBANK,IL
