Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,668.0,674.75,650.0,661.7,6049508,4011985486.65,80120,"6,92,7569,21,8529,22,5159,34,131",662.25,663.3025,HDFCBANK,EQ
2014-01-13,667.1,676.95,653.3,672.85,6806740,4526543351.0,115443,"11,37,0286,93,2105,20,6548,03,0015,82,579",674.0,665.192,HDFCBANK,EQ
2014-01-20,669.05,685.0,659.05,670.05,15420340,10310597540.699999,171905,"4,75,0045,35,7345,00,58064,01,7177,37,039",669.85,673.326,HDFCBANK,EQ
2014-01-27,672.95,684.7,645.6,649.2,11167837,7452696229.4,141673,"9,83,7148,81,04910,56,19315,74,58928,17,731",655.0,671.9100000000001,HDFCBANK,EQ
2014-02-03,648.0,656.0,625.1,626.5,13797403,8811898858.75,194515,"31,56,79021,79,15820,86,17316,96,5486,38,239",626.4,636.426,HDFCBANK,EQ
2014-02-10,621.65,654.5,616.8,643.9,9522980,6077270523.650001,140050,"10,56,87810,85,25822,18,4365,76,59511,14,840",644.5,638.792,HDFCBANK,EQ
2014-02-17,646.0,652.8,629.35,650.4,5489062,3531200728.8,94449,"7,88,07411,47,5183,79,1164,76,2124,43,204",651.45,642.716,HDFCBANK,EQ
2014-02-24,648.5,673.0,647.4,671.0,5147978,3418619719.1,79490,"6,95,0705,58,5865,48,5334,30,3896,57,703",672.0,664.1659999999999,HDFCBANK,EQ
2014-03-03,674.0,682.9,663.2,666.2,4288479,2877276957.55,79107,"5,82,7027,81,4436,45,1405,15,001",665.25,670.8,HDFCBANK,EQ
2014-03-10,666.0,736.9,662.5,734.45,16072738,11312880740.45,206085,"10,84,5713,60,3307,29,00735,08,51242,80,653",736.5,687.42,HDFCBANK,EQ
2014-03-17,734.5,749.5,716.5,732.15,10941905,8007946169.05,137323,"19,57,3038,52,19814,73,94020,47,601",732.3,731.4125,HDFCBANK,EQ
2014-03-24,735.4,752.9,728.0,750.65,9753981,7205772052.35,122372,"13,36,9299,93,7918,30,41012,76,56238,52719,45,347",752.75,736.4933333333333,HDFCBANK,EQ
2014-03-31,750.0,760.75,735.05,748.8,15604666,11672594599.3,160066,"11,69,73216,38,41630,64,37720,37,85311,22,975",748.25,748.204,HDFCBANK,EQ
2014-04-07,751.5,753.55,720.05,725.35,10791463,7882854194.25,127374,"10,13,20914,99,7857,02,04312,00,68421,30,540",723.4,730.792,HDFCBANK,EQ
2014-04-14,728.05,748.65,721.75,738.15,5805782,4279960523.95,84875,"15,13,53910,58,3976,64,213",738.8,738.0833333333334,HDFCBANK,EQ
2014-04-21,734.3,738.8,707.3,716.45,7808585,5617130617.8,126411,"11,36,3044,53,65719,56,75710,90,597",715.1,721.085,HDFCBANK,EQ
2014-04-28,721.9,739.45,717.4,725.2,10879118,7926857374.55,136852,"11,69,37031,21,0738,38,2067,65,355",726.4,727.65,HDFCBANK,EQ
2014-05-05,726.4,729.9,711.65,716.7,6633943,4770967486.5,111616,"8,97,58711,78,0098,96,8897,87,394",717.5,718.98,HDFCBANK,EQ
2014-05-12,720.2,794.85,711.45,792.15,13560354,10136698103.65,196752,"9,62,84611,54,36812,78,04125,56,63426,26,507",791.9,736.838,HDFCBANK,EQ
2014-05-19,800.0,854.0,766.05,811.9,18506019,15045697147.15,229099,"15,89,11112,62,64213,59,37041,90,98412,49,712",809.85,802.0,HDFCBANK,EQ
2014-05-26,816.0,821.6,782.7,797.15,11255011,9010441871.8,162015,"7,53,6024,27,9559,23,16913,64,30330,37,295",800.0,803.2180000000001,HDFCBANK,EQ
2014-06-02,800.0,830.75,730.0,819.4,19137443,15425251814.0,242870,"11,54,35124,81,47522,95,12157,30,55311,67,117",818.5,808.4680000000001,HDFCBANK,EQ
