Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,2083.0,2119.0,2055.0,2068.9,758683,1584309923.8,53168,"28,44857,1521,54,31293,775",2068.0,2087.9675,HEROMOTOCO,EQ
2014-01-13,2071.1,2095.65,2021.0,2037.0,1158076,2386337720.35,103446,"1,30,1911,31,21876,2921,08,9361,44,842",2036.0,2061.5119999999997,HEROMOTOCO,EQ
2014-01-20,2036.0,2108.95,2026.45,2086.0,1123517,2331470145.85,85306,"1,36,90262,38580,18895,0741,92,070",2084.0,2073.78,HEROMOTOCO,EQ
2014-01-27,2091.1,2104.0,2007.45,2016.75,1394729,2849237711.3999996,83343,"90,9411,33,2011,11,7451,90,9344,96,988",2022.0,2051.772,HEROMOTOCO,EQ
2014-02-03,2014.7,2094.0,1951.0,1962.0,2126300,4269125332.85,134620,"1,41,0821,84,7423,76,2343,75,18847,660",1953.2,2010.9579999999999,HEROMOTOCO,EQ
2014-02-10,1950.0,2019.9,1939.2,1999.75,970239,1923420023.75,86456,"1,72,6931,26,3351,29,1621,21,11919,318",1995.25,1986.268,HEROMOTOCO,EQ
2014-02-17,2005.1,2014.95,1912.2,1972.75,1384149,2716056316.4,126235,"2,08,34847,82179,8532,06,2432,39,575",1975.0,1964.244,HEROMOTOCO,EQ
2014-02-24,1985.0,1997.7,1907.1,1949.5,1328902,2589489101.6,113854,"1,55,6072,21,9702,86,2371,39,83044,117",1946.55,1947.422,HEROMOTOCO,EQ
2014-03-03,1952.0,1993.8,1930.3,1956.35,908291,1779142142.35,88118,"75,3381,79,5052,24,60991,514",1956.65,1956.5825,HEROMOTOCO,EQ
2014-03-10,1946.0,2057.0,1939.0,2015.95,1739743,3472163936.7,103800,"1,15,1192,24,6651,90,0573,98,8392,55,760",2012.4,1990.708,HEROMOTOCO,EQ
2014-03-17,2025.25,2140.6,1999.0,2124.35,1942896,4025063524.35,90741,"2,68,1853,44,5193,98,7622,18,701",2120.0,2069.285,HEROMOTOCO,EQ
2014-03-24,2126.0,2149.45,2057.0,2120.0,1660564,3489351215.65,97325,"1,92,55487,5621,92,0513,07,9692,26990,701",2116.65,2098.5466666666666,HEROMOTOCO,EQ
2014-03-31,2117.0,2300.0,2112.5,2274.8,2132056,4727902375.7,147865,"1,56,4131,96,6835,21,4981,61,0251,15,365",2275.0,2218.442,HEROMOTOCO,EQ
2014-04-07,2274.8,2284.75,2214.0,2239.35,1124785,2524288951.8,102918,"76,6081,16,6521,34,39075,9272,53,613",2236.0,2246.9620000000004,HEROMOTOCO,EQ
2014-04-14,2254.0,2254.9,2164.7,2174.05,1108644,2451606984.8,94883,"2,70,5463,22,5971,98,805",2171.0,2208.2566666666667,HEROMOTOCO,EQ
2014-04-21,2174.05,2248.1,2123.05,2245.05,875345,1925229041.1,65940,"1,83,3571,13,78664,38096,382",2246.8,2203.6099999999997,HEROMOTOCO,EQ
2014-04-28,2250.0,2296.0,2155.2,2161.1,870375,1947328386.5,62426,"1,00,4181,74,4781,11,75193,036",2162.5,2229.9575,HEROMOTOCO,EQ
2014-05-05,2163.4,2224.95,2140.0,2208.1,724308,1581453649.75,54622,"70,2442,16,57149,40769,236",2203.95,2184.0575,HEROMOTOCO,EQ
2014-05-12,2193.5,2310.0,2115.05,2302.8,973064,2138152833.15,59866,"36,1701,62,2741,47,87596,1921,16,475",2309.1,2193.0240000000003,HEROMOTOCO,EQ
2014-05-19,2319.0,2787.7,2305.05,2448.4,2192664,5395535769.5,135548,"1,20,0151,86,7171,87,4803,78,9132,62,148",2432.75,2446.866,HEROMOTOCO,EQ
2014-05-26,2410.0,2432.7,2282.7,2300.45,1518966,3564180125.7,106736,"1,77,6692,95,3971,78,5571,12,7501,45,331",2305.0,2345.8540000000003,HEROMOTOCO,EQ
2014-06-02,2280.25,2402.95,2260.5,2385.35,2453496,5766087789.3,131979,"46,2084,49,6244,12,4274,46,6562,61,152",2390.95,2345.6099999999997,HEROMOTOCO,EQ
2014-06-09,2415.0,2754.55,2387.0,2724.2,2414496,6230502671.5,182583,"2,25,0842,17,9192,54,4743,68,3521,83,790",2715.0,2576.91,HEROMOTOCO,EQ
