Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,122.6,125.65,117.1,118.25,18983033,2298880356.3,96883,"15,40,86527,09,5699,59,1269,08,114",117.95,120.58,HINDALCO,EQ
2014-01-13,118.15,118.95,108.5,110.0,28550076,3234417297.8,164706,"16,98,21519,92,02422,28,45346,70,31812,72,240",110.8,113.516,HINDALCO,EQ
2014-01-20,110.0,114.0,108.75,112.1,20926766,2339713782.15,126966,"10,88,10315,70,34015,61,87022,06,0109,20,537",112.4,111.69200000000001,HINDALCO,EQ
2014-01-27,112.45,115.4,109.3,111.1,26658507,3009142760.25,132906,"10,80,67925,30,50014,98,74137,55,88762,64,901",111.45,113.2,HINDALCO,EQ
2014-02-03,110.0,115.0,103.0,103.45,28163897,3079482806.1499996,131830,"14,86,12323,16,87426,39,92958,80,72422,16,541",103.1,109.572,HINDALCO,EQ
2014-02-10,102.0,107.7,99.8,106.8,46011866,4786888265.3,212060,"86,19,00645,55,56363,40,60549,48,54111,22,114",106.7,104.624,HINDALCO,EQ
2014-02-17,106.9,107.1,97.65,98.5,35203357,3572407230.5,272281,"13,68,21228,44,26455,67,45722,72,72034,91,263",98.75,101.762,HINDALCO,EQ
2014-02-24,98.7,100.5,96.7,97.45,30995422,3052037550.05,151838,"42,86,00815,00,83911,79,99044,55,65640,93,509",96.75,98.38199999999999,HINDALCO,EQ
2014-03-03,97.15,107.35,97.0,105.6,63528702,6474514323.55,292176,"1,18,97,22183,84,3201,82,30,77261,15,298",105.65,101.745,HINDALCO,EQ
2014-03-10,105.4,125.85,105.4,121.95,69577867,8172933022.55,406151,"74,11,85353,31,26790,42,33565,62,89246,09,222",121.55,117.77000000000001,HINDALCO,EQ
2014-03-17,121.9,121.9,113.5,115.2,36005586,4200318219.65,182721,"85,42,67836,19,59427,37,03529,47,185",115.05,116.2825,HINDALCO,EQ
2014-03-24,116.0,124.0,114.05,121.6,49726855,5949505346.0,315470,"52,35,38781,01,88628,93,92254,80,8451,74,99024,86,290",121.25,119.96166666666666,HINDALCO,EQ
2014-03-31,120.95,142.95,120.25,141.75,66963578,8736690084.2,441470,"46,93,31862,81,80734,08,78836,04,9661,36,82,704",141.0,127.676,HINDALCO,EQ
2014-04-07,142.0,142.5,133.3,137.35,43059082,5905206381.4,358532,"42,90,22851,03,98534,91,36322,26,63113,48,544",137.6,137.082,HINDALCO,EQ
2014-04-14,138.0,145.1,137.8,140.7,24271711,3453961895.9,180528,"37,87,13326,08,07714,10,144",140.15,142.16,HINDALCO,EQ
2014-04-21,140.7,144.5,131.6,143.5,26495433,3652103808.8,161392,"21,20,48229,83,97435,53,47014,52,497",143.55,138.32999999999998,HINDALCO,EQ
2014-04-28,142.0,147.2,140.3,141.25,19489926,2802978081.75,136671,"13,59,73016,20,19310,23,97714,79,677",141.25,143.7825,HINDALCO,EQ
2014-05-05,141.0,143.0,129.85,138.9,27464646,3730733727.0,149705,"15,36,50435,42,00714,82,90417,49,081",138.4,135.725,HINDALCO,EQ
2014-05-12,139.4,144.8,134.3,143.4,27392924,3838068205.6,168466,"9,51,19510,23,7619,39,49124,39,35630,77,894",142.65,139.224,HINDALCO,EQ
