Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,570.65,575.75,558.05,563.5,2404764,1358281104.35,46089,"1,00,8733,05,5057,45,3604,65,931",563.95,566.2,HINDUNILVR,EQ
2014-01-13,563.0,565.9,543.5,545.7,4498774,2486149261.55,132061,"4,30,4363,58,4226,14,2947,10,80911,71,924",546.0,554.524,HINDUNILVR,EQ
2014-01-20,545.1,563.0,537.2,555.1,7231536,3976504913.85,156437,"6,04,21016,33,5168,17,01610,85,15412,38,153",556.0,549.6379999999999,HINDUNILVR,EQ
2014-01-27,555.8,584.9,548.8,575.25,10263033,5783542420.2,184300,"11,17,74614,15,0015,61,03719,68,33616,31,896",580.15,563.008,HINDUNILVR,EQ
2014-02-03,581.0,581.65,554.5,569.75,8371681,4748548865.25,116782,"25,62,7866,46,0138,26,3038,13,9855,03,950",569.0,568.476,HINDUNILVR,EQ
2014-02-10,568.1,589.65,561.6,564.0,8218000,4709431478.1,174357,"16,12,78420,89,42110,30,5145,00,6718,82,595",563.65,573.924,HINDUNILVR,EQ
2014-02-17,565.0,572.0,553.3,560.25,4843827,2732146706.7000003,122590,"11,74,21814,33,1962,70,1254,45,5621,76,978",559.7,562.928,HINDUNILVR,EQ
2014-02-24,560.0,566.0,551.85,554.9,2555533,1422367646.95,71888,"1,16,3762,79,3984,97,3285,08,3453,69,751",554.4,557.53,HINDUNILVR,EQ
2014-03-03,555.5,559.5,542.0,543.2,3960883,2181166258.5,100198,"4,13,4597,68,99813,75,0553,77,641",543.05,551.125,HINDUNILVR,EQ
2014-03-10,544.0,559.8,544.0,557.2,5041272,2786940787.05,111849,"4,27,1863,32,6377,36,6687,31,62511,63,106",556.45,552.482,HINDUNILVR,EQ
2014-03-17,558.8,567.2,551.55,553.65,5191094,2903079218.1,117012,"13,81,0645,48,9946,96,3139,21,801",554.5,559.695,HINDUNILVR,EQ
2014-03-24,554.0,584.0,550.6,582.35,7723745,4390109758.25,167286,"11,12,2077,94,1169,13,06218,78,69919,7756,03,042",580.9,568.8433333333334,HINDUNILVR,EQ
2014-03-31,583.0,608.85,577.5,605.55,7042905,4202321160.0,147775,"9,79,9206,74,17519,73,5466,02,8427,93,344",605.6,596.346,HINDUNILVR,EQ
2014-04-07,605.0,613.5,588.0,604.8,6698782,4014189165.95,138631,"4,13,81924,95,7254,19,5484,08,96111,84,831",607.5,600.866,HINDUNILVR,EQ
2014-04-14,604.0,619.8,599.55,609.4,2651902,1620963466.5500002,77944,"4,64,8518,22,1784,35,737",608.85,610.6966666666667,HINDUNILVR,EQ
2014-04-21,609.0,619.2,594.15,599.1,4522187,2744267588.9,143150,"5,01,1649,16,4057,26,1608,30,799",597.0,606.6800000000001,HINDUNILVR,EQ
2014-04-28,599.0,604.0,567.5,581.0,6201701,3634218416.65,120551,"5,18,7189,12,6375,57,5959,03,539",580.0,588.98,HINDUNILVR,EQ
2014-05-05,581.0,582.1,556.0,557.15,4493416,2537404155.4,136694,"7,89,54911,05,1473,37,1953,99,206",557.0,564.1575,HINDUNILVR,EQ
2014-05-12,559.0,573.0,550.25,571.5,4722086,2631666881.3,82724,"3,47,5599,16,7906,41,1718,09,6974,82,038",569.9,557.522,HINDUNILVR,EQ
2014-05-19,574.0,608.0,551.55,555.8,7857795,4552633165.1,186002,"8,29,8764,13,2787,70,67415,34,15514,46,877",551.95,578.804,HINDUNILVR,EQ
