Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1100.9,1118.0,1035.05,1040.8,8144391,8689552194.0,202975,"1,39,2407,75,10011,38,18614,03,503",1043.0,1074.9625,ICICIBANK,EQ
2014-01-13,1045.05,1065.6,1018.65,1054.9,17559614,18368543481.45,522247,"12,93,38617,93,39021,40,31119,81,62919,47,243",1060.3,1046.374,ICICIBANK,EQ
2014-01-20,1052.0,1068.8,1028.0,1044.0,11838025,12430525264.65,291286,"18,17,89019,13,7615,44,6217,62,3089,66,182",1046.3,1049.236,ICICIBANK,EQ
2014-01-27,1053.0,1091.0,1007.25,1009.8,13845193,14569941668.55,400678,"14,33,63410,90,9559,51,7769,47,40434,17,724",1011.0,1061.4940000000001,ICICIBANK,EQ
2014-02-03,1010.7,1038.3,955.4,963.5,20841945,20696392022.05,518709,"19,45,03919,02,30330,20,63012,42,11121,55,032",962.0,990.8119999999999,ICICIBANK,EQ
2014-02-10,949.85,978.65,943.6,960.55,14722506,14136515615.3,430829,"12,75,16714,24,57621,86,02113,72,1618,77,859",957.95,960.816,ICICIBANK,EQ
2014-02-17,964.9,1013.85,962.0,1009.15,15772325,15583198375.5,392091,"11,40,37924,88,33131,07,04112,99,88113,80,860",1012.0,986.11,ICICIBANK,EQ
2014-02-24,1012.0,1043.8,1004.3,1036.2,10974073,11282345319.2,397814,"18,28,43910,22,4719,87,9226,58,7769,56,405",1036.3,1026.9940000000001,ICICIBANK,EQ
2014-03-03,1043.8,1051.0,1021.4,1029.8,10764889,11162431516.7,388491,"16,04,30410,79,02517,72,52018,44,207",1027.0,1036.8175,ICICIBANK,EQ
2014-03-10,1032.0,1230.0,1032.0,1193.6,26986050,31150173867.35,737618,"12,69,38522,44,15626,19,08441,21,38448,54,059",1190.9,1132.4279999999999,ICICIBANK,EQ
2014-03-17,1198.75,1241.5,1188.0,1215.0,19703655,23821352792.1,423875,"56,13,67818,67,07716,12,92626,61,086",1215.05,1210.6225,ICICIBANK,EQ
2014-03-24,1215.0,1248.9,1191.3,1242.2,17370081,21111078180.1,499373,"20,65,09321,03,72219,01,17825,25,05115,01519,81,533",1240.85,1212.325,ICICIBANK,EQ
2014-03-31,1238.0,1276.0,1234.0,1245.05,16350794,20554814667.1,450938,"15,61,48014,53,11641,59,3459,57,58015,68,928",1242.25,1256.114,ICICIBANK,EQ
2014-04-07,1252.3,1258.25,1202.4,1209.15,19657453,24181130273.800003,424849,"24,88,55825,24,72130,73,40714,64,97427,01,666",1208.5,1229.984,ICICIBANK,EQ
2014-04-14,1223.5,1269.85,1212.0,1236.05,11531570,14322499097.9,312668,"30,09,77423,06,31418,69,693",1238.0,1241.8066666666666,ICICIBANK,EQ
2014-04-21,1238.5,1291.9,1212.6,1282.0,10210948,12744863471.3,342962,"13,72,23010,98,87314,51,04118,67,415",1279.55,1244.9025,ICICIBANK,EQ
