Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,422.6,432.9,406.6,413.3,4722195,1965695665.25,103090,"1,73,2516,72,4737,75,8253,89,619",412.6,417.345,INDUSINDBK,EQ
2014-01-13,418.0,428.5,401.45,413.1,13652950,5672987395.45,233643,"5,58,1455,47,9746,31,67616,18,0648,61,268",414.15,416.192,INDUSINDBK,EQ
2014-01-20,411.0,437.0,410.9,433.6,6891716,2918521600.05,200013,"8,88,9737,74,1877,02,4995,67,1265,20,504",435.0,424.078,INDUSINDBK,EQ
2014-01-27,436.2,440.0,392.6,395.3,9014889,3748944590.25,238957,"4,74,1483,69,9385,55,37514,62,32121,58,309",396.35,423.814,INDUSINDBK,EQ
2014-02-03,397.5,400.35,369.5,382.3,10552447,4043300857.4,274828,"15,99,0038,61,93719,43,8908,66,8213,34,349",382.0,383.12,INDUSINDBK,EQ
2014-02-10,378.1,398.25,372.2,384.8,6992667,2718187560.85,135437,"7,78,5518,93,1284,29,8905,47,6443,11,438",384.4,388.87,INDUSINDBK,EQ
2014-02-17,384.9,391.0,371.75,381.75,5098427,1940939131.25,103843,"3,20,8854,68,2015,34,7436,82,0415,06,864",383.0,381.582,INDUSINDBK,EQ
2014-02-24,378.05,401.3,377.9,399.1,10026317,3904622582.45,205221,"9,75,9879,31,22430,62,8986,20,17913,81,046",400.5,390.082,INDUSINDBK,EQ
2014-03-03,403.95,406.75,390.35,392.25,5095871,2036478927.85,111302,"9,76,8915,62,5327,60,5243,11,890",391.25,399.10249999999996,INDUSINDBK,EQ
2014-03-10,391.5,470.9,391.5,468.65,14721193,6433084418.05,351438,"10,89,9458,12,51610,63,71719,79,86328,36,360",468.5,428.634,INDUSINDBK,EQ
2014-03-17,470.2,479.85,456.1,468.15,8968778,4204643356.1,251723,"13,96,9447,81,81010,18,8408,20,876",468.5,468.6225,INDUSINDBK,EQ
2014-03-24,470.0,493.5,467.85,490.3,11267198,5418379605.8,205047,"25,37,8028,00,1664,11,7006,35,74036,05518,45,001",491.3,477.74,INDUSINDBK,EQ
2014-03-31,494.45,509.5,484.8,501.85,11338175,5609872246.95,219372,"12,90,48413,55,44812,79,4518,87,55312,12,840",500.0,495.42600000000004,INDUSINDBK,EQ
2014-04-07,502.95,509.9,491.55,497.85,9047685,4517637698.25,162033,"5,39,80410,41,4548,04,78420,13,1544,89,888",498.0,499.066,INDUSINDBK,EQ
2014-04-14,503.3,520.5,488.35,490.15,5456183,2762938427.1,132053,"10,73,8857,70,6915,76,209",490.05,505.9533333333334,INDUSINDBK,EQ
2014-04-21,494.0,508.35,479.4,506.4,7691039,3792394268.5,120747,"2,58,5195,36,0925,83,1624,49,450",505.0,494.4125,INDUSINDBK,EQ
2014-04-28,506.0,507.65,488.75,493.85,6538385,3249467589.85,68065,"3,37,1597,96,5906,78,2306,73,325",494.8,496.85,INDUSINDBK,EQ
2014-05-05,495.0,498.9,471.0,480.35,5672107,2740103542.7,76122,"2,03,2634,65,1071,52,3642,14,943",479.75,483.06,INDUSINDBK,EQ
2014-05-12,481.55,536.0,478.25,521.3,8917703,4491132374.4,124306,"4,08,1144,13,7761,86,7128,09,0648,25,235",521.95,499.89400000000006,INDUSINDBK,EQ
2014-05-19,531.0,587.0,523.5,560.25,9753788,5408580970.0,152322,"5,88,2725,09,5757,51,84612,51,1468,26,729",558.15,550.892,INDUSINDBK,EQ
2014-05-26,569.0,581.0,540.45,550.05,9939471,5581878364.25,135610,"3,59,7244,11,2742,06,5676,19,8277,08,848",546.95,561.662,INDUSINDBK,EQ
2014-06-02,549.0,563.8,528.6,552.4,6486185,3552407203.3,140475,"3,98,2004,60,8739,05,0573,64,8766,11,847",552.6,547.7520000000001,INDUSINDBK,EQ
2014-06-09,553.0,561.0,531.55,557.15,4960295,2705753801.8999996,99355,"4,11,0831,72,0493,63,6273,85,8644,68,773",555.25,544.77,INDUSINDBK,EQ
2014-06-16,557.5,571.65,520.65,534.45,5146414,2843430404.75,97551,"3,63,0039,86,0471,00,5171,87,7792,61,463",532.0,549.0799999999999,INDUSINDBK,EQ
2014-06-23,533.0,569.9,531.0,567.45,6101041,3376632479.4,96146,"2,95,9413,02,5796,39,9248,02,4137,11,106",568.15,552.456,INDUSINDBK,EQ
2014-06-30,570.8,582.0,563.3,571.7,5250382,2998717712.35,71594,"3,99,1575,48,67911,94,3112,44,3793,25,577",571.1,571.7940000000001,INDUSINDBK,EQ
