Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,3492.0,3580.5,3454.25,3517.9,3378513,11889079039.900002,193720,"51,6583,42,6828,65,1918,98,450",3510.9,3504.315,INFY,EQ
2014-01-13,3519.05,3675.0,3417.85,3665.0,9584122,33853474223.9,606757,"7,12,1887,88,1388,88,04117,39,10814,48,502",3664.0,3512.822,INFY,EQ
2014-01-20,3645.0,3764.65,3640.45,3749.3,9699256,36113724363.6,460263,"5,78,81115,72,47418,85,09524,96,8059,49,324",3755.5,3715.5160000000005,INFY,EQ
2014-01-27,3750.0,3799.0,3711.2,3732.2,5219400,19615564208.3,332542,"11,55,1486,28,8207,09,9356,44,3138,22,022",3739.2,3760.232,INFY,EQ
2014-02-03,3707.0,3743.7,3624.8,3629.15,4893537,18056643080.1,248148,"14,73,9587,53,7925,90,1384,68,3574,34,049",3625.0,3688.3479999999995,INFY,EQ
2014-02-10,3581.0,3601.85,3541.0,3573.8,3526611,12593946828.2,256277,"3,59,4283,46,1204,93,1037,29,4425,88,179",3564.7,3569.932,INFY,EQ
2014-02-17,3584.0,3685.0,3573.5,3658.15,4145339,15058085727.1,183955,"5,56,1663,85,7812,99,9305,46,17611,61,548",3661.95,3619.2300000000005,INFY,EQ
2014-02-24,3647.0,3762.0,3647.0,3749.9,3841873,14309532358.6,201895,"5,06,7235,98,1049,26,1975,04,6964,49,587",3751.5,3724.25,INFY,EQ
2014-03-03,3755.0,3849.95,3755.0,3798.25,4061919,15445169946.25,214528,"8,20,8326,85,4829,51,6597,15,853",3795.0,3802.125,INFY,EQ
2014-03-10,3770.0,3849.95,3645.3,3671.6,5076618,19121381975.6,328603,"6,87,2634,46,8695,80,73015,79,2856,52,507",3680.0,3776.2019999999998,INFY,EQ
2014-03-17,3653.0,3708.9,3335.05,3394.15,7502850,25686514281.75,432381,"2,65,6483,27,20029,80,0749,00,661",3390.0,3528.855,INFY,EQ
2014-03-24,3400.0,3411.9,3238.75,3275.8,7069901,23379196135.35,480155,"11,45,53214,16,5295,02,7019,83,9647,9877,85,943",3275.6,3306.5983333333334,INFY,EQ
2014-03-31,3248.0,3304.95,3215.95,3282.8,5741219,18674636582.0,368566,"6,95,1527,66,08712,52,4155,98,8467,60,624",3287.0,3254.7599999999998,INFY,EQ
