Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,322.3,325.0,310.35,315.65,19199380,6065506154.3,217142,"6,40,34631,89,50760,92,99643,40,089",316.55,317.64,ITC,EQ
2014-01-13,316.5,326.3,312.65,325.45,25642799,8165688997.9,340795,"40,43,53039,88,20739,22,35036,66,70928,13,451",326.0,318.54200000000003,ITC,EQ
2014-01-20,326.0,330.9,321.35,330.2,27365165,8926912906.3,431536,"33,03,77241,90,65518,78,16840,20,97837,46,063",330.1,326.27799999999996,ITC,EQ
2014-01-27,330.25,332.35,318.65,324.2,26005373,8477051219.55,295942,"34,19,69060,55,57129,10,02620,21,88040,80,358",324.7,326.342,ITC,EQ
2014-02-03,324.15,328.5,318.0,320.3,35719552,11536635708.35,445482,"64,30,40944,72,29977,50,83452,97,87433,85,220",321.3,323.172,ITC,EQ
2014-02-10,318.5,327.0,315.9,325.0,34904423,11219943354.800001,332992,"64,64,16140,67,85558,84,49661,06,22633,04,103",325.0,321.52,ITC,EQ
2014-02-17,324.1,327.0,314.7,320.1,21067995,6769820498.3,306046,"35,19,42046,25,90217,45,56024,29,77120,89,012",320.2,320.834,ITC,EQ
2014-02-24,320.0,321.55,311.4,320.05,17952802,5686259584.5,276893,"28,72,66113,20,23035,20,43234,16,75420,62,332",319.05,317.066,ITC,EQ
2014-03-03,319.1,332.0,319.1,329.2,25727873,8420101970.9,265976,"27,33,64766,35,29259,40,66943,96,384",329.0,326.5875,ITC,EQ
2014-03-10,330.4,339.4,328.2,335.6,33395525,11155800445.199999,344751,"40,23,56928,86,21627,48,8411,12,75,47945,71,501",334.95,333.522,ITC,EQ
2014-03-17,335.4,348.15,328.8,347.2,21335766,7251575629.9,313182,"38,59,52046,12,75526,57,23331,97,269",347.55,340.4975,ITC,EQ
2014-03-24,350.0,363.3,347.65,360.65,36199963,12899011911.849998,396398,"66,11,80139,24,77055,92,83051,83,02649,33252,35,077",359.85,356.62166666666667,ITC,EQ
2014-03-31,359.0,365.0,349.65,352.85,46741614,16743020922.1,450858,"39,60,76171,79,2301,23,29,12045,69,94961,75,892",352.95,358.088,ITC,EQ
2014-04-07,353.5,353.6,340.35,345.45,44650907,15405531725.1,495937,"49,15,2031,37,93,51151,34,49652,60,76656,48,335",345.1,345.352,ITC,EQ
2014-04-14,345.6,349.7,340.35,343.5,20905456,7196867850.049999,203637,"44,31,90753,98,36460,18,034",342.5,344.3866666666666,ITC,EQ
2014-04-21,342.7,355.7,336.7,353.4,18870711,6552229352.5,262628,"27,51,83725,89,34139,70,07629,39,121",352.4,347.115,ITC,EQ
2014-04-28,352.9,356.0,340.0,342.0,20284127,7059735318.25,254814,"18,96,18152,74,22230,58,58535,98,088",341.6,347.6925,ITC,EQ
2014-05-05,341.0,345.5,338.5,344.7,15861486,5421811056.95,256096,"26,91,26629,24,14521,45,79531,22,826",344.65,341.7075,ITC,EQ
2014-05-12,346.0,360.0,340.6,359.15,27904540,9728639378.8,292628,"35,56,89236,68,91841,51,73234,11,06648,52,018",359.8,348.216,ITC,EQ
2014-05-19,360.0,387.5,336.5,338.1,62665149,22686955758.0,547962,"51,41,34849,07,30844,62,4551,81,31,8321,28,22,552",340.0,361.84000000000003,ITC,EQ
2014-05-26,342.0,355.0,334.55,344.65,35164002,12064619915.55,547547,"37,22,78855,27,96652,95,75832,24,77547,32,570",345.0,343.02,ITC,EQ
2014-06-02,345.0,348.0,335.4,336.65,33548091,11465991307.0,373131,"30,70,45731,86,43175,38,15153,62,85452,70,575",336.6,341.854,ITC,EQ
2014-06-09,333.3,340.85,326.0,337.95,49678224,16569154235.699999,448291,"49,56,24979,49,94495,54,52674,39,60259,35,258",338.4,333.91999999999996,ITC,EQ
2014-06-16,339.0,339.95,330.5,336.2,35411976,11844689363.8,527178,"43,10,62079,54,98546,81,26935,12,56746,43,168",335.9,334.68999999999994,ITC,EQ
2014-06-23,335.95,338.25,312.5,314.95,39877319,13035948994.45,458698,"23,06,22630,31,83044,07,07034,05,5731,38,68,160",317.5,332.236,ITC,EQ
2014-06-30,315.0,327.4,313.5,325.05,50755914,16233044755.15,670892,"78,38,99066,38,88058,13,70456,71,7721,29,24,319",326.0,319.158,ITC,EQ
2014-07-07,327.6,336.0,324.0,334.8,39877825,13160648739.199999,466199,"83,21,06445,39,24152,18,92251,30,12290,69,102",334.5,329.996,ITC,EQ
2014-07-14,334.0,350.5,331.5,344.95,67946740,23193345525.35,612033,"83,14,3661,30,35,8191,68,25,70760,18,56828,25,986",345.1,341.788,ITC,EQ
2014-07-21,345.5,350.0,340.0,349.85,22138690,7626986225.25,244267,"26,07,23840,57,43727,75,72427,32,96537,33,016",350.0,344.418,ITC,EQ
2014-07-28,351.0,359.2,349.15,357.2,22765829,8058877798.0,341573,"38,25,57435,26,70529,48,63535,54,50518,36,993",356.9,354.166,ITC,EQ
2014-08-04,360.4,364.5,348.15,354.5,24477062,8731432698.05,258818,"52,53,42351,30,55046,43,96926,55,095",354.05,356.1125,ITC,EQ
2014-08-11,356.0,357.2,343.2,347.7,17670485,6173391091.2,218086,"14,09,78829,25,69714,71,54216,14,97822,32,693",347.75,349.248,ITC,EQ
2014-08-18,349.7,361.85,343.5,350.65,18771752,6629627269.7,204077,"15,41,14346,27,52625,56,15725,51,379",350.2,352.405,ITC,EQ
2014-08-25,351.0,352.35,341.55,349.3,21006102,7283109286.95,304938,"36,81,79233,54,59627,03,62234,13,36014,38,972",349.2,346.63800000000003,ITC,EQ
2014-09-01,349.95,358.0,349.55,350.55,21841706,7721559135.05,264497,"22,45,90736,92,06565,72,72538,75,016",350.15,353.2775,ITC,EQ
2014-09-08,350.5,356.2,348.3,353.95,26387487,9275314286.3,300968,"32,69,30746,11,26941,24,65039,71,69030,96,800",353.55,351.606,ITC,EQ
2014-09-15,351.0,359.6,349.5,351.7,26141312,9238346288.85,367284,"24,96,61251,97,53741,15,95739,23,78332,00,218",351.55,353.56,ITC,EQ
2014-09-22,351.6,372.0,350.0,370.75,29623031,10633041355.1,441247,"37,60,87444,16,00024,76,27336,87,94050,20,634",371.0,358.148,ITC,EQ
2014-09-29,370.0,379.9,364.5,366.1,33403384,12489793021.6,434187,"61,87,50241,95,61762,07,78147,90,35510,46,876",366.5,373.002,ITC,EQ
2014-10-06,364.4,372.4,363.0,364.1,9171222,3364321291.15,118508,"43,97,83216,04,074",364.35,366.41999999999996,ITC,EQ
2014-10-13,362.7,368.3,347.2,350.55,23138338,8345528727.15,291341,"43,69,50041,67,65827,31,70518,50,52020,40,199",350.6,359.806,ITC,EQ
2014-10-20,350.55,359.9,343.45,352.0,26581089,9350615938.8,332398,"34,67,51562,33,19451,29,22940,94,174",351.8,351.5325,ITC,EQ
2014-10-27,352.1,353.0,348.0,349.55,13952667,4883522506.3,204634,"31,46,38644,23,0272,84,66429,73,513",349.1,350.095,ITC,EQ
