Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1019.8,1041.7,986.0,1034.3,3485795,3551687178.45,80199,"81,5677,34,5243,43,7893,61,093",1034.45,1016.0525,JSWSTEEL,EQ
2014-01-13,1035.45,1046.2,1007.8,1019.3,2993658,3065410016.75,104170,"3,32,2951,87,5791,66,8362,04,7942,55,870",1016.3,1023.534,JSWSTEEL,EQ
2014-01-20,1015.0,1026.0,981.5,987.0,2818766,2832732944.45,99046,"1,81,7183,98,1342,40,2961,27,5441,32,857",984.25,1004.4540000000001,JSWSTEEL,EQ
2014-01-27,990.5,1007.35,908.65,914.7,2449844,2382893284.55,96222,"81,75470,8901,66,6882,61,7932,81,221",915.1,977.472,JSWSTEEL,EQ
2014-02-03,915.25,946.5,847.3,852.6,4744994,4306796412.2,152898,"2,72,3661,35,9243,95,9973,24,1931,89,822",850.0,908.314,JSWSTEEL,EQ
2014-02-10,839.0,883.0,826.25,849.95,4147166,3540300993.3,118384,"96,52173,3212,31,0064,29,8032,44,530",843.15,852.8,JSWSTEEL,EQ
2014-02-17,853.5,866.45,804.0,846.45,2655438,2223481899.75,95750,"1,89,6731,24,1881,23,41682,77465,643",857.0,838.392,JSWSTEEL,EQ
2014-02-24,855.95,898.6,852.5,882.8,2992094,2616459290.85,86244,"1,50,67234,4221,36,07276,8232,29,388",880.05,873.756,JSWSTEEL,EQ
2014-03-03,882.85,894.4,846.05,868.8,3111689,2693106017.65,97273,"3,42,7093,58,7763,13,8261,37,643",867.8,866.2675,JSWSTEEL,EQ
2014-03-10,868.0,981.65,866.15,972.3,4265002,3921148415.75,126801,"1,99,7131,68,5752,11,6432,23,4172,34,479",977.6,915.9799999999999,JSWSTEEL,EQ
2014-03-17,978.0,978.95,914.4,939.4,2791203,2631277446.5,99993,"1,98,0081,16,1612,19,6501,49,957",940.1,942.405,JSWSTEEL,EQ
2014-03-24,943.25,999.0,940.8,979.25,3631875,3515855584.1,114536,"1,54,7521,34,90292,0762,34,9436,38376,006",976.6,969.8449999999999,JSWSTEEL,EQ
2014-03-31,975.5,1047.45,975.5,1036.05,4429931,4445924620.95,153665,"1,50,2941,61,0416,31,6221,37,3664,32,196",1035.95,999.5559999999999,JSWSTEEL,EQ
2014-04-07,1044.7,1074.0,1003.55,1058.5,3796802,3959545541.1,126963,"98,3862,60,4942,63,1951,55,7781,85,485",1052.1,1043.622,JSWSTEEL,EQ
2014-04-14,1061.25,1085.0,1052.0,1059.8,1868698,1989181887.25,56335,"2,02,3291,05,6243,65,700",1060.1,1065.8866666666665,JSWSTEEL,EQ
2014-04-21,1060.0,1110.0,995.85,1098.1,2602529,2712278171.85,83265,"2,44,2392,00,6441,65,9781,93,436",1093.0,1040.58,JSWSTEEL,EQ
2014-04-28,1098.9,1135.55,1087.2,1115.1,2500172,2782290024.2,87088,"2,30,1541,50,84899,0381,36,126",1112.8,1114.12,JSWSTEEL,EQ
2014-05-05,1115.0,1118.0,1045.6,1104.7,2545819,2762095146.15,98848,"1,16,0822,92,7421,50,2091,36,547",1101.0,1085.475,JSWSTEEL,EQ
2014-05-12,1110.0,1168.7,1083.25,1162.25,2461609,2761183440.55,115999,"87,68467,94170,1952,46,9713,63,114",1155.35,1114.712,JSWSTEEL,EQ
2014-05-19,1169.7,1260.0,1141.8,1242.55,3031050,3606736184.25,121303,"1,90,7991,18,4231,58,9894,47,5802,66,711",1258.0,1184.926,JSWSTEEL,EQ
2014-05-26,1256.95,1295.4,1200.9,1239.95,2340307,2905646009.4,90757,"1,99,2131,56,66561,1902,31,2531,21,684",1233.0,1237.632,JSWSTEEL,EQ
2014-06-02,1240.0,1250.0,1171.35,1226.35,2962622,3599381369.6,135876,"1,08,2943,03,7552,26,4543,59,4411,71,557",1229.85,1216.2540000000001,JSWSTEEL,EQ
2014-06-09,1231.2,1315.0,1231.05,1302.6,4115353,5268391964.25,146248,"3,34,2701,71,0793,46,8615,77,0371,50,677",1298.85,1282.192,JSWSTEEL,EQ
2014-06-16,1315.0,1326.95,1224.2,1244.55,2789317,3591104391.05,137051,"2,83,9272,08,2602,01,1471,37,1172,16,552",1238.1,1286.038,JSWSTEEL,EQ
2014-06-23,1240.1,1284.4,1213.3,1240.55,2468090,3069669013.7,134938,"1,18,7731,51,8101,10,7822,84,3502,12,274",1242.75,1244.234,JSWSTEEL,EQ
2014-06-30,1245.25,1261.15,1216.0,1236.8,2146982,2657389436.7,88428,"1,33,3471,47,9862,80,4822,33,5662,48,785",1238.0,1238.496,JSWSTEEL,EQ
2014-07-07,1240.2,1309.0,1226.3,1233.5,2347459,2982456811.75,89730,"1,48,5951,27,57287,51335,4593,27,899",1236.45,1275.086,JSWSTEEL,EQ
2014-07-14,1234.8,1247.65,1125.75,1149.3,3196771,3799862132.05,116269,"4,30,8592,43,0461,37,5612,81,05691,062",1153.1,1183.864,JSWSTEEL,EQ
2014-07-21,1160.0,1236.75,1158.0,1202.9,2294892,2766641243.75,99214,"76,67770,3601,17,4232,20,2111,36,731",1196.1,1202.096,JSWSTEEL,EQ
2014-07-28,1201.05,1233.0,1160.5,1193.25,3107212,3727476136.85,150727,"3,01,4983,15,1662,90,9601,77,49290,950",1190.0,1198.724,JSWSTEEL,EQ
2014-08-04,1191.9,1209.8,1145.0,1182.85,2766389,3266363747.85,107634,"1,46,1423,92,3272,89,1861,04,940",1181.15,1180.9175,JSWSTEEL,EQ
2014-08-11,1185.0,1201.4,1139.1,1161.5,2232575,2612390356.65,81166,"1,14,0721,20,88079,1861,71,84074,581",1158.4,1172.212,JSWSTEEL,EQ
2014-08-18,1165.0,1292.9,1155.0,1275.85,3617490,4442534017.299999,139583,"1,25,9892,74,4763,82,1121,65,610",1275.1,1212.9699999999998,JSWSTEEL,EQ
2014-08-25,1294.85,1300.0,1232.8,1241.95,2905169,3712969613.9,120809,"2,23,0801,28,06478,0511,52,3662,00,958",1256.0,1278.538,JSWSTEEL,EQ
2014-09-01,1240.0,1329.9,1188.0,1320.95,2520103,3181574715.5,93663,"1,50,0991,48,4224,23,0992,75,394",1319.0,1259.8600000000001,JSWSTEEL,EQ
