Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,732.0,732.05,696.6,714.1,1868189,1338134964.2,53754,"2,53,4551,89,6782,86,8402,84,815",712.0,716.8525,KOTAKBANK,EQ
2014-01-13,712.0,724.75,695.15,716.9,2103076,1490097434.35,114689,"3,44,3711,79,5401,87,3551,76,2032,56,472",723.95,709.158,KOTAKBANK,EQ
2014-01-20,716.0,737.75,707.0,728.15,2193117,1592566779.1,62286,"1,22,6023,11,2762,43,0601,72,5752,87,965",726.0,725.0,KOTAKBANK,EQ
2014-01-27,729.7,732.0,654.55,658.1,5830878,4054097567.7,161010,"6,35,4138,05,2931,68,0985,23,77910,58,834",656.0,696.812,KOTAKBANK,EQ
2014-02-03,657.0,674.95,645.05,654.95,4435358,2913525179.1000004,116570,"7,35,9803,16,8504,55,3253,40,4769,74,809",655.1,657.5,KOTAKBANK,EQ
2014-02-10,648.0,676.1,643.6,647.25,3888328,2560912841.05,148936,"2,81,4225,29,7936,58,5054,36,7545,26,020",645.0,658.254,KOTAKBANK,EQ
2014-02-17,648.9,656.3,630.5,650.75,2669435,1726853043.75,99034,"3,03,2823,25,8321,85,7364,34,3022,70,686",653.0,646.956,KOTAKBANK,EQ
2014-02-24,651.0,688.4,648.05,677.6,3967232,2672800229.4,147089,"6,61,6098,06,2963,24,3062,62,8335,40,575",679.5,673.146,KOTAKBANK,EQ
2014-03-03,680.3,694.0,668.0,669.95,2576060,1759850981.4,109043,"2,80,0744,87,3076,30,3942,49,124",669.45,682.2975,KOTAKBANK,EQ
2014-03-10,671.0,755.0,665.45,752.4,5350066,3769284207.7,176141,"3,96,5803,69,8253,13,1499,46,0387,66,925",753.0,696.308,KOTAKBANK,EQ
2014-03-17,755.8,776.65,733.0,755.95,3216444,2420029110.45,108316,"3,14,7393,39,8044,86,1573,97,958",756.75,750.9975,KOTAKBANK,EQ
2014-03-24,757.4,775.0,737.2,765.55,4191383,3168205111.45,128117,"5,51,5603,50,5355,25,3716,91,2246,1345,91,862",769.85,754.0766666666667,KOTAKBANK,EQ
2014-03-31,765.0,788.0,761.0,781.05,4967809,3842145159.6000004,166720,"5,98,8695,52,7007,65,6196,52,5814,21,212",780.0,773.6800000000001,KOTAKBANK,EQ
2014-04-07,781.5,782.1,750.0,769.45,4063831,3098334568.05,143117,"4,46,2588,33,7284,09,5352,15,7584,49,827",767.5,761.656,KOTAKBANK,EQ
2014-04-14,774.8,812.0,767.15,805.65,3050182,2415123347.0,94660,"5,07,1576,41,5395,21,240",804.9,792.1999999999999,KOTAKBANK,EQ
2014-04-21,805.0,809.0,773.5,801.35,3131083,2489359418.0,94478,"3,22,9901,92,0713,04,35511,40,609",800.5,792.035,KOTAKBANK,EQ
2014-04-28,803.15,834.6,795.55,823.95,3187764,2596635407.15,91821,"2,34,8126,27,4561,71,5502,50,965",823.4,812.8525,KOTAKBANK,EQ
2014-05-05,821.1,824.55,795.5,807.6,2125254,1714357226.1,78966,"1,77,3212,39,6332,45,4011,30,351",806.65,806.8025,KOTAKBANK,EQ
2014-05-12,809.6,865.0,800.3,850.7,3804374,3151487859.95,151510,"1,77,5182,73,1085,74,2785,80,7656,07,649",848.65,823.642,KOTAKBANK,EQ
2014-05-19,855.25,951.0,848.1,917.0,5700612,5117072091.05,189513,"6,06,2843,86,7095,17,75210,66,6755,54,452",914.9,888.2959999999999,KOTAKBANK,EQ
2014-05-26,919.7,919.9,851.6,861.15,4676885,4158587770.1499996,112930,"6,57,7454,83,8893,35,6826,99,2378,13,430",861.15,890.878,KOTAKBANK,EQ
2014-06-02,860.0,891.0,842.05,886.6,4682858,4051736720.05,137760,"4,24,9193,95,3818,36,2575,76,1882,17,542",882.55,866.0959999999999,KOTAKBANK,EQ
2014-06-09,886.95,916.9,853.0,900.2,4457694,3949833710.6499996,148565,"4,35,2041,33,7715,56,94811,26,2333,98,169",898.0,881.646,KOTAKBANK,EQ
2014-06-16,902.75,949.5,881.5,930.45,3228157,2971544627.75,107395,"2,25,5284,27,0362,47,7422,18,2741,95,498",928.0,919.05,KOTAKBANK,EQ
2014-06-23,928.0,971.95,888.55,895.05,4122691,3863863787.7000003,139920,"3,38,9727,95,5402,46,9401,14,5323,10,085",893.95,931.39,KOTAKBANK,EQ
2014-06-30,897.5,899.95,855.2,883.55,4250603,3730202101.2000003,131135,"10,38,1221,92,1246,44,8352,04,3571,65,359",881.0,876.7040000000001,KOTAKBANK,EQ
2014-07-07,885.6,901.95,852.75,870.9,16102176,14027911273.1,278480,"82,7601,12,9321,54,8523,27,6821,13,16,836",882.3,885.0840000000001,KOTAKBANK,EQ
2014-07-14,882.0,892.7,847.2,855.35,7424726,6440125615.1,163468,"2,72,7783,60,0307,72,61815,76,9388,74,063",855.5,868.108,KOTAKBANK,EQ
2014-07-21,862.95,967.0,855.4,941.2,10820797,9860340657.75,254719,"7,04,96111,50,56422,36,21514,69,94812,71,364",942.35,906.18,KOTAKBANK,EQ
2014-07-28,945.0,954.3,922.9,941.2,4643216,4354660540.4,168682,"3,70,4725,11,9598,01,8274,86,9764,27,549",942.4,938.052,KOTAKBANK,EQ
2014-08-04,943.0,979.6,921.5,937.75,4656691,4426971090.65,162008,"5,47,74911,25,7088,76,0333,55,569",936.95,948.675,KOTAKBANK,EQ
2014-08-11,942.6,957.8,919.0,950.15,3980650,3723254168.5499997,161488,"4,22,5404,45,8853,98,4245,07,8655,24,431",952.6,935.394,KOTAKBANK,EQ
2014-08-18,952.0,974.45,942.65,966.85,3331755,3191794930.35,181103,"3,56,0537,08,8517,28,7733,92,349",968.0,958.7175,KOTAKBANK,EQ
2014-08-25,970.0,1054.4,966.15,1044.65,6291636,6347930023.75,187741,"8,59,1378,20,36212,14,47911,08,7022,63,537",1041.0,1011.616,KOTAKBANK,EQ
2014-09-01,1044.65,1059.95,1030.6,1047.95,4131303,4309991051.3,90235,"6,65,4758,83,72811,92,0532,92,419",1048.6,1044.805,KOTAKBANK,EQ
2014-09-08,1048.0,1085.85,1035.1,1076.5,2856264,3026624499.7,153418,"2,57,1993,32,1254,15,9673,19,8062,53,566",1075.45,1059.4540000000002,KOTAKBANK,EQ
2014-09-15,1075.5,1086.6,1042.4,1046.1,3891865,4138181518.35,133356,"1,54,4124,52,5906,51,2459,28,9146,26,926",1046.95,1064.9479999999999,KOTAKBANK,EQ
2014-09-22,1050.5,1069.0,1018.8,1043.85,3297943,3446281184.9,136788,"4,12,0873,53,8942,18,1719,21,1853,41,583",1046.95,1041.024,KOTAKBANK,EQ
2014-09-29,1042.0,1056.85,996.0,1003.35,4591017,4728039301.05,136295,"3,41,2374,16,12010,59,5618,06,3471,74,035",1002.0,1027.41,KOTAKBANK,EQ
2014-10-06,1013.0,1029.2,1001.35,1011.65,1940292,1965243463.0,44060,"5,04,3616,61,403",1011.0,1013.355,KOTAKBANK,EQ
2014-10-13,1007.0,1026.4,988.35,1008.5,5628001,5660494433.2,127817,"11,66,62210,30,34711,24,5694,71,6994,25,233",1008.0,1005.14,KOTAKBANK,EQ
2014-10-20,1012.5,1032.8,980.35,1003.85,3695262,3718413401.95,150026,"2,42,3276,10,9698,05,6016,65,276",1001.25,1006.6225000000001,KOTAKBANK,EQ
2014-10-27,1008.5,1091.7,1000.0,1085.0,5850065,6123380707.099999,122903,"13,50,87820,19,90061,5186,05,988",1082.85,1052.1675,KOTAKBANK,EQ
