Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1075.15,1079.9,1000.05,1010.5,6198693,6369907221.95,302038,"1,37,0756,85,16915,03,0595,64,999",1009.9,1037.625,LT,EQ
2014-01-13,1015.0,1028.55,951.5,980.55,12443331,12277456066.9,468954,"8,04,75610,10,72617,36,65617,45,20511,65,646",987.0,989.9639999999999,LT,EQ
2014-01-20,978.05,1012.95,968.0,998.95,8426748,8392284207.45,326970,"7,32,4176,21,4298,20,1596,82,4458,01,341",1001.65,996.2540000000001,LT,EQ
2014-01-27,1006.3,1043.4,973.05,980.15,12581032,12746430856.25,520040,"4,52,2708,24,06621,73,60115,86,85211,89,639",982.5,1008.802,LT,EQ
2014-02-03,979.0,1006.0,974.0,979.3,8480262,8363344764.2,278356,"12,93,6308,04,77112,52,1306,07,3095,68,227",978.5,986.146,LT,EQ
2014-02-10,968.65,1000.95,965.1,995.9,7643681,7505498073.8,250297,"5,73,5617,65,4678,98,1497,99,9387,38,662",997.65,981.99,LT,EQ
2014-02-17,996.4,1017.95,976.0,998.3,5725970,5708461197.35,201026,"5,12,5497,35,7405,86,3874,51,2812,59,081",999.6,996.4040000000001,LT,EQ
2014-02-24,998.05,1089.0,990.4,1084.65,10306824,10720107044.650002,339551,"12,66,1008,82,5738,85,93310,31,39115,82,900",1082.5,1038.124,LT,EQ
2014-03-03,1086.55,1114.7,1072.5,1097.55,7931876,8686948611.05,300216,"10,40,53316,00,88913,75,7395,79,575",1098.0,1094.71,LT,EQ
2014-03-10,1093.0,1242.0,1089.5,1236.9,15836332,18750134974.0,501449,"9,12,2948,42,1489,70,43932,10,80524,62,860",1238.25,1159.864,LT,EQ
2014-03-17,1231.85,1263.45,1201.7,1254.95,9708759,11935127400.85,337207,"14,72,35110,43,87611,52,73713,95,370",1255.2,1228.205,LT,EQ
2014-03-24,1254.0,1268.55,1210.5,1230.35,11356119,14000053223.0,377379,"9,58,72010,72,56812,73,64712,53,56920,90623,72,538",1229.1,1230.6216666666667,LT,EQ
2014-03-31,1230.0,1302.25,1222.6,1271.9,14120599,17973802304.85,449868,"14,07,72214,11,74026,12,26511,70,34016,73,712",1268.9,1271.238,LT,EQ
2014-04-07,1273.1,1310.0,1254.0,1284.35,10690251,13679507128.400002,430739,"11,33,14413,68,53018,32,73312,73,5748,32,133",1286.0,1279.2720000000002,LT,EQ
2014-04-14,1289.0,1327.25,1277.45,1298.5,7730025,10047785500.75,240948,"18,22,09718,15,95510,47,536",1295.4,1299.1433333333332,LT,EQ
2014-04-21,1290.65,1325.0,1242.0,1322.55,8603496,11041574172.5,273000,"8,00,94810,60,92620,17,02010,64,092",1321.5,1286.1675,LT,EQ
2014-04-28,1325.0,1388.5,1317.05,1328.5,12015043,16289895510.65,414611,"16,50,94916,16,81518,37,89017,47,540",1328.25,1355.2875,LT,EQ
2014-05-05,1335.0,1341.75,1251.2,1283.95,7890642,10258687083.5,305132,"12,31,79812,47,24210,41,2297,01,597",1285.0,1297.29,LT,EQ
2014-05-12,1291.55,1391.0,1276.0,1387.25,10577869,14031366429.05,346718,"7,29,5667,97,79711,67,67815,11,38414,58,737",1388.0,1320.3020000000001,LT,EQ
2014-05-19,1400.0,1533.9,1371.0,1524.55,19703631,28354711440.25,582947,"16,98,60112,19,37116,34,59647,41,43418,66,717",1519.5,1429.942,LT,EQ
2014-05-26,1534.0,1627.35,1470.25,1548.25,13114411,20039586450.8,479377,"14,15,55013,73,44612,90,1647,78,68721,24,213",1546.05,1513.79,LT,EQ
2014-06-02,1550.0,1655.0,1522.45,1646.0,12696782,20196386793.6,556109,"9,14,09811,17,40813,81,4546,94,90019,71,978",1649.0,1579.836,LT,EQ
2014-06-09,1651.0,1776.6,1539.0,1752.15,13045047,22091224184.5,458242,"15,54,3038,94,39014,44,74614,27,46119,40,255",1750.0,1686.464,LT,EQ
2014-06-16,1755.8,1758.0,1637.75,1650.5,9216741,15749367068.45,423353,"12,96,91620,74,3753,70,5018,26,4136,66,115",1646.9,1705.854,LT,EQ
2014-06-23,1636.0,1708.0,1627.45,1657.15,7200259,11980177483.0,343952,"9,60,3179,17,3214,32,2064,31,1696,55,478",1655.95,1662.2099999999998,LT,EQ
2014-06-30,1663.6,1715.0,1644.8,1701.7,7068543,11868994224.85,320492,"8,24,0754,85,6648,36,2263,87,17710,35,462",1703.0,1676.78,LT,EQ
2014-07-07,1712.0,1765.9,1707.65,1749.35,6576588,11467879841.45,310665,"5,90,9357,22,6129,68,8405,13,4756,56,606",1745.75,1743.188,LT,EQ
2014-07-14,1755.0,1761.8,1550.0,1597.45,13203718,21847876339.350002,525854,"13,06,13111,64,88810,39,01114,32,5676,66,961",1605.0,1648.2939999999999,LT,EQ
2014-07-21,1620.0,1698.8,1605.0,1670.25,6776005,11211454635.85,307202,"7,36,0946,08,2972,60,3955,21,2106,33,228",1666.0,1658.0459999999998,LT,EQ
2014-07-28,1673.0,1684.2,1634.3,1641.1,5752037,9522452474.0,255782,"3,88,3014,37,5594,20,5503,12,5606,51,929",1644.0,1655.718,LT,EQ
2014-08-04,1587.9,1587.9,1463.1,1493.95,21213948,32067043852.2,776619,"49,60,72831,72,80225,78,75115,38,476",1497.0,1504.4524999999999,LT,EQ
2014-08-11,1500.0,1510.8,1440.0,1462.75,8972350,13241351999.05,308499,"5,89,7928,18,2033,17,33411,53,48610,45,304",1461.4,1476.922,LT,EQ
2014-08-18,1467.25,1524.9,1441.7,1516.0,7404407,10999003768.55,323148,"6,41,3678,74,5027,65,83816,38,547",1517.0,1481.88,LT,EQ
2014-08-25,1528.1,1557.9,1506.55,1527.45,7689610,11802698772.599998,326769,"13,25,8574,66,9648,25,3458,35,1715,34,733",1520.1,1533.818,LT,EQ
2014-09-01,1520.0,1580.9,1490.0,1577.35,7953139,12150865832.85,375978,"11,13,67811,40,76213,55,84014,80,884",1578.0,1524.7175,LT,EQ
2014-09-08,1580.0,1632.7,1556.75,1629.4,8567763,13681378431.95,392475,"8,06,73815,47,7565,61,9987,64,6218,53,610",1627.7,1597.804,LT,EQ
2014-09-15,1629.4,1629.4,1555.1,1560.55,5536238,8801612193.6,230528,"6,46,7857,70,6554,55,9745,89,5873,45,089",1558.35,1588.374,LT,EQ
2014-09-22,1564.5,1589.45,1500.2,1533.2,7584202,11656673037.5,293452,"6,13,5537,58,4196,13,3869,08,0044,73,399",1534.7,1536.3799999999999,LT,EQ
2014-09-29,1520.0,1526.05,1431.65,1468.6,8715072,12841398492.9,346600,"9,22,01413,41,5319,13,4258,07,5033,58,401",1467.0,1474.476,LT,EQ
2014-10-06,1460.05,1499.8,1442.4,1446.85,2780579,4083997481.7,132327,"6,60,5514,73,286",1449.0,1466.525,LT,EQ
2014-10-13,1435.0,1492.5,1401.0,1445.8,8511580,12336082985.6,399457,"10,93,2078,23,1268,46,2237,65,7297,38,964",1446.0,1450.34,LT,EQ
2014-10-20,1455.25,1503.0,1419.5,1495.25,6849174,9961524191.45,315927,"6,54,2227,60,58012,50,8789,75,566",1495.1,1453.1875,LT,EQ
2014-10-27,1497.5,1580.85,1492.45,1567.35,6113412,9454236350.45,247702,"5,55,66614,36,7221,41,18613,71,962",1566.55,1545.2575,LT,EQ
2014-11-03,1580.0,1675.6,1566.6,1657.8,8189513,13243129200.7,301302,"5,40,1914,33,33512,02,99414,09,1649,98,730",1656.0,1609.4279999999999,LT,EQ
2014-11-10,1660.0,1692.9,1593.5,1619.4,7136753,11712681435.2,297452,"9,49,89312,62,64914,59,143",1619.0,1645.5566666666666,LT,EQ
2014-11-17,1626.0,1644.0,1598.0,1615.85,5774073,9368938992.65,254825,"6,45,7587,18,8734,90,3564,79,9203,70,053",1615.0,1622.0819999999999,LT,EQ
2014-11-24,1616.6,1681.95,1616.5,1669.85,6482917,10727858074.55,250178,"6,53,6478,41,3053,20,0195,57,1858,30,645",1667.7,1653.5819999999999,LT,EQ
2014-12-01,1670.0,1671.0,1602.45,1622.0,7244714,11839953566.6,283038,"8,57,4189,47,0308,77,4029,76,0294,89,767",1622.0,1633.202,LT,EQ
2014-12-08,1618.6,1655.0,1594.3,1601.8,5656332,9246204578.85,211516,"3,35,2425,99,9326,48,7028,67,5645,29,124",1600.0,1634.2040000000002,LT,EQ
2014-12-15,1597.15,1601.0,1494.25,1501.2,10866970,16689920851.45,468137,"8,04,59212,42,57816,27,13715,62,4629,97,427",1501.2,1537.092,LT,EQ
2014-12-22,1490.0,1546.7,1450.2,1524.2,10648843,15951322452.349998,421095,"8,67,23123,28,0899,08,77315,41,4383,57,552",1525.25,1504.496,LT,EQ
2014-12-29,1525.0,1539.4,1470.55,1490.3,5654939,8440802288.35,222094,"5,19,25719,34,1782,31,6123,79,856",1489.0,1495.8025,LT,EQ
2015-01-05,1504.2,1571.0,1492.0,1556.0,4944623,7540693895.150001,193793,"3,65,5154,27,9331,61,5875,56,1954,83,012",1559.0,1517.724,LT,EQ
2015-01-12,1541.0,1544.75,1485.55,1534.2,6559110,9910984605.85,258225,"10,97,2235,89,8373,98,9374,37,8164,20,274",1533.0,1510.528,LT,EQ
2015-01-19,1544.95,1623.0,1500.0,1614.85,8331537,13101894461.9,330377,"3,09,8763,79,99413,45,23815,36,2707,62,136",1616.55,1563.27,LT,EQ
2015-01-26,1621.9,1715.95,1601.0,1711.3,7986267,13316005529.95,311839,"6,01,81214,12,9596,17,27016,94,172",1712.0,1659.63,LT,EQ
2015-02-02,1720.0,1750.0,1683.35,1735.1,9814898,16888265207.4,450206,"12,73,11213,69,09113,10,6787,41,8827,41,054",1735.0,1720.4279999999999,LT,EQ
2015-02-09,1742.0,1749.9,1550.0,1572.45,9562084,15940220012.15,356299,"10,54,6596,16,9785,50,6777,41,91214,28,431",1558.35,1682.4360000000001,LT,EQ
2015-02-16,1545.1,1678.0,1532.15,1648.45,14900052,23886531328.0,479034,"36,60,35117,99,9459,32,7657,15,5684,34,409",1654.35,1625.118,LT,EQ
2015-02-23,1654.8,1714.8,1654.0,1687.0,9285429,15662035150.050001,293608,"8,21,7506,76,39222,97,29813,22,638",1681.0,1683.985,LT,EQ
2015-03-02,1691.45,1850.0,1670.0,1846.1,19725651,34684139252.8,621070,"10,81,9819,49,5217,03,61821,83,74411,72,12124,16,834",1849.9,1741.6566666666668,LT,EQ
2015-03-09,1850.0,1893.8,1755.0,1762.3,9147844,16771862929.900002,308848,"10,24,43817,80,1458,01,4666,46,151",1757.95,1826.475,LT,EQ
