Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,948.0,959.0,887.4,895.4,2499559,2293987853.85,100099,"1,07,0142,97,5545,90,1123,37,483",900.6,924.9725,M&M,EQ
2014-01-13,896.0,917.45,864.8,888.25,3351123,2993098118.0,148742,"5,19,4702,92,3311,72,6104,50,9182,45,067",888.7,894.692,M&M,EQ
2014-01-20,883.0,913.25,882.65,906.75,3747928,3364146502.4500003,156782,"3,81,3584,03,9605,88,5887,03,0012,40,766",906.0,898.1380000000001,M&M,EQ
2014-01-27,906.0,921.75,858.25,866.85,5818344,5168222798.05,242361,"2,65,8226,46,3227,12,61015,31,9829,92,549",867.0,893.366,M&M,EQ
2014-02-03,865.0,898.6,849.95,884.85,4620975,4055694916.25,171183,"8,46,9965,76,6235,15,9336,40,1757,08,349",885.05,877.2139999999999,M&M,EQ
2014-02-10,875.0,903.0,846.6,894.2,5363849,4688085640.0,179675,"12,50,7535,62,5157,45,9214,67,2396,28,371",895.0,878.766,M&M,EQ
2014-02-17,898.1,935.7,886.65,928.1,4330018,3917324808.4,169399,"4,88,3843,25,7634,49,5595,65,8394,72,840",934.0,902.994,M&M,EQ
2014-02-24,935.0,947.3,922.85,944.1,3597989,3370691816.15,125065,"5,49,8155,26,5576,12,5903,06,7461,95,029",943.1,936.95,M&M,EQ
2014-03-03,945.9,978.9,935.55,952.25,3297591,3155025149.45,115256,"7,47,0665,77,6585,82,4113,22,412",951.8,957.6025,M&M,EQ
2014-03-10,950.1,1021.0,940.2,1015.85,4380278,4262240514.3,150806,"3,49,5873,58,4216,80,7734,49,1666,60,120",1018.8,967.9619999999999,M&M,EQ
2014-03-17,1012.0,1035.5,983.3,1027.0,4853430,4864513904.4,167394,"4,27,62912,28,1658,15,0598,37,319",1029.05,1002.73,M&M,EQ
2014-03-24,1028.45,1054.9,965.5,987.8,6255178,6231100613.7,220848,"8,10,19515,50,5933,98,7577,94,92914,6758,11,252",985.5,990.945,M&M,EQ
2014-03-31,987.0,995.0,952.05,980.7,7416214,7203788373.0,275445,"4,95,9617,98,53716,83,06812,17,77112,94,287",980.0,972.35,M&M,EQ
2014-04-07,985.0,1018.35,980.7,1014.1,4402774,4404429860.9,170565,"5,92,6077,20,9013,69,6414,26,1175,95,273",1014.0,1000.418,M&M,EQ
