Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,1770.0,1819.4,1752.25,1807.7,2913046,5222544695.55,110239,"56,68211,19,1672,42,5272,61,298","1,808.00",1787.8600000000001,MARUTI,EQ
2014-01-13,1838.0,1860.0,1765.0,1782.75,5191083,9489915096.9,229983,"9,37,9646,06,2335,23,5383,68,2592,29,645","1,787.70",1819.464,MARUTI,EQ
2014-01-20,1783.0,1810.8,1759.1,1778.2,2223209,3966956650.5,125876,"2,00,0392,84,2252,23,66199,5401,69,044","1,779.90",1784.6299999999999,MARUTI,EQ
2014-01-27,1782.0,1819.9,1690.0,1702.3,2761313,4891725195.2,143039,"2,67,9982,30,0002,52,5911,52,3565,91,488","1,703.95",1783.1599999999999,MARUTI,EQ
2014-02-03,1715.0,1751.5,1540.4,1618.5,16675072,27432130910.45,590582,"26,38,90836,52,7759,49,0444,14,4715,11,893","1,614.85",1640.6599999999999,MARUTI,EQ
2014-02-10,1601.0,1701.6,1590.0,1688.85,4386364,7193931630.0,185269,"4,09,6093,70,5918,88,7876,49,5706,21,877","1,682.60",1638.348,MARUTI,EQ
2014-02-17,1690.25,1698.0,1615.65,1665.7,2245788,3712161094.9,112411,"1,86,5492,43,2692,44,8892,79,4232,38,679","1,670.50",1654.2760000000003,MARUTI,EQ
2014-02-24,1675.0,1733.65,1645.8,1684.4,2308494,3911947870.7,117907,"4,18,2221,33,3911,67,2111,78,19598,371","1,683.00",1691.726,MARUTI,EQ
2014-03-03,1690.1,1693.9,1573.0,1582.2,3659238,5889276318.549999,245554,"1,11,7702,97,7869,07,0095,52,363","1,582.50",1632.165,MARUTI,EQ
2014-03-10,1577.0,1817.25,1550.0,1801.1,4217624,7097992359.85,179477,"1,90,4211,75,9191,11,4813,56,2164,96,590","1,799.45",1664.2779999999998,MARUTI,EQ
2014-03-17,1804.0,1811.7,1680.0,1738.45,3377648,5925957870.55,130948,"2,43,2191,82,0761,73,18883,990","1,737.00",1756.2475,MARUTI,EQ
2014-03-24,1900.0,1909.0,1848.05,1886.3,3378792,6322397640.95,144124,"3,72,5371,82,54266,58266,2498,44074,263","1,882.00",1872.0166666666667,MARUTI,EQ
2014-03-31,1881.0,1980.0,1875.85,1971.75,2619824,5070686981.3,102432,"1,73,3202,86,8123,06,3211,37,4401,47,907","1,967.05",1933.7279999999998,MARUTI,EQ
