Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,5290.0,5600.0,5193.95,5387.65,148795,801674492.9499999,25724,"4,05818,50535,53316,216",5401.0,5358.2925,NESTLEIND,EQ
2014-01-13,5413.95,5450.0,5351.0,5426.9,94719,511466630.2,23703,"11,21615,7124,64320,02011,440",5425.0,5399.6,NESTLEIND,EQ
2014-01-20,5410.0,5414.95,5125.0,5200.9,103293,543189214.75,26586,"12,87221,40817,98118,0204,853",5191.0,5258.338,NESTLEIND,EQ
2014-01-27,5200.9,5202.0,5021.0,5050.1,118491,606142816.1,23013,"5,40512,85139,90132,2639,709",5050.0,5123.064,NESTLEIND,EQ
2014-02-03,5050.0,5091.0,4902.4,4938.65,120110,599824125.1,32242,"13,14820,17418,72129,12315,586",4951.0,4994.728,NESTLEIND,EQ
2014-02-10,4920.0,5041.0,4920.0,5034.55,116274,582628127.05,39465,"13,86323,42818,52024,5219,445",5032.9,5010.348,NESTLEIND,EQ
2014-02-17,5005.3,5198.0,4950.0,5004.3,227090,1154690578.2,60333,"15,56248,15937,05112,97072,790",5000.6,5088.288,NESTLEIND,EQ
2014-02-24,4965.0,5080.05,4965.0,5043.2,195824,989235788.4,35572,"7,4679,61239,12324,07293,583",5039.75,5049.0599999999995,NESTLEIND,EQ
2014-03-03,5015.0,5043.9,4632.0,4656.9,1080683,5298802843.0,114643,"61,4411,01,8397,75,50140,482",4668.0,4905.425,NESTLEIND,EQ
2014-03-10,4675.0,4930.0,4647.0,4800.5,169190,813610535.35,32106,"19,78026,20516,92639,63122,718",4791.0,4799.8,NESTLEIND,EQ
2014-03-17,4875.0,4875.0,4712.0,4758.65,84928,405485628.05,14538,"9,40213,88318,34226,454",4780.0,4781.6925,NESTLEIND,EQ
2014-03-24,4815.0,4900.0,4706.0,4721.3,128890,615186153.15,24723,"21,21420,6979,06726,8911,45217,436",4717.0,4778.091666666666,NESTLEIND,EQ
2014-03-31,4722.0,5070.0,4707.0,5028.75,226726,1102646656.8,41666,"17,39727,38655,81331,63539,661",5060.2,4844.974,NESTLEIND,EQ
2014-04-07,5069.0,5070.0,4825.0,4917.25,225327,1097390919.95,26648,"58,15247,98127,29724,63126,207",4949.9,4869.296,NESTLEIND,EQ
2014-04-14,4900.0,4994.95,4825.0,4829.65,99709,488967620.3,14574,"24,11445,21816,654",4825.0,4896.47,NESTLEIND,EQ
2014-04-21,4828.9,4889.4,4717.0,4723.5,110477,527504876.2,16308,"36,2939,89621,94315,637",4720.0,4773.585,NESTLEIND,EQ
2014-04-28,4728.65,4796.7,4700.0,4705.25,86398,409552040.20000005,17693,"19,43314,30620,39313,311",4700.0,4737.8475,NESTLEIND,EQ
2014-05-05,4705.0,4794.85,4685.0,4709.9,137342,648880511.85,13623,"13,80223,6484,57673,617",4708.0,4734.905,NESTLEIND,EQ
