Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,137.5,138.8,130.35,132.15,16242657,2178577047.5,110946,"6,25,98635,28,70056,13,12817,24,998",132.2,134.7175,NTPC,EQ
2014-01-13,132.15,134.0,129.1,132.75,21464426,2830368266.25,167519,"24,59,54936,25,30150,22,32813,70,78215,91,846",132.5,131.81400000000002,NTPC,EQ
2014-01-20,131.7,134.2,130.8,131.85,25511545,3386455550.4,154782,"20,66,62646,04,94743,41,72183,21,09715,76,076",131.55,132.53,NTPC,EQ
2014-01-27,131.6,133.2,129.1,129.45,23250741,3049269613.35,92271,"79,49,81735,88,70329,18,02825,18,69618,82,754",129.5,131.13600000000002,NTPC,EQ
2014-02-03,129.8,132.0,123.5,126.0,21059344,2683787750.85,176000,"27,10,86326,29,46739,28,31628,22,38223,58,398",126.2,127.374,NTPC,EQ
2014-02-10,125.9,136.6,125.4,135.2,49934267,6626509587.95,250513,"87,16,58967,00,98867,58,93599,79,30783,61,444",133.8,132.546,NTPC,EQ
2014-02-17,134.4,134.7,129.65,133.85,20104949,2646257167.35,91632,"22,95,94546,74,78461,73,69913,00,7426,91,303",134.1,132.158,NTPC,EQ
2014-02-24,133.6,134.55,116.35,116.9,36488861,4420753573.2,293035,"10,56,8136,61,50112,15,86812,20,8591,72,20,566",117.25,129.724,NTPC,EQ
2014-03-03,117.45,118.8,110.65,111.2,49072325,5601428917.2,310287,"88,33,74874,17,31472,13,44776,12,453",111.05,114.0,NTPC,EQ
2014-03-10,111.5,119.35,110.8,117.0,41396146,4758792765.2,214550,"70,27,27939,60,19153,89,03850,47,94159,72,897",117.0,115.078,NTPC,EQ
2014-03-17,117.0,118.3,115.05,117.05,15864517,1854213079.25,142135,"20,97,18820,01,96132,25,03225,39,341",117.2,116.8875,NTPC,EQ
2014-03-24,117.3,118.9,112.8,113.95,32947529,3804701220.1,185880,"32,13,05034,78,55339,15,61270,79,6071,35,77063,44,757",114.0,115.60833333333333,NTPC,EQ
2014-03-31,114.9,123.85,113.85,119.9,40479705,4750442558.700001,239856,"56,06,78749,16,08888,18,91330,96,69556,01,265",119.75,117.40599999999999,NTPC,EQ
2014-04-07,120.8,124.3,118.6,119.4,36777977,4485600017.25,227075,"33,80,35888,53,43590,68,92132,79,83838,37,131",119.5,121.51199999999999,NTPC,EQ
2014-04-14,120.4,125.2,119.05,124.6,21382843,2614474410.35,110712,"55,82,48161,43,03630,79,594",124.55,122.45,NTPC,EQ
2014-04-21,125.0,125.9,120.75,124.55,18812331,2323553058.3,177714,"32,97,76531,55,68939,90,29428,74,406",124.5,123.595,NTPC,EQ
2014-04-28,124.6,124.95,117.6,117.95,29540817,3571027101.05,200706,"15,33,64991,18,05479,33,88338,32,214",118.05,121.11,NTPC,EQ
2014-05-05,118.1,118.95,113.5,113.85,18732166,2181607037.2,106673,"36,04,36565,29,21719,36,32613,97,901",114.1,116.0075,NTPC,EQ
2014-05-12,114.3,122.0,113.8,121.1,30466225,3562824124.55,177451,"20,99,37767,22,24723,20,28843,50,70652,58,516",121.4,116.65,NTPC,EQ
2014-05-19,124.0,148.8,122.3,145.6,118361690,15610830142.349998,649911,"1,60,48,47359,88,3761,30,63,9531,80,12,7092,02,30,702",147.6,130.55599999999998,NTPC,EQ
2014-05-26,150.2,167.6,140.55,156.25,109474796,16769924140.8,820376,"1,45,64,72993,47,33099,07,0141,76,97,8161,65,90,999",155.25,152.314,NTPC,EQ
2014-06-02,155.35,163.8,149.5,159.25,124377017,19512183180.0,599732,"74,45,28594,08,1481,07,07,8394,77,78,6481,13,30,286",158.75,155.31400000000002,NTPC,EQ
2014-06-09,160.5,168.9,159.9,165.35,77739593,12771186457.15,395396,"78,72,35485,42,02467,41,85184,75,0511,25,04,468",164.65,164.15,NTPC,EQ
2014-06-16,166.0,166.9,150.05,152.9,53591209,8491669691.8,273545,"55,79,77447,25,13949,92,05136,51,33657,62,129",152.7,158.20999999999998,NTPC,EQ
2014-06-23,152.4,156.75,150.05,152.55,30075510,4597569192.9,182978,"43,94,73526,41,81923,17,75728,67,17622,97,475",152.65,152.75,NTPC,EQ
2014-06-30,152.55,157.65,151.1,156.2,29214871,4517074744.5,231994,"34,91,52031,62,97737,46,47722,60,83631,65,951",155.8,154.57999999999998,NTPC,EQ
2014-07-07,156.35,161.9,154.35,161.35,30708570,4852868741.1,214519,"30,54,74030,42,87633,98,10618,34,79637,25,413",161.3,157.83599999999998,NTPC,EQ
2014-07-14,161.3,161.95,145.65,147.8,47210055,7156463459.9,258896,"60,99,89236,36,89047,41,68154,56,87260,07,497",149.0,151.472,NTPC,EQ
2014-07-21,149.25,151.1,142.6,148.0,33303244,4905783680.95,199870,"49,53,91233,93,13740,04,85433,60,69326,61,337",148.1,147.464,NTPC,EQ
2014-07-28,148.35,150.8,147.0,149.05,22932617,3417456023.3,117889,"30,64,33735,60,88923,45,60729,54,86330,58,027",149.0,149.024,NTPC,EQ
2014-08-04,149.0,150.4,140.05,141.3,37448955,5420244560.25,186540,"54,16,69079,49,24963,55,03042,26,413",141.8,144.5375,NTPC,EQ
2014-08-11,141.35,141.95,135.05,135.85,29158439,4045364684.45,142651,"37,12,74417,61,24635,83,06442,66,62366,71,915",136.3,139.234,NTPC,EQ
2014-08-18,136.6,144.1,136.6,142.6,25465878,3561876817.5,167656,"49,37,30568,10,50536,51,87123,82,497",142.35,140.445,NTPC,EQ
2014-08-25,143.1,145.95,140.2,141.8,17353599,2489538431.25,161079,"20,97,42328,28,64326,31,0468,53,37717,97,009",142.1,143.232,NTPC,EQ
2014-09-01,141.6,142.0,136.85,139.7,23997232,3327661170.1,166367,"22,60,02438,62,35261,08,47941,74,726",140.15,138.9275,NTPC,EQ
2014-09-08,140.0,143.95,138.7,140.45,34415039,4847874285.55,218409,"60,07,65752,73,99242,03,02737,96,92145,88,147",140.5,140.95,NTPC,EQ
2014-09-15,140.6,141.6,135.6,135.9,25931969,3600826769.2,168790,"25,22,47528,46,02922,79,84246,71,17246,79,746",135.75,139.08,NTPC,EQ
2014-09-22,136.0,139.0,131.7,136.45,32873234,4469271507.15,159239,"43,05,33331,45,50931,38,05998,04,56930,39,014",136.7,135.488,NTPC,EQ
2014-09-29,136.5,140.15,135.55,139.0,42734769,5873931877.65,134086,"72,82,73482,34,06490,42,66321,58,92851,56,644",139.0,137.668,NTPC,EQ
2014-10-06,138.9,140.4,138.0,139.05,11139968,1550786032.55,66492,"48,07,03933,38,626",139.15,139.24,NTPC,EQ
2014-10-13,138.7,144.65,138.1,140.25,28191441,3982723486.25,189488,"44,14,15136,45,33632,01,64639,64,30936,55,552",141.2,141.246,NTPC,EQ
2014-10-20,140.95,144.95,137.4,143.5,20614361,2896002400.25,115770,"30,63,06952,47,53433,27,40921,50,907",144.85,140.7225,NTPC,EQ
2014-10-27,145.05,148.8,144.8,145.85,17489149,2565181113.3,103169,"44,55,83639,66,5042,95,03120,64,619",145.7,146.715,NTPC,EQ
2014-11-03,145.1,150.9,144.75,147.7,23359281,3439858075.7,150434,"22,99,62933,99,83338,45,69321,73,23921,48,825",147.7,147.25799999999998,NTPC,EQ
2014-11-10,147.65,148.9,144.05,146.15,8741640,1273750087.0,59229,"23,03,45318,01,03417,37,732",146.35,145.66333333333333,NTPC,EQ
2014-11-17,147.1,147.45,140.3,145.9,28809700,4135410371.5499997,89299,"9,69,29226,94,81123,76,3041,13,59,52449,61,821",145.95,144.05599999999998,NTPC,EQ
2014-11-24,146.8,148.6,141.4,143.05,28163852,4089698142.9500003,116366,"95,11,88036,02,07927,79,09644,94,79219,64,660",143.5,144.43,NTPC,EQ
2014-12-01,143.75,144.7,139.4,140.15,32960993,4667870903.65,122809,"92,04,54455,47,15526,45,68862,65,49722,23,411",140.6,141.628,NTPC,EQ
2014-12-08,140.2,143.7,139.6,139.9,21282902,3015527658.75,88173,"4,77,06215,71,38615,72,3251,18,70,96419,88,621",140.0,141.64000000000001,NTPC,EQ
2014-12-15,139.75,139.75,130.95,133.0,26293074,3531097713.1000004,157815,"34,07,46623,13,96624,72,95526,09,87095,40,207",133.5,134.476,NTPC,EQ
2014-12-22,132.4,140.2,126.7,139.0,39532799,5250218992.4,196770,"74,98,97538,55,01477,84,90936,68,82178,39,839",138.95,132.644,NTPC,EQ
2014-12-29,139.7,143.85,138.2,140.1,22747605,3186759496.9,122336,"47,00,85385,46,8338,41,50713,61,696",140.0,139.9675,NTPC,EQ
2015-01-05,140.25,145.0,139.85,144.0,10929876,1564863958.35,75416,"12,17,54823,50,9117,10,76911,76,61610,34,618",143.65,143.096,NTPC,EQ
2015-01-12,143.5,145.5,138.25,140.0,21921518,3117247286.2,164358,"30,23,90834,53,45651,86,20418,94,49217,85,015",140.25,141.78000000000003,NTPC,EQ
2015-01-19,139.25,142.9,137.2,141.75,21400617,2995580026.4,115406,"29,23,22015,69,32448,23,20441,30,87535,13,165",142.15,139.86200000000002,NTPC,EQ
2015-01-26,142.75,144.15,139.35,141.9,24309144,3451798717.7,126598,"41,29,97342,16,68442,89,22358,82,812",141.75,142.0475,NTPC,EQ
2015-02-02,142.5,147.4,140.7,142.05,62479122,8941397484.15,240787,"1,26,69,01536,91,5241,13,75,09777,35,18862,94,458",142.2,142.994,NTPC,EQ
2015-02-09,142.45,144.8,138.1,138.8,22543457,3194791443.95,137183,"47,73,51121,63,28436,21,01435,03,98515,98,513",138.45,141.47,NTPC,EQ
2015-02-16,138.0,144.65,136.75,144.0,15626487,2201635069.7,114789,"21,99,03418,49,68228,84,88117,03,5415,63,938",144.25,141.208,NTPC,EQ
2015-02-23,144.05,147.8,142.0,146.05,14912505,2174736141.1000004,124974,"22,30,98816,02,41313,17,65033,70,996",146.05,145.785,NTPC,EQ
2015-03-02,146.25,161.0,145.6,159.5,55509701,8491969455.5,244392,"26,50,71842,10,9321,36,36,86655,99,13328,92,77141,36,536",159.7,152.89666666666668,NTPC,EQ
2015-03-09,159.5,160.0,151.4,151.8,14786735,2326182753.5,98052,"30,54,24523,19,16022,05,23214,74,925",151.6,156.8675,NTPC,EQ
2015-03-16,153.3,164.75,146.6,155.85,50522785,8000170693.1,218088,"19,56,91121,21,5711,01,71,1521,09,22,70179,09,967",155.85,155.974,NTPC,EQ
2015-03-23,156.1,159.35,142.7,150.15,66854814,10091414855.6,320680,"37,15,0231,12,54,0751,58,47,2051,08,21,01150,24,234",150.0,151.452,NTPC,EQ
2015-03-30,150.0,154.9,142.95,147.6,52907887,7784396198.65,224257,"44,89,1611,30,45,1581,70,68,52929,77,34829,83,746",148.2,147.61399999999998,NTPC,EQ
2015-04-06,148.5,152.95,144.9,152.1,13429190,1983882055.1,112332,"50,28,73019,60,66721,10,460",152.2,148.34,NTPC,EQ
2015-04-13,152.95,159.0,151.5,157.3,15373717,2387536066.5,138515,"30,18,57114,43,46616,56,56016,78,07113,67,603",156.95,155.416,NTPC,EQ
2015-04-20,156.2,160.0,153.4,154.4,11614978,1818554761.25,126196,"22,68,11717,06,81915,71,43113,16,100",154.4,156.5025,NTPC,EQ
2015-04-27,154.9,156.3,147.7,148.25,15820102,2389126279.8,194779,"18,38,20715,79,00014,07,35223,61,69223,38,131",148.65,151.012,NTPC,EQ
2015-05-04,148.0,153.05,146.9,152.35,14634415,2209098660.25,138037,"20,71,84425,90,17440,37,38911,35,454",152.4,151.0175,NTPC,EQ
2015-05-11,151.5,152.1,141.55,144.95,15069524,2183604812.85,146789,"11,00,81133,35,63721,97,73413,92,32813,43,029",145.3,145.16,NTPC,EQ
2015-05-18,144.65,145.45,134.25,136.15,30975285,4295852946.0,199714,"31,08,47072,00,66666,38,32916,53,57721,10,261",136.1,138.518,NTPC,EQ
2015-05-25,136.4,137.9,134.0,134.25,16117241,2186635606.8,183256,"17,50,13527,08,65526,88,30123,64,0889,32,773",134.5,135.622,NTPC,EQ
