Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,290.0,292.85,275.1,280.95,8783976,2482504853.7,181715,"2,69,80411,57,75022,47,25912,14,841",281.05,284.28499999999997,ONGC,EQ
2014-01-13,281.0,293.9,271.0,292.9,15048659,4250771615.6000004,236120,"13,28,31211,95,91514,47,13726,30,47421,04,216",292.1,281.25,ONGC,EQ
2014-01-20,292.9,294.8,283.55,287.15,15726592,4535501122.299999,280467,"16,93,87913,65,66718,66,99726,92,69425,31,856",286.7,288.66400000000004,ONGC,EQ
2014-01-27,287.55,290.95,275.75,277.0,13902571,3951537448.0,270689,"25,42,60517,07,01222,38,72116,37,88417,70,631",276.55,284.12399999999997,ONGC,EQ
2014-02-03,275.05,280.5,266.05,267.8,17367162,4755360723.25,231887,"13,03,86314,12,74444,76,45321,71,55729,79,518",266.55,274.222,ONGC,EQ
2014-02-10,265.55,274.2,264.15,272.25,12034199,3237775528.0,223563,"20,12,71817,74,86312,52,68712,96,71816,70,189",272.1,269.236,ONGC,EQ
2014-02-17,273.5,284.0,270.85,277.75,14442386,3989743579.5,262899,"42,93,46922,84,9279,47,04815,65,8007,61,754",277.1,276.344,ONGC,EQ
2014-02-24,277.1,284.0,271.0,282.2,8198790,2274834475.35,182764,"9,78,46610,05,6558,45,9117,53,0919,82,841",283.05,277.646,ONGC,EQ
2014-03-03,283.95,294.0,277.85,290.6,14436144,4121493817.85,341055,"9,66,69550,76,63629,46,48613,16,691",291.2,285.875,ONGC,EQ
2014-03-10,290.6,326.75,289.3,319.9,16816513,5193736033.05,349416,"12,85,47422,89,80816,32,65421,26,56034,68,225",317.5,306.498,ONGC,EQ
2014-03-17,317.5,328.5,315.2,322.75,17704177,5694834974.8,268120,"43,09,16328,97,34229,76,13820,85,504",322.0,321.77,ONGC,EQ
2014-03-24,323.0,332.0,305.35,321.1,32207374,10199640608.85,407229,"49,10,45828,80,74931,61,55869,52,5821,08,22845,74,563",321.35,315.5083333333333,ONGC,EQ
2014-03-31,309.0,335.4,306.25,318.7,27839547,8992089086.65,364218,"34,44,43521,63,06057,21,13614,10,33931,69,343",318.4,323.63800000000003,ONGC,EQ
2014-04-07,321.0,332.0,317.5,325.6,23273005,7536511733.45,286699,"11,51,56613,83,53117,21,06276,12,75524,83,448",325.2,324.79,ONGC,EQ
2014-04-14,325.6,328.0,315.4,320.0,22792270,7309429145.0,318778,"56,84,99454,93,22462,31,874",318.8,320.7133333333333,ONGC,EQ
2014-04-21,320.0,325.75,313.55,323.1,18868770,6015910168.35,306977,"51,93,90132,81,05538,99,21319,43,155",323.35,319.3825,ONGC,EQ
2014-04-28,323.2,332.45,319.0,321.35,16459021,5364780354.15,203836,"34,80,91441,74,77626,66,22514,83,491",322.05,325.0975,ONGC,EQ
2014-05-05,322.2,343.45,318.25,335.4,16755667,5511939815.95,253602,"10,87,46750,10,53920,28,51923,13,234",335.0,328.195,ONGC,EQ
