Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-06,99.85,102.75,99.1,99.9,28259979,2855310542.75,106677,"9,71,4521,05,60,50633,94,78224,21,378",99.6,100.4725,POWERGRID,EQ
2014-01-13,99.9,100.0,96.55,98.0,39274333,3862833524.4,195732,"47,59,37134,44,68557,24,10787,53,70846,58,122",97.9,98.508,POWERGRID,EQ
2014-01-20,97.9,99.5,96.7,98.5,30342386,2970479395.25,194994,"23,75,10930,67,27856,12,57439,25,51552,26,624",98.35,97.842,POWERGRID,EQ
2014-01-27,98.15,98.9,95.85,96.55,30472211,2983292071.5,211480,"38,42,16642,87,13917,68,95541,92,33552,36,283",96.1,97.922,POWERGRID,EQ
2014-02-03,96.55,97.0,94.95,95.2,34072693,3264481513.9,102567,"31,52,98719,53,8771,11,93,58874,25,36015,99,075",95.2,95.97200000000001,POWERGRID,EQ
2014-02-10,95.05,98.0,94.7,97.0,19713092,1894903883.85,131314,"34,14,40831,20,17828,08,12424,73,93013,99,576",97.1,96.29400000000001,POWERGRID,EQ
2014-02-17,97.1,97.4,94.9,95.55,20592175,1965452671.0,99712,"19,58,21322,41,15922,48,73068,58,22518,00,894",95.85,95.56800000000001,POWERGRID,EQ
2014-02-24,95.65,96.1,94.05,95.05,12592613,1198816238.2,125990,"17,64,3519,23,01422,49,63716,44,33621,07,634",95.1,95.202,POWERGRID,EQ
2014-03-03,95.1,96.2,93.25,94.7,38181711,3614739336.6499996,183789,"13,26,34795,51,5001,10,66,58763,23,090",94.7,94.805,POWERGRID,EQ
2014-03-10,94.2,99.45,93.9,98.9,26655273,2604747172.1,184832,"36,94,45418,50,14029,06,63559,14,68650,21,369",98.9,97.422,POWERGRID,EQ
2014-03-17,98.4,100.0,97.8,98.35,26556850,2618766255.75,133334,"31,82,82273,51,14049,51,63946,69,313",98.5,98.6525,POWERGRID,EQ
2014-03-24,98.5,104.2,98.5,103.2,37254644,3784501314.7,240244,"65,22,23344,05,59620,45,90673,63,26558,24634,89,826",103.2,101.50666666666666,POWERGRID,EQ
2014-03-31,102.6,108.3,102.6,105.0,31166285,3287304575.85,197537,"53,99,81324,10,91088,76,17228,29,42622,98,849",105.4,105.52799999999999,POWERGRID,EQ
2014-04-07,105.5,109.6,105.1,106.9,23602880,2542150584.55,157694,"50,79,40838,20,85520,06,76828,59,41323,72,240",106.45,107.63199999999999,POWERGRID,EQ
2014-04-14,107.05,108.2,105.55,107.65,12605556,1350637941.5500002,79713,"28,21,90638,84,17525,18,778",107.85,107.14333333333333,POWERGRID,EQ
2014-04-21,107.25,108.2,105.7,105.95,19740384,2116418279.25,157798,"38,99,76842,49,04944,20,79417,24,523",106.0,107.12,POWERGRID,EQ
2014-04-28,106.2,106.95,104.35,106.1,16692554,1763254684.2,113332,"34,64,39148,49,54024,58,56118,12,576",106.3,105.6475,POWERGRID,EQ
2014-05-05,106.8,107.9,103.95,105.1,13018095,1380693927.2,100315,"42,95,47840,17,5729,78,7395,62,354",105.0,105.61500000000001,POWERGRID,EQ
2014-05-12,104.9,113.0,102.0,111.5,25896730,2735670402.75,238294,"17,60,77928,62,62526,26,26176,48,63924,57,292",112.5,105.11600000000001,POWERGRID,EQ
2014-05-19,112.4,125.65,108.25,122.25,56797804,6677818245.2,323325,"54,20,87330,76,55168,37,6701,43,38,61790,22,492",122.55,116.146,POWERGRID,EQ
2014-05-26,123.95,134.8,120.05,128.15,54279261,6906712631.200001,418049,"79,42,00237,45,57157,34,05478,78,28380,62,561",128.0,126.78800000000001,POWERGRID,EQ
2014-06-02,125.6,128.5,120.15,125.2,68861001,8538352421.0,405687,"38,09,99352,45,78258,47,9773,21,28,69253,26,540",125.0,125.05999999999999,POWERGRID,EQ
2014-06-09,125.0,142.6,123.55,137.35,66318722,8589434001.6,362003,"84,81,7021,11,52,56668,96,91360,28,2651,15,67,021",137.2,128.07999999999998,POWERGRID,EQ
2014-06-16,139.4,141.0,129.65,131.8,42322660,5702948714.5,377567,"69,45,85342,47,44147,55,58924,02,20835,49,444",131.65,134.366,POWERGRID,EQ
2014-06-23,131.05,136.5,130.65,131.4,30363412,4034025827.4,323732,"63,07,56743,69,20810,89,90133,47,43837,13,538",131.7,132.68,POWERGRID,EQ
2014-06-30,132.95,140.2,131.4,139.2,55979275,7562053725.25,335304,"38,46,01158,90,33383,77,18178,24,6691,53,26,406",139.1,134.178,POWERGRID,EQ
2014-07-07,140.0,146.95,138.45,146.05,38879380,5511647899.35,203106,"77,86,48059,39,89640,36,77335,73,90746,92,172",145.9,141.81199999999998,POWERGRID,EQ
2014-07-14,146.0,146.4,130.0,133.95,34169895,4677634687.4,252016,"47,54,81925,36,99349,86,06434,02,80923,01,934",134.75,136.53,POWERGRID,EQ
2014-07-21,134.45,139.4,133.1,136.9,19618833,2670307794.45,218248,"33,22,75119,10,50029,37,86715,69,18716,16,624",136.75,136.228,POWERGRID,EQ
2014-07-28,137.0,138.2,132.1,133.2,18997623,2566716610.85,177433,"26,18,83223,30,90319,08,24324,90,18314,14,178",133.2,135.05,POWERGRID,EQ
2014-08-04,133.0,135.95,128.35,132.45,34680020,4571381769.1,150271,"32,70,06784,85,08442,91,67976,19,250",132.1,132.255,POWERGRID,EQ
2014-08-11,133.0,136.35,130.0,131.95,28305360,3763665574.8,220324,"64,53,43036,86,43845,62,85920,29,06227,47,871",131.55,132.78,POWERGRID,EQ
2014-08-18,132.1,135.3,130.85,134.8,12681555,1685863038.1,106951,"16,15,86930,15,75216,77,22519,93,890",134.5,132.945,POWERGRID,EQ
